,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.16,0,1.52,0.16,Impurity,Weak,,,39,4.94,0,1.98,0.58,Impurity,None,,,67,4.58,0.3,1.83,6.16,Compound,None,,,95,4.11,0,1.65,0.2,Compound,None,,,123,3.57,0.1,2.45,3.38,Artifact,Weak,,,151,3.2,0,138.52,7.46,Artifact,Weak,,,179,2.93,0,10.53,3.06,Compound,None,,,207,2.34,0.4,1.6,9.28,Solvent,Weak + C13_Sat,,,235,1.34,0,1.28,0.24,Compound,None,,,263,0.86,0.1,2.32,2.65,Compound,None,,
12,7.1,0.1,52.84,69.55,Compound,None,,,40,4.93,0,1.66,0.47,Impurity,None,,,68,4.57,0,1.53,0.22,Compound,Weak,,,96,4.1,0,1.33,0.19,Impurity,None,,,124,3.56,0.1,2.41,1.78,Artifact,Weak,,,152,3.18,0.1,1.19,1.41,Artifact,Weak,,,180,2.92,0,1.58,0.94,Compound,None,,,208,2.33,0.3,1.42,4.93,Solvent,Weak + C13_Sat,,,236,1.31,0,1.4,0.21,Impurity,Weak,,,264,0.86,0.1,2.93,3,Compound,None,,
13,6.99,0.1,32.23,18.57,Compound,None,,,41,4.92,0.1,2.23,1.85,Compound,None,,,69,4.5,0,8.72,3.5,Compound,None,,,97,4.05,0.1,3.81,2.98,Compound,None,,,125,3.55,0.2,3.09,6.01,Artifact,Weak,,,153,3.17,0.1,2.02,2.64,Artifact,Weak,,,181,2.91,0,2.08,0.13,Artifact,Weak,,,209,2.33,0.1,1.37,1.93,Solvent,Weak + C13_Sat,,,237,1.26,0,18.46,10.24,Compound,None,,,265,0.86,0.1,3.09,5.22,Compound,None,,
14,6.85,0,1.05,0.11,Artifact,Weak,,,42,4.91,0.1,2.88,3.25,Compound,None,,,70,4.49,0.1,1.99,2.34,Compound,None,,,98,3.96,0,11.83,5.85,Compound,None,,,126,3.54,0.1,2.93,5.15,Artifact,Weak,,,154,3.16,0.1,2.08,1.32,Artifact,Weak,,,182,2.9,0,1.47,0.88,Compound,None,,,210,2.31,0,1.15,0.38,Compound,None,,,238,1.24,0.3,5.85,26.02,Compound,None,,,266,0.85,0.1,4.46,7.73,Compound,None,,
15,6.83,0,1.38,0.1,Artifact,Weak,,,43,4.9,0.1,1.79,1.34,Compound,None,,,71,4.48,0.2,2.08,3.94,Compound,None,,,99,3.81,0,1.08,0.12,Artifact,Weak,,,127,3.54,0,2.72,1.33,Artifact,Weak,,,155,3.15,0.1,3.3,2.75,Artifact,Weak,,,183,2.9,0,1.61,1.05,Compound,None,,,211,2.31,0,1.72,0.27,Compound,None,,,239,1.23,0,0.55,0.1,Compound,Weak,,,267,0.84,0,2.75,1.47,Compound,None,,
16,6.69,0,3.77,0.35,Artifact,Weak,,,44,4.89,0.2,2.07,5.88,Compound,None,,,72,4.47,0,1.47,0.13,Impurity,Weak,,,100,3.8,0,0.73,0.09,Impurity,Weak,,,128,3.53,0.1,1.78,1.11,Artifact,Weak,,,156,3.14,0.1,3.44,4.73,Artifact,Weak,,,184,2.89,0,1.7,0.69,Compound,None,,,212,2.29,0,1.8,1.27,Compound,None,,,240,1.19,0,0.89,0.27,Impurity,None,,,268,0.83,0.1,6.55,6.17,Compound,None,,
17,6.68,0,2.16,0.27,Impurity,Weak,,,45,4.88,0.2,2.21,7.33,Compound,None,,,73,4.46,0.1,2.08,2.27,Compound,None,,,101,3.79,0,0.87,0.16,Impurity,None,,,129,3.51,0.6,2.2,16.01,Artifact,Weak,,,157,3.13,0.1,2.33,1.86,Artifact,Weak,,,185,2.88,0.1,2.55,1.74,Compound,None,,,213,2.27,0.1,1.21,1.26,Compound,None,,,241,1.17,0,1.18,0.15,Compound,Weak,,,269,0.82,0,5.26,2.6,Compound,None,,
18,6.67,0,0.65,0.05,Artifact,Weak,,,46,4.86,0,2.13,0.46,Compound,None,,,74,4.46,0,1.11,0.15,Compound,None,,,102,3.77,0,0.98,0.16,Impurity,None,,,130,3.5,0.1,2.71,2.15,Artifact,Weak,,,158,3.12,0.1,2.21,3.09,Artifact,Weak,,,186,2.88,0,1.67,0.85,Compound,None,,,214,2.25,0,0.93,0.44,Compound,None,,,242,1.16,0.1,3.14,1.74,Compound,None,,,270,0.81,0,0.63,0.09,Compound,Weak,,
19,6.66,0,2.08,0.13,Artifact,Weak,,,47,4.85,0,2.28,0.53,Compound,None,,,75,4.45,0.1,1.71,2.04,Compound,None,,,103,3.77,0,1,0.13,Impurity,Weak,,,131,3.49,0.1,4.5,8.58,Artifact,Weak,,,159,3.11,0.1,2.61,2.73,Artifact,Weak,,,187,2.86,0,1.66,0.8,Compound,None,,,215,2.23,0,0.93,0.1,Artifact,Weak,,,243,1.12,0.2,0.98,2.41,Compound,None,,,271,0.8,0,1.07,0.2,Compound,None,,
20,6.58,0.2,1.42,4.07,Compound,None,,,48,4.83,0.4,1.95,10.36,Compound,None,,,76,4.43,0.1,1.95,2.54,Compound,None,,,104,3.76,0,1.18,0.18,Impurity,Weak,,,132,3.48,0.1,1.44,1.15,Artifact,Weak,,,160,3.11,0.1,2.75,3.77,Artifact,Weak,,,188,2.69,0.1,1.34,1.86,Solvent,Weak + C13_Sat,,,216,2.22,0,22.48,5.12,Compound,None,,,244,1.1,0.2,1.11,2.42,Compound,None,,,272,0.79,0,1.76,0.42,Compound,None,,
21,6.56,0.2,1.36,3.89,Compound,None,,,49,4.83,0.1,1.38,2.16,Compound,None,,,77,4.41,0,2.33,0.35,Compound,None,,,105,3.75,0,1.06,0.08,Artifact,Weak,,,133,3.48,0.1,2.56,4.5,Artifact,Weak,,,161,3.09,0.1,2.21,1.92,Artifact,Weak,,,189,2.68,0.3,1.74,6.57,Solvent,Weak + C13_Sat,,,217,2.22,0,0.61,0.05,Artifact,Weak,,,245,1.09,0,1.36,0.25,Compound,None,,,273,0.79,0,0.97,0.07,Artifact,Weak,,
22,6.55,0,1.13,0.11,Artifact,Weak,,,50,4.82,0.4,1.97,10.06,Compound,None,,,78,4.4,0,4.56,1.45,Compound,None,,,106,3.69,0,2.03,0.92,Compound,None,,,134,3.47,0,1.27,0.65,Artifact,Weak,,,162,3.08,0.1,3.72,3.41,Compound,None,,,190,2.68,0.4,1.59,9.18,Solvent,Weak + C13_Sat,,,218,2.19,0,1.3,0.25,Impurity,None,,,246,1.08,0.1,1.13,2.16,Compound,None,,,274,0.77,0,2.04,0.35,Compound,None,,
23,6.54,0,2.35,0.78,Compound,None,,,51,4.8,0,1.12,0.09,Artifact,Weak,,,79,4.39,0,2.27,0.79,Compound,None,,,107,3.69,0,2.03,0.67,Compound,None,,,135,3.46,0.3,1.83,7.38,Artifact,Weak,,,163,3.07,0.1,2.21,2.4,Compound,None,,,191,2.67,0.3,1.39,5.15,Solvent,Weak + C13_Sat,,,219,2.18,0,0.95,0.07,Artifact,Weak,,,247,1.08,0.5,0.79,5.12,Compound,None,,,275,0.75,0,4.6,0.81,Compound,None,,
24,6.53,0.4,1.46,7.38,Compound,None,,,52,4.79,0,2.31,0.36,Compound,None,,,80,4.37,0.1,2.09,4.12,Compound,None,,,108,3.68,0.1,1.97,1.51,Compound,None,,,136,3.45,0.2,1.87,6.39,Artifact,Weak,,,164,3.06,0.1,1.72,1.13,Compound,None,,,192,2.67,0.1,1.37,1.85,Solvent,Weak + C13_Sat,,,220,2.17,0,1.15,0.1,Impurity,Weak,,,248,1.06,1.1,0.83,12.67,Compound,None,,,276,0.74,0,1.25,0.31,Compound,None,,
25,6.21,0.1,2.15,2.34,Compound,None,,,53,4.77,0.3,1.96,7.03,Compound,None,,,81,4.36,0.1,1.7,1.44,Compound,None,,,109,3.67,0.1,2.53,2.4,Compound,None,,,137,3.45,0.2,1.42,3.83,Artifact,Weak,,,165,3.06,0.1,2.5,2.59,Compound,None,,,193,2.58,0,32.15,20.44,Artifact,Weak,,,221,2.14,0,0.77,0.44,Compound,None,,,249,1.06,0.2,1.97,5.14,Compound,None,,,277,0.72,0,2.46,0.28,Impurity,None,,
26,6.2,0.1,1.82,2.13,Compound,None,,,54,4.77,0.1,1.48,1.78,Compound,None,,,82,4.36,0.3,2.25,9.23,Compound,None,,,110,3.66,0.1,3.66,3.57,Compound,None,,,138,3.43,0.2,1.4,3.77,Artifact,Weak,,,166,3.05,0.1,2.21,3.88,Compound,None,,,194,2.57,0,1.1,0.28,Artifact,Weak,,,222,2.13,0,0.79,0.45,Compound,None,,,250,1.05,0.7,1.4,13.93,Compound,None,,,278,0.08,0,1.86,0.3,Impurity,None,,
27,5.79,0,2.34,0.3,Impurity,Weak,,,55,4.76,0.2,2.39,7.09,Compound,None,,,83,4.35,0.3,2.41,9.97,Compound,None,,,111,3.66,0,1.96,1.29,Compound,None,,,139,3.43,0.2,2.38,5.42,Artifact,Weak,,,167,3.04,0.1,2.02,2.09,Compound,None,,,195,2.56,0.1,16.32,22.26,Artifact,Weak,,,223,2.1,0,1.15,0.22,Compound,None,,,251,1.05,0.5,0.8,5.51,Compound,None,,,279,-0.05,0,0.64,0.05,Artifact,Weak,,
28,5.76,0,1.83,0.53,Compound,None,,,56,4.76,0.2,1.97,5.7,Compound,None,,,84,4.33,0.1,2.2,3.17,Compound,None,,,112,3.65,0,2.1,1.38,Compound,None,,,140,3.42,0.4,89.51,525.27,Artifact,Weak,,,168,3.03,0,2.01,0.79,Compound,None,,,196,2.55,0.1,6.85,8.28,Artifact,Weak,,,224,2.09,0.1,0.77,1.21,Compound,None,,,252,1.04,0.3,2.32,7.47,Compound,None,,,,,,,,,,,
