,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.94,0,1.55,0.13,Impurity,Weak,,,39,6.14,0,3.18,0.5,Impurity,None,,,67,5.01,0,9.1,2.21,Compound,None,,,95,4.64,0,5.5,2.88,Compound,None,,,123,4.22,0,2.95,0.62,Impurity,None,,,151,3.65,0.2,3.59,8.42,Artifact,Weak,,,179,3.39,0.5,10.14,79.52,Artifact,Weak,,,207,3.01,0.1,2.57,4.28,Artifact,Weak,,,235,2.5,83,1.9,2050.39,Solvent,None,,,263,2.1,0,1,0.08,Artifact,Weak,,,291,1.17,0,1.17,0.11,Impurity,Weak,,,319,0.84,0.1,3.57,5.46,Compound,None,,
12,7.89,0,1.36,0.1,Artifact,Weak,,,40,6.13,0,2.93,0.48,Impurity,None,,,68,5,0,3.13,0.49,Compound,None,,,96,4.63,0,5.07,1.82,Compound,None,,,124,4.21,0,1.76,0.21,Impurity,Weak,,,152,3.65,0.1,3.32,6.29,Artifact,Weak,,,180,3.26,0.1,2.65,4.9,Artifact,Weak,,,208,3,0.1,2.71,1.97,Artifact,Weak,,,236,2.5,51.4,1.5,949.22,Solvent,None,,,264,2.09,0,1.57,0.93,Compound,None,,,292,1.15,0,1.31,0.14,Compound,Weak,,,320,0.83,0.1,4.23,3.85,Compound,None,,
13,7.69,0,2.45,0.25,Impurity,Weak,,,41,6.1,0,1.95,0.23,Impurity,Weak,,,69,4.99,0,1.2,0.11,Artifact,Weak,,,97,4.62,0.2,2.69,8.44,Compound,None,,,125,4.2,0,3.06,0.6,Impurity,None,,,153,3.64,0.2,4.21,11.13,Artifact,Weak,,,181,3.25,0.1,2.74,5.1,Artifact,Weak,,,209,3,0,1.83,0.77,Compound,None,,,237,2.49,22.2,1.55,386.95,Solvent,None,,,265,2.08,0.2,0.96,2.15,Compound,None,,,293,1.15,0,3.74,2.2,Compound,None,,,321,0.82,0.1,8.41,8.82,Compound,None,,
14,7.42,0,0.79,0.11,Impurity,Weak,,,42,6.1,0,2.45,0.23,Impurity,Weak,,,70,4.97,0,1.75,0.25,Compound,Weak,,,98,4.61,0.2,2.69,8.14,Compound,None,,,126,4.18,0,1.27,0.3,Impurity,None,,,154,3.63,0.1,3.48,6.08,Artifact,Weak,,,182,3.24,0.1,2.22,3.63,Artifact,Weak,,,210,2.99,0,1.93,0.65,Compound,None,,,238,2.41,0,2.77,0.8,Artifact,Weak,,,266,2.08,0,1.93,0.29,Compound,None,,,294,1.14,0,4.46,0.8,Compound,None,,,322,0.81,0.1,12.43,9.59,Compound,None,,
15,7.26,0,1.47,0.13,Artifact,Weak,,,43,6.07,0,1.5,0.15,Impurity,Weak,,,71,4.96,0,5.71,1.1,Compound,None,,,99,4.59,0.4,2.08,10.95,Compound,None,,,127,4.13,0.1,2.95,3.45,Compound,None,,,155,3.62,0.1,2.2,1.53,Artifact,Weak,,,183,3.23,0.2,2.67,8.38,Artifact,Weak,,,211,2.98,0.1,1.92,1.23,Compound,None,,,239,2.4,0,1.02,0.13,Artifact,Weak,,,267,2.07,0,1.09,0.5,Compound,None,,,295,1.13,0,0.81,0.09,Impurity,Weak,,,323,0.8,0,3.4,1.09,Compound,None,,
16,7.24,0,5.32,0.58,Artifact,Weak,,,44,6.06,0,1.22,0.11,Impurity,Weak,,,72,4.94,0,2.99,0.74,Compound,None,,,100,4.57,0.4,2.08,11.5,Compound,None,,,128,4.12,0.1,3.12,3.91,Compound,None,,,156,3.61,0,1.71,0.71,Artifact,Weak,,,184,3.22,0.1,2.46,3.88,Artifact,Weak,,,212,2.96,0,1.42,0.53,Impurity,None,,,240,2.39,0,2.46,0.43,Artifact,Weak,,,268,2.06,0,1.55,0.38,Compound,None,,,296,1.12,0,1.53,0.14,Artifact,Weak,,,324,0.79,0,2.02,0.73,Compound,None,,
17,7.21,0.1,27.71,39.39,Compound,None,,,45,6.02,0,3.31,0.43,Impurity,Weak,,,73,4.93,0,3.12,0.82,Compound,None,,,101,4.5,0,1.23,0.11,Impurity,Weak,,,129,4.1,0,1.82,0.22,Compound,None,,,157,3.61,0.1,1.59,1.09,Artifact,Weak,,,185,3.22,0.1,2.65,4.45,Artifact,Weak,,,213,2.96,0.1,2.19,3.74,Compound,None,,,241,2.36,0,2.37,0.22,Impurity,Weak,,,269,2.06,0,3.02,1.01,Compound,None,,,297,1.12,0,6.4,1.15,Compound,None,,,325,0.78,0,1.92,0.67,Compound,None,,
18,7.09,0.1,33.15,58.73,Compound,None,,,46,6.01,0,1.08,0.07,Artifact,Weak,,,74,4.92,0,3.01,1.2,Compound,None,,,102,4.49,0,2.53,0.76,Compound,None,,,130,4.09,0,1.88,0.14,Artifact,Weak,,,158,3.6,0,3.45,1.92,Artifact,Weak,,,186,3.21,0.1,1.93,2.57,Artifact,Weak,,,214,2.95,0.2,2.22,5.28,Compound,None,,,242,2.34,0.1,1.53,2.02,Solvent,Weak + C13_Sat,,,270,2.03,0,1.01,0.12,Impurity,Weak,,,298,1.11,0.2,1.19,3.29,Compound,None,,,326,0.78,0,1.33,0.26,Compound,None,,
19,6.97,0.1,26.63,31.56,Compound,None,,,47,5.81,0,1.25,0.09,Artifact,Weak,,,75,4.91,0.2,2.08,4.34,Compound,None,,,103,4.48,0.2,2.32,5.96,Compound,None,,,131,4.04,0.1,4.63,4.4,Compound,None,,,159,3.59,0,1.56,0.93,Artifact,Weak,,,187,3.2,0,3.68,0.96,Artifact,Weak,,,215,2.95,0.1,1.97,3.11,Compound,None,,,243,2.33,0.3,1.83,6.5,Solvent,Weak + C13_Sat,,,271,1.91,0.9,1.1,11.8,Compound,None,,,299,1.09,0.3,1.43,6.62,Compound,None,,,327,0.76,0,5.3,2.37,Compound,None,,
20,6.84,0,1.4,0.11,Artifact,Weak,,,48,5.78,0,3.58,0.81,Compound,None,,,76,4.9,0.3,2.93,9.41,Compound,None,,,104,4.47,0.4,2.57,12.68,Compound,None,,,132,4.01,0,1.97,0.28,Impurity,Weak,,,160,3.58,0,1.71,0.54,Artifact,Weak,,,188,3.19,0.1,29.82,33.01,Artifact,Weak,,,216,2.94,0,1.51,0.76,Compound,None,,,244,2.33,0.4,1.95,10.93,Solvent,Weak + C13_Sat,,,272,1.84,0,19.87,8.27,Compound,None,,,300,1.07,0.3,1.45,5.64,Compound,None,,,328,0.74,0,3.52,0.99,Compound,None,,
21,6.82,0,2.09,0.26,Impurity,Weak,,,49,5.75,0,2.23,0.86,Compound,None,,,77,4.89,0.2,1.88,3.52,Compound,None,,,105,4.45,0.2,2.71,7.17,Compound,None,,,133,3.96,0,12.29,6.68,Compound,None,,,161,3.58,0.2,2.2,4.83,Artifact,Weak,,,189,3.17,0.1,1.45,1.9,Artifact,Weak,,,217,2.92,0,3.22,0.54,Impurity,None,,,245,2.32,0.3,1.82,6.61,Solvent,Weak + C13_Sat,,,273,1.82,0,1.99,1.11,Compound,None,,,301,1.07,0.6,0.9,6.46,Compound,None,,,329,0.73,0,1.64,0.52,Compound,None,,
22,6.7,0,0.92,0.08,Artifact,Weak,,,50,5.63,0,4.82,0.46,Artifact,Weak,,,78,4.88,0.4,2.18,12.21,Compound,None,,,106,4.44,0.2,2.41,7.09,Compound,None,,,134,3.95,0,5.57,1.47,Compound,None,,,162,3.57,0.3,3.08,11.08,Artifact,Weak,,,190,3.16,0.2,2.84,6.28,Artifact,Weak,,,218,2.91,0.1,1.92,3.11,Compound,None,,,246,2.32,0.1,1.31,1.38,Solvent,Weak + C13_Sat,,,274,1.81,0,2.09,0.55,Compound,None,,,302,1.05,1.2,0.99,15.11,Compound,None,,,330,0.71,0,2.96,0.67,Compound,None,,
23,6.68,0,4.35,0.51,Impurity,Weak,,,51,5.53,0,1.1,0.11,Artifact,Weak,,,79,4.87,0.4,2.32,13.18,Compound,None,,,107,4.42,0.2,2.35,7.15,Compound,None,,,135,3.84,0,0.66,0.07,Impurity,Weak,,,163,3.56,0.2,2.31,5.55,Artifact,Weak,,,191,3.15,0.1,2.1,2.48,Artifact,Weak,,,219,2.9,0.1,1.83,2.91,Compound,None,,,247,2.31,0,1.22,0.3,Compound,Weak,,,275,1.77,0,2.59,0.92,Compound,None,,,303,1.05,0.2,1.9,4.66,Compound,None,,,331,0.69,0,3.32,0.25,Artifact,Weak,,
24,6.67,0,4.31,0.4,Impurity,Weak,,,52,5.46,0,3.48,0.44,Impurity,Weak,,,80,4.85,0.1,6.79,5.16,Compound,None,,,108,4.41,0.1,2.82,3.93,Compound,None,,,136,3.82,0,1.82,0.18,Artifact,Weak,,,164,3.54,0.4,4.51,20.91,Artifact,Weak,,,192,3.14,0.2,3.95,8.09,Artifact,Weak,,,220,2.89,0.2,2.87,5,Compound,None,,,248,2.3,0,1.04,0.35,Compound,None,,,276,1.75,0.1,1.51,1.1,Compound,None,,,304,1.04,0.7,1.33,12.74,Compound,None,,,332,0.07,0,2.89,0.51,Impurity,None,,
25,6.57,0.5,1.7,11.78,Compound,None,,,53,5.42,0,1.09,0.15,Compound,None,,,81,4.84,0.1,3.27,2.45,Compound,None,,,109,4.39,0.1,3.13,5.31,Compound,None,,,137,3.8,0,1.98,0.78,Compound,None,,,165,3.53,0.3,3.22,10.93,Artifact,Weak,,,193,3.13,0.3,3.78,11.55,Artifact,Weak,,,221,2.87,0.2,3.08,6.91,Compound,None,,,249,2.3,0,2.07,0.76,Compound,None,,,277,1.65,0,2.95,0.36,Impurity,Weak,,,305,1.04,0.6,1.14,9.52,Compound,None,,,,,,,,,,,
26,6.55,0.5,1.64,11.33,Compound,None,,,54,5.41,0,25.52,6.91,Compound,None,,,82,4.82,1.1,2.52,33.23,Compound,None,,,110,4.38,0,2.71,1.19,Compound,None,,,138,3.79,0,1.38,0.19,Compound,None,,,166,3.53,0.1,2.74,2.75,Artifact,Weak,,,194,3.12,0.2,2.89,5.52,Artifact,Weak,,,222,2.86,0.1,2.24,2.99,Compound,None,,,250,2.28,0.1,1.7,2.45,Compound,None,,,278,1.63,0,1.47,0.22,Impurity,Weak,,,306,1.03,0.7,1.58,15.52,Compound,None,,,,,,,,,,,
27,6.55,0,1.4,0.51,Impurity,None,,,55,5.37,0,0.94,0.09,Artifact,Weak,,,83,4.81,1.1,2.69,37.67,Compound,None,,,111,4.36,0.2,2.66,6.91,Compound,None,,,139,3.78,0,1.25,0.19,Compound,None,,,167,3.52,0.1,1.96,2.57,Artifact,Weak,,,195,3.11,0.3,2.9,10.26,Artifact,Weak,,,223,2.85,0.1,1.97,2.52,Compound,None,,,251,2.26,0.2,1.54,3.31,Compound,None,,,279,1.49,0,3.46,0.35,Artifact,Weak,,,307,1.02,0,2.74,1.75,Compound,None,,,,,,,,,,,
28,6.53,0,1.58,0.68,Compound,None,,,56,5.32,0,10.75,3.38,Compound,None,,,84,4.8,0,2.46,0.82,Compound,None,,,112,4.35,0.1,2.3,3.1,Compound,None,,,140,3.77,0,2.34,0.55,Compound,None,,,168,3.5,0.5,2.2,12.98,Artifact,Weak,,,196,3.1,0.2,3.34,9.97,Artifact,Weak,,,224,2.68,0.1,1.31,1.26,Solvent,Weak + C13_Sat,,,252,2.25,0,0.99,0.21,Compound,Weak,,,280,1.47,0,0.89,0.1,Artifact,Weak,,,308,1,0,4.68,1.75,Compound,None,,,,,,,,,,,
