,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,6.22,0,4.49,1.01,Compound,Weak,,,38,4.74,0.6,5.95,43.5,Compound,None,,,65,3.97,0,9.11,5.12,Compound,None,,,92,3.22,0.1,6.39,4.81,Artifact,Weak,,,119,2.61,0.1,38.7,30.97,Artifact,Weak,,,146,1.09,0.2,3.21,9.87,Compound,None,,
12,6.2,0.2,3.81,11.75,Compound,None,,,39,4.74,0.2,4.01,9.04,Compound,None,,,66,3.96,0,8.59,4.26,Compound,None,,,93,3.21,0.1,5.78,3.76,Artifact,Weak,,,120,2.5,100,5.07,6054.06,Solvent,None,,,147,1.07,0.2,3.72,11.68,Compound,None,,
13,6.19,0.2,3.57,8.82,Compound,None,,,40,4.66,0,5.87,1.95,Impurity,None,,,67,3.94,0,2.66,0.46,Artifact,Weak,,,94,3.21,0,3.32,1.97,Artifact,Weak,,,121,2.39,0.1,83.84,62.23,Artifact,Weak,,,148,1.04,1.3,4.88,77.99,Compound,None,,
14,6.14,0,4.07,0.63,Artifact,Weak,,,41,4.64,0,18.26,11.08,Compound,None,,,68,3.71,0.1,137.13,146.89,Artifact,Weak,,,95,3.16,0.1,2.81,1.94,Artifact,Weak,,,122,2.33,0.5,6.95,44.01,Solvent,Weak + C13_Sat,,,149,1.03,1.4,5.28,94.61,Compound,None,,
15,6.12,0,1.86,0.26,Artifact,Weak,,,42,4.62,0.2,4.85,12.54,Compound,None,,,69,3.67,0,48.67,8.69,Artifact,Weak,,,96,3.15,0.1,3.22,2.92,Artifact,Weak,,,123,2.28,0.1,4.23,4.17,Artifact,Weak,,,150,1.01,0.1,3.25,4.58,Compound,None,,
16,5.82,0,3.24,0.84,Impurity,Weak,,,43,4.6,0.2,3.94,8.77,Compound,None,,,70,3.66,0.1,5.05,5.59,Artifact,Weak,,,97,3.14,0.1,3.81,4.99,Artifact,Weak,,,124,2.26,0.1,4,6.84,Artifact,Weak,,,151,1,0.1,5.28,10.32,Compound,None,,
17,5.75,0,4.6,1.99,Impurity,None,,,44,4.58,0.2,4.03,12.76,Compound,None,,,71,3.65,0.1,5.31,8.79,Artifact,Weak,,,98,3.13,0.2,4.75,11.21,Artifact,Weak,,,125,2.24,0.1,3.4,2.9,Artifact,Weak,,,152,0.87,0.2,44.54,99.27,Compound,None,,
18,5.63,0,0.94,0.12,Artifact,Weak,,,45,4.57,0.2,3.79,11.61,Compound,None,,,72,3.63,0.2,8.42,18.98,Artifact,Weak,,,99,3.12,0.1,3.63,3.93,Artifact,Weak,,,126,2.23,0,6.45,1.62,Artifact,Weak,,,153,0.85,0,4.55,2.64,Compound,None,,
19,5.44,0,16.48,4.97,Compound,None,,,46,4.49,0,8.65,4.15,Compound,None,,,73,3.61,0.3,77.08,194.88,Artifact,Weak,,,100,3.11,0.3,9.18,32.63,Artifact,Weak,,,127,2.21,0,8.18,5.44,Artifact,Weak,,,154,0.83,0.1,12.7,9.54,Compound,None,,
20,5.4,0,11.74,3.49,Compound,None,,,47,4.48,0.1,4.29,6.4,Compound,None,,,74,3.61,0,4.86,1.14,Artifact,Weak,,,101,3.1,0.2,10.13,25.8,Artifact,Weak,,,128,2.19,0,4.79,1.16,Artifact,Weak,,,155,0.81,0,3.08,0.52,Artifact,Weak,,
21,5.32,0,11.43,2.93,Compound,None,,,48,4.46,0.2,4.06,11.53,Compound,None,,,75,3.59,0,2.39,0.73,Artifact,Weak,,,102,3.08,0.1,3.81,5.28,Artifact,Weak,,,129,2.18,0,3.44,0.49,Impurity,Weak,,,156,0.13,0,3.34,1.07,Impurity,None,,
22,5.23,0,5,0.62,Artifact,Weak,,,49,4.45,0.1,5,7.74,Compound,None,,,76,3.58,0.1,3.98,3.84,Artifact,Weak,,,103,3.08,0.1,4.49,6.88,Artifact,Weak,,,130,2.09,0,3.67,1.15,Impurity,None,,,157,0.08,0.5,2.87,17.67,Compound,None,,
23,5.11,0,5.14,0.61,Compound,Weak,,,50,4.44,0.2,4.06,9.55,Compound,None,,,77,3.57,0.2,4.39,11.87,Artifact,Weak,,,104,3.06,0.2,5.38,11.5,Artifact,Weak,,,131,2.08,0,1.57,0.54,Impurity,Weak,,,158,0.07,0.1,4.69,7.67,Compound,None,,
24,5.1,0.1,15.13,11.38,Compound,None,,,51,4.42,0.2,3.85,8.7,Compound,None,,,78,3.56,0.1,5.13,8.91,Artifact,Weak,,,105,3.05,0.1,4.87,9.21,Artifact,Weak,,,132,2.01,0,1.29,0.17,Artifact,Weak,,,,,,,,,,,
25,5.05,0,508.66,166.38,Compound,None,,,52,4.4,0.1,7.28,7.53,Compound,None,,,79,3.54,0.3,6.59,24.97,Artifact,Weak,,,106,3.04,0.2,4.54,14.68,Artifact,Weak,,,133,1.91,0.1,3.06,3.72,Compound,None,,,,,,,,,,,
26,5,0,8.41,0.94,Impurity,Weak,,,53,4.39,0,4.42,2.81,Compound,None,,,80,3.53,0.2,5.69,16.32,Artifact,Weak,,,107,3.03,0.1,4.65,7.91,Artifact,Weak,,,134,1.85,0,34.5,11.93,Compound,None,,,,,,,,,,,
27,4.96,0.2,156.82,347.1,Compound,None,,,54,4.36,0.1,4.65,5.68,Compound,None,,,81,3.52,0.1,3.8,2.91,Artifact,Weak,,,108,3.02,0.1,10.03,16.27,Artifact,Weak,,,135,1.82,0,2.73,0.81,Impurity,Weak,,,,,,,,,,,
