,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
25,5.41,85,25.94,29085.74,Compound,None,,,51,4.63,99.9,5.89,7542.76,Compound,None,,,,,,,,,,,,103,1,57,1.37,1085.33,Artifact,Weak,,,,,,,,,,,
26,5.32,97.1,10.51,11542.81,Compound,None,,,52,4.62,788.5,1.71,17500.67,Compound,None,,,,,,,,,,,,104,0.98,97.4,0.86,1138.31,Impurity,Weak,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,53,4.6,801.1,1.64,17811.71,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,54,4.59,1284.1,1.59,26296.09,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,55,4.57,1303.1,1.61,27700.8,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,4.49,114.7,2.29,3761.81,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,57,4.48,554.2,2.04,14692.67,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,58,4.47,1010.1,1.96,24264.69,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,59,4.45,478.2,1.75,11013.41,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60,4.45,75.3,1.62,1149.52,Compound,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,61,4.44,790.4,1.47,14898.64,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,62,4.42,823,1.47,15224.36,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,63,4.4,176.1,1.62,3745.66,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,64,4.39,239.5,1.94,6670.32,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,65,4.38,125.8,1.83,2202.14,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66,4.36,960.2,1.65,21835.07,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,67,4.35,436,1.95,11597.88,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,4.35,1830.1,1.5,35804.85,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,69,4.35,468.2,1.48,8203.15,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,70,4.34,1860.6,2.23,52945.19,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,71,4.33,215.4,0.93,2342.61,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,4.32,582,2.08,15522.39,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,73,4.31,197,1.72,4349.98,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,74,4.3,102,1.23,1279.4,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75,4.28,592,1.43,10596.02,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,76,4.27,588.8,1.39,11068.76,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,77,4.26,640.7,1.5,12279.25,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,78,4.25,619.1,1.47,11997.31,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
