,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,7.69,0,2.94,0.33,Impurity,Weak,,,40,6.02,0,1.97,0.13,Artifact,Weak,,,69,4.81,1.2,2.74,40.19,Compound,None,,,98,4.36,0.2,3.24,8.04,Compound,None,,,127,3.65,0.2,3.13,6.7,Artifact,Weak,,,156,3.4,0.1,3.62,4.06,Artifact,Weak,,,185,3.02,0.1,2.89,4.08,Artifact,Weak,,,214,2.33,0.3,1.72,6.07,Solvent,Weak + C13_Sat,,,243,1.35,0.1,1.9,2.85,Compound,None,,,272,0.87,0.1,10.75,12.6,Compound,None,,
12,7.47,0,1.58,0.82,Impurity,None,,,41,6.02,0,1.33,0.22,Impurity,Weak,,,70,4.78,0,2.6,0.37,Impurity,Weak,,,99,4.34,0.4,3.41,17.57,Compound,None,,,128,3.65,0.1,2.89,4.99,Artifact,Weak,,,157,3.39,0.4,4.01,21.32,Artifact,Weak,,,186,3.02,0.1,2.14,2.61,Artifact,Weak,,,215,2.33,0.4,1.82,9.41,Solvent,Weak + C13_Sat,,,244,1.33,0,2.08,0.54,Compound,None,,,273,0.86,0.1,2.31,2.13,Compound,None,,
13,7.46,0,1.69,0.69,Impurity,None,,,42,5.78,0,1.43,0.33,Impurity,Weak,,,71,4.76,0.6,3.56,28.1,Compound,None,,,100,4.33,0.4,4.2,23.52,Compound,None,,,129,3.64,0.2,2.89,6.97,Artifact,Weak,,,158,3.37,0.2,2.95,8.18,Artifact,Weak,,,187,3.02,0.1,2.25,3.09,Artifact,Weak,,,216,2.32,0.3,1.82,7.13,Solvent,Weak + C13_Sat,,,245,1.3,0,1.3,0.13,Artifact,Weak,,,274,0.85,0.1,3.73,6.78,Compound,None,,
14,7.11,0.2,56.85,135.46,Compound,None,,,43,5.63,0,2.11,0.21,Artifact,Weak,,,72,4.75,0.2,2.04,4.88,Compound,None,,,101,4.32,0.1,3.18,5.79,Compound,None,,,130,3.63,0.2,3.48,7.2,Artifact,Weak,,,159,3.36,0.8,12.14,150.11,Artifact,Weak,,,188,3.01,0.1,2.39,3.65,Artifact,Weak,,,217,2.32,0.1,1.82,3,Solvent,Weak + C13_Sat,,,246,1.26,0.1,6.78,6.17,Compound,None,,,275,0.85,0.1,2.89,4.38,Compound,None,,
15,7.11,0.1,126.76,110.83,Compound,None,,,44,5.54,0,6.6,0.54,Artifact,Weak,,,73,4.74,0.7,3.8,31.69,Compound,None,,,102,4.31,0.1,3.15,3.57,Compound,None,,,131,3.62,0,1.96,0.96,Artifact,Weak,,,160,3.27,0.1,28.1,32.38,Artifact,Weak,,,189,3,0.1,2.91,3.59,Artifact,Weak,,,218,2.29,0,1.87,0.58,Compound,None,,,247,1.24,0.2,4.44,9.76,Compound,None,,,276,0.84,0.1,4.01,7.8,Compound,None,,
16,6.83,0,0.86,0.09,Artifact,Weak,,,45,5.51,0,0.89,0.07,Artifact,Weak,,,74,4.74,0.2,2.26,6.32,Compound,None,,,103,4.3,0,3.07,1.76,Compound,None,,,132,3.61,0.1,2.07,1.7,Artifact,Weak,,,161,3.26,0.1,1.94,1.78,Artifact,Weak,,,190,3,0,1.32,0.3,Artifact,Weak,,,219,2.28,0.1,1.71,2.12,Compound,None,,,248,1.23,0.2,3.69,12.21,Compound,None,,,277,0.83,0.1,5.25,5.82,Compound,None,,
17,6.72,0,0.98,0.51,Impurity,None,,,46,5.41,0,2.43,0.34,Impurity,Weak,,,75,4.72,0,2.04,0.71,Compound,None,,,104,4.28,0.3,1.71,5.72,Compound,None,,,133,3.61,0.1,1.71,1.77,Artifact,Weak,,,162,3.25,0.1,2.07,2.12,Artifact,Weak,,,191,2.99,0,1.1,0.22,Compound,Weak,,,220,2.26,0.2,1.61,3.76,Compound,None,,,249,1.22,0,2.07,1.2,Impurity,None,,,278,0.82,0.1,3.78,2.56,Compound,None,,
18,6.71,0,1.03,0.42,Impurity,None,,,47,5.32,0,10.02,1.63,Compound,None,,,76,4.72,0,1.66,0.22,Compound,Weak,,,105,4.27,0.2,1.96,6.06,Compound,None,,,134,3.6,0.1,2.97,2.77,Artifact,Weak,,,163,3.24,0.1,2.07,2.43,Artifact,Weak,,,192,2.98,0,1.83,1,Compound,None,,,221,2.25,0,1.43,0.16,Impurity,Weak,,,250,1.21,0,6.31,1.65,Compound,None,,,279,0.81,0,3.69,2.04,Compound,None,,
19,6.71,0,0.93,0.36,Impurity,None,,,48,5.26,0,1.49,0.24,Impurity,Weak,,,77,4.71,0,1.18,0.14,Impurity,Weak,,,106,4.26,0.3,2.01,7.94,Compound,None,,,135,3.59,0.1,1.67,1.73,Artifact,Weak,,,164,3.23,0.2,2.28,5.07,Artifact,Weak,,,193,2.96,0,1.15,0.14,Impurity,Weak,,,222,2.24,0.1,1.47,1.65,Compound,None,,,251,1.2,0,12.02,1.82,Compound,None,,,280,0.8,0,3.92,2.57,Compound,None,,
20,6.71,0,1.14,0.58,Impurity,None,,,49,5.25,0,2.69,0.51,Compound,None,,,78,4.7,0,2.1,0.32,Impurity,Weak,,,107,4.25,0.3,1.83,6.69,Compound,None,,,136,3.59,0,1.77,1.26,Artifact,Weak,,,165,3.22,0.1,2.31,2.89,Artifact,Weak,,,194,2.91,0.1,1.9,2.86,Compound,None,,,223,2.23,0,2.2,0.6,Compound,None,,,252,1.19,0,1.23,0.42,Impurity,None,,,281,0.79,0,2.09,0.53,Compound,None,,
21,6.68,0,5.26,0.47,Artifact,Weak,,,50,5.23,0,2.24,1.38,Compound,None,,,79,4.68,0,1.86,0.22,Impurity,Weak,,,108,4.22,0,3.39,1.01,Impurity,None,,,137,3.58,0.2,2.24,5.09,Artifact,Weak,,,166,3.22,0.1,2.3,2.67,Artifact,Weak,,,195,2.89,0.1,2.07,3.48,Compound,None,,,224,2.22,0,1.48,0.37,Compound,None,,,253,1.16,0,1.14,0.17,Impurity,Weak,,,282,0.78,0,3.14,1.16,Compound,None,,
22,6.67,0,1.01,0.11,Artifact,Weak,,,51,5.23,0,1.18,0.13,Artifact,Weak,,,80,4.67,0,2.31,0.37,Compound,Weak,,,109,4.21,0,1.89,0.35,Impurity,Weak,,,138,3.57,0.4,2.76,11.98,Compound,None,,,167,3.21,0.1,2.31,2.85,Artifact,Weak,,,196,2.89,0.2,2.7,4.58,Compound,None,,,225,2.21,0,2.46,1.02,Compound,None,,,254,1.14,0,3.77,2.16,Compound,None,,,283,0.77,0,0.88,0.07,Artifact,Weak,,
23,6.57,0.6,1.92,14.17,Compound,None,,,52,5.22,0,2.31,0.77,Compound,None,,,81,4.66,0,3.54,1.16,Compound,None,,,110,4.2,0,2.52,0.36,Impurity,Weak,,,139,3.56,0.2,2.5,7.71,Artifact,Weak,,,168,3.2,0,1.9,0.17,Artifact,Weak,,,197,2.87,0.2,3.69,9.76,Compound,None,,,226,2.21,0,1.2,0.38,Compound,None,,,255,1.13,0,1.45,0.16,Artifact,Weak,,,284,0.76,0,1.14,0.14,Impurity,Weak,,
24,6.56,0.1,1.82,1.32,Compound,None,,,53,5.14,0,2.04,0.14,Artifact,Weak,,,82,4.64,0,4.62,0.77,Compound,None,,,111,4.18,0,1.08,0.1,Artifact,Weak,,,140,3.54,0.3,4.15,14.71,Artifact,Weak,,,169,3.17,0,1.05,0.11,Artifact,Weak,,,198,2.86,0.1,2.19,2.7,Compound,None,,,227,2.13,0,0.6,0.1,Impurity,Weak,,,256,1.11,0.1,1.24,1.71,Compound,None,,,285,0.74,0,2.8,0.44,Impurity,Weak,,
25,6.55,0.6,1.78,12.72,Compound,None,,,54,5.1,0,2.55,0.67,Compound,None,,,83,4.63,0,17.69,4.22,Compound,None,,,112,4.13,0.1,3.07,5.36,Compound,None,,,141,3.54,0.2,3.23,7.81,Artifact,Weak,,,170,3.16,0.1,2.18,1.8,Artifact,Weak,,,199,2.85,0.1,2.2,3.19,Compound,None,,,228,2.12,0,0.89,0.14,Impurity,Weak,,,257,1.09,0.4,1.53,7.58,Compound,None,,,286,0.73,0,1.71,0.41,Impurity,None,,
26,6.54,0,1.71,0.45,Compound,None,,,55,5.08,0,7.94,1.3,Compound,None,,,84,4.62,0.3,2.87,12.32,Compound,None,,,113,4.11,0.1,3.07,5.67,Compound,None,,,142,3.53,0.2,2.31,7.09,Artifact,Weak,,,171,3.15,0.1,2.05,1.57,Artifact,Weak,,,200,2.68,0.1,1.3,1.16,Solvent,Weak + C13_Sat,,,229,2.09,0,1.56,0.58,Impurity,None,,,258,1.07,0.3,1.09,3.71,Compound,None,,,287,0.71,0,2.34,0.57,Impurity,None,,
27,6.53,0,1.64,0.66,Impurity,None,,,56,5.01,0,1.7,0.35,Impurity,Weak,,,85,4.6,0.3,2.69,10.87,Compound,None,,,114,4.03,0,4.68,0.68,Impurity,Weak,,,143,3.53,0.1,2.07,3.62,Artifact,Weak,,,172,3.14,0.1,3.96,6.41,Artifact,Weak,,,201,2.67,0.3,1.81,6.47,Solvent,Weak + C13_Sat,,,230,2.08,0,1.04,0.6,Impurity,None,,,259,1.07,0.4,1.38,7.44,Compound,None,,,288,0.08,0,1,0.11,Impurity,Weak,,
28,6.48,0,1.94,0.39,Impurity,Weak,,,57,5,0,3.12,0.63,Impurity,None,,,86,4.58,0.3,2.08,8.71,Compound,None,,,115,3.97,0,2.52,0.54,Compound,None,,,144,3.52,0.1,2.08,3.02,Artifact,Weak,,,173,3.13,0.3,3.42,10.54,Artifact,Weak,,,202,2.67,0.4,1.75,9.43,Solvent,Weak + C13_Sat,,,231,2.08,0,2.17,0.32,Compound,None,,,260,1.05,0.7,1.01,9.26,Compound,None,,,289,0.07,0,3.59,1.94,Compound,None,,
29,6.46,0,1.67,0.22,Impurity,Weak,,,58,4.94,0,2.96,0.37,Impurity,Weak,,,87,4.57,0.3,2.08,8.91,Compound,None,,,116,3.95,0.1,16.3,11.62,Compound,None,,,145,3.5,0.5,2.2,13.54,Compound,None,,,174,3.12,0.2,2.18,4.44,Artifact,Weak,,,203,2.66,0.3,1.81,7.3,Solvent,Weak + C13_Sat,,,232,2.07,0,1.25,0.2,Compound,None,,,261,1.05,0.2,2.6,7.62,Compound,None,,,,,,,,,,,
