,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
13,6.12,0,3.27,0.47,Impurity,Weak,,,40,4.7,0,1.21,0.15,Artifact,Weak,,,67,3.95,0,13.17,6.87,Compound,None,,,94,3.45,0.2,4.04,8.51,Artifact,Weak,,,121,3.05,0.1,2.69,2.76,Artifact,Weak,,,148,2.32,0.2,2.53,7.6,Solvent,Weak + C13_Sat,,,175,1.07,0.2,2.32,6.44,Compound,None,,
14,6.09,0,0.98,0.14,Artifact,Weak,,,41,4.61,0.2,3.67,10.39,Compound,None,,,68,3.78,0.1,70.86,41.07,Compound,None,,,95,3.44,0,2.97,1.87,Artifact,Weak,,,122,3.05,0.1,2.83,4.37,Compound,None,,,149,2.32,0.1,1.71,1.33,Solvent,Weak + C13_Sat,,,176,1.05,0,1.81,1.1,Compound,None,,
15,5.78,0,11.28,1.38,Artifact,Weak,,,42,4.6,0.2,3.36,9.3,Compound,None,,,69,3.69,0,1.56,0.16,Artifact,Weak,,,96,3.44,0.1,3.45,6.16,Artifact,Weak,,,123,3.04,0.2,3.36,9.98,Compound,None,,,150,2.3,0,1.22,0.2,Artifact,Weak,,,177,1.05,0.3,5.41,22.04,Compound,None,,
16,5.75,0,3.01,0.34,Artifact,Weak,,,43,4.58,0.2,3.01,8.57,Compound,None,,,70,3.68,0,2.83,1.41,Artifact,Weak,,,97,3.43,0,2.53,1.16,Artifact,Weak,,,124,3.03,0.1,3.69,4.88,Artifact,Weak,,,151,2.28,0.1,2.32,1.67,Compound,None,,,178,1.03,0.3,4.53,15.59,Compound,None,,
17,5.39,0,49.03,9.07,Compound,None,,,44,4.57,0.2,3.06,8.6,Compound,None,,,71,3.68,0.1,3.86,2.8,Artifact,Weak,,,98,3.42,0.3,6.13,23.28,Artifact,Weak,,,125,3.02,0.1,10.75,10.98,Artifact,Weak,,,152,2.26,0.1,2.32,3.03,Compound,None,,,179,1.02,0,2.6,0.61,Compound,None,,
18,5.32,0,10.37,2.17,Compound,None,,,45,4.48,0.1,3.62,5.65,Compound,None,,,72,3.67,0.1,3.34,2.34,Artifact,Weak,,,99,3.4,0.2,4.71,9.58,Artifact,Weak,,,126,3,0.1,3.11,1.71,Artifact,Weak,,,153,2.24,0,2,1.34,Compound,None,,,180,1.01,0,4.56,0.61,Impurity,Weak,,
19,5.21,0,3.25,0.36,Artifact,Weak,,,46,4.46,0.2,3.25,9.3,Compound,None,,,73,3.66,0.1,59.2,125.6,Compound,None,,,100,3.4,0,0.63,0.07,Artifact,Weak,,,127,2.98,0,2.3,0.38,Artifact,Weak,,,154,2.23,0,9.87,2.63,Compound,None,,,181,0.99,0,2.24,0.19,Artifact,Weak,,
20,5.17,0,2.11,0.2,Artifact,Weak,,,47,4.45,0.1,3.81,6.14,Compound,None,,,74,3.65,0.1,7.99,12.57,Compound,Weak,,,101,3.39,0.2,3.87,9.16,Artifact,Weak,,,128,2.91,0.1,3.14,2.37,Compound,None,,,155,2.21,0,6.8,3,Compound,None,,,182,0.89,0,9.31,4.76,Compound,None,,
21,5.1,0,6.69,2.05,Compound,None,,,48,4.44,0.2,3.29,8.88,Compound,None,,,75,3.64,0.1,3.81,4.53,Artifact,Weak,,,102,3.37,0.1,3.13,3.08,Artifact,Weak,,,129,2.9,0.1,3.01,2.79,Compound,None,,,156,2.21,0,0.92,0.1,Artifact,Weak,,,183,0.87,0,9.67,6.27,Compound,None,,
22,5.09,0,31.41,15.97,Compound,None,,,49,4.42,0.2,3.15,8.69,Compound,None,,,76,3.63,0.1,3.87,3.8,Artifact,Weak,,,103,3.26,0.1,2.86,2.39,Artifact,Weak,,,130,2.89,0.1,3.8,4.36,Compound,None,,,157,2.19,0,2.91,0.67,Compound,None,,,184,0.86,0,6.72,3.99,Compound,None,,
23,5.02,0,1.17,0.15,Artifact,Weak,,,50,4.4,0.1,3.71,5.38,Compound,None,,,77,3.62,0,1.72,0.36,Artifact,Weak,,,104,3.25,0.1,5.89,8.09,Artifact,Weak,,,131,2.87,0.1,4.21,6.48,Compound,None,,,158,2.18,0,1.79,0.17,Artifact,Weak,,,185,0.85,0,4.35,1.98,Compound,None,,
24,5.01,0,4.69,1.08,Compound,None,,,51,4.39,0.1,3.28,5.01,Compound,None,,,78,3.61,0,3.08,1.66,Artifact,Weak,,,105,3.24,0,2.52,1.53,Artifact,Weak,,,132,2.87,0,3.18,2.03,Compound,None,,,159,2.09,0,1.41,0.39,Impurity,None,,,186,0.84,0,11.15,5.31,Compound,None,,
25,5,0,2.47,0.53,Compound,None,,,52,4.38,0,3.11,0.73,Compound,None,,,79,3.61,0,2.3,1.3,Artifact,Weak,,,106,3.23,0.1,3.48,5.37,Artifact,Weak,,,133,2.85,0.1,2.9,2.21,Compound,None,,,160,2.08,0,1.8,0.54,Impurity,None,,,187,0.08,0,1.57,0.99,Compound,None,,
26,4.91,0.2,3.67,8.23,Compound,None,,,53,4.36,0.1,3.47,3.73,Compound,None,,,80,3.6,0,4.07,2.29,Artifact,Weak,,,107,3.22,0,2.16,1.19,Artifact,Weak,,,134,2.75,0,14.56,2.2,Compound,None,,,161,1.91,0.1,2.2,2.87,Compound,None,,,188,0.07,0,2.42,1.09,Compound,None,,
27,4.9,0.3,3.25,10.45,Compound,None,,,54,4.34,0.3,4.55,14.06,Compound,None,,,81,3.59,0,2.42,1.45,Artifact,Weak,,,108,3.22,0.1,4.42,4.34,Artifact,Weak,,,135,2.68,0.1,2.57,3.67,Solvent,Weak + C13_Sat,,,162,1.82,0,2.73,0.69,Impurity,None,,,,,,,,,,,
