,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
15,6.68,0,0.9,0.09,Artifact,Weak,,,45,4.9,0.1,2.53,4.24,Compound,None,,,75,4.45,0.1,1.96,2.98,Compound,None,,,105,3.76,0,1.12,0.13,Impurity,Weak,,,135,3.47,0.1,1.93,1.91,Artifact,Weak,,,165,3.09,0.1,2.38,3.59,Compound,None,,,195,2.67,0.4,1.56,8.96,Solvent,Weak + C13_Sat,,,225,2.21,0,1.29,0.12,Artifact,Weak,,,255,1.35,0,2.08,0.82,Compound,None,,,285,0.83,0,3.01,1.66,Compound,None,,
16,6.67,0,1.98,0.18,Artifact,Weak,,,46,4.89,0.1,1.72,1.87,Compound,None,,,76,4.44,0.2,1.59,3.26,Compound,None,,,106,3.75,0,2.62,0.3,Impurity,Weak,,,136,3.45,0.1,1.39,2.03,Artifact,Weak,,,166,3.08,0,2.33,1.56,Compound,None,,,196,2.66,0.3,1.41,5.26,Solvent,Weak + C13_Sat,,,226,2.2,0,2.36,0.24,Artifact,Weak,,,256,1.29,0,2.41,0.17,Artifact,Weak,,,286,0.82,0.1,19.54,24.25,Compound,None,,
17,6.65,0,1.4,0.16,Impurity,Weak,,,47,4.88,0.2,2,4.46,Compound,None,,,77,4.42,0.2,1.83,4.08,Compound,None,,,107,3.68,0,1.65,0.94,Compound,None,,,137,3.45,0.1,4.44,4.52,Artifact,Weak,,,167,3.07,0.1,2.03,2.22,Compound,None,,,197,2.66,0.1,1.44,1.98,Solvent,Weak + C13_Sat,,,227,2.18,0,2.48,0.28,Impurity,Weak,,,257,1.25,0.1,43,56.75,Compound,None,,,287,0.8,0,3.23,0.6,Compound,None,,
18,6.57,0.3,1.27,5.21,Compound,None,,,48,4.87,0.2,2.08,4.88,Compound,None,,,78,4.4,0,16.67,2.76,Compound,None,,,108,3.68,0,2.03,1.18,Compound,None,,,138,3.44,0.1,2.88,5.15,Artifact,Weak,,,168,3.07,0,1.06,0.09,Impurity,Weak,,,198,2.56,0,0.96,0.14,Artifact,Weak,,,228,2.18,0,1.15,0.13,Impurity,Weak,,,258,1.24,0.2,6.27,18.52,Compound,None,,,288,0.79,0,1.06,0.25,Compound,None,,
19,6.55,0.3,1.32,5.28,Compound,None,,,49,4.85,0,3.98,0.89,Compound,None,,,79,4.4,0,2.42,1.07,Compound,None,,,109,3.67,0.1,1.93,1.8,Compound,None,,,139,3.44,0,3.72,1.27,Artifact,Weak,,,169,3.06,0.1,2.18,3.48,Compound,None,,,199,2.55,0,22.6,5.75,Artifact,Weak,,,229,2.16,0,1.61,0.16,Impurity,Weak,,,259,1.23,0.1,2.42,4.25,Compound,None,,,289,0.78,0,1.48,0.36,Compound,None,,
20,6.54,0,1.07,0.07,Artifact,Weak,,,50,4.84,0,1.5,0.32,Compound,None,,,80,4.39,0,1.83,0.66,Compound,None,,,110,3.66,0.1,1.9,1.87,Compound,None,,,140,3.43,0.1,3.73,3.66,Artifact,Weak,,,170,3.06,0.1,1.6,1.64,Compound,None,,,200,2.54,0,1.18,0.16,Artifact,Weak,,,230,2.13,0.1,0.72,0.48,Compound,None,,,260,1.15,0,3.62,2.25,Compound,None,,,290,0.76,0,2.03,0.37,Impurity,None,,
21,6.53,0,1.5,0.22,Compound,None,,,51,4.82,0.5,1.67,11.86,Compound,None,,,81,4.38,0,1.37,0.25,Compound,None,,,111,3.65,0.1,3.17,4.95,Compound,None,,,141,3.42,0.2,2.1,4.92,Artifact,Weak,,,171,3.05,0.1,2.33,3.24,Compound,None,,,201,2.54,0,1.57,0.31,Artifact,Weak,,,231,2.12,0.1,0.71,0.45,Compound,None,,,261,1.12,0,1.34,0.15,Compound,Weak,,,291,0.74,0,1.83,0.43,Impurity,None,,
22,6.52,0.1,1.39,1.56,Compound,None,,,52,4.82,0.2,1.66,5.1,Compound,None,,,82,4.36,0.1,1.98,3.14,Compound,None,,,112,3.65,0.1,2.14,1.71,Compound,None,,,142,3.42,0.2,2.57,7.15,Artifact,Weak,,,172,3.04,0.2,2.35,6.51,Compound,None,,,202,2.52,0.2,0.98,2.44,Artifact,Weak,,,232,2.09,0,1.7,0.25,Compound,None,,,262,1.11,0.2,0.93,2.03,Compound,None,,,292,0.73,0,1.3,0.31,Impurity,None,,
23,6.26,0,1.16,0.1,Artifact,Weak,,,53,4.81,0.6,2.08,14.49,Compound,None,,,83,4.35,0.1,2.02,1.99,Compound,None,,,113,3.64,0,1.24,0.58,Impurity,None,,,143,3.4,0.1,2.61,3.28,Artifact,Weak,,,173,3.03,0.1,1.81,2.77,Compound,None,,,203,2.52,0.1,0.52,0.38,Artifact,Weak,,,233,2.08,0.1,0.79,1.03,Compound,None,,,263,1.1,0,2.14,0.21,Artifact,Weak,,,293,0.71,0,2.46,0.41,Impurity,None,,
24,6.2,0.2,1.99,3.2,Compound,None,,,54,4.8,0,1.79,0.17,Compound,Weak,,,84,4.35,0.2,1.93,4.09,Compound,None,,,114,3.64,0.1,2.5,2.97,Compound,None,,,144,3.4,0.4,100.13,647.53,Artifact,Weak,,,174,3.02,0,2.64,1.57,Compound,None,,,204,2.51,20.8,1.14,267.2,Solvent,None,,,234,2.07,0,1.38,0.14,Artifact,Weak,,,264,1.09,0.1,1.25,1.64,Compound,None,,,294,0.08,0,0.79,0.24,Compound,None,,
25,6.19,0.2,1.84,3.38,Compound,None,,,55,4.78,0,1.96,0.23,Impurity,None,,,85,4.35,0.1,1.62,1.93,Compound,None,,,115,3.63,0.1,3.84,4.47,Compound,None,,,145,3.38,0.3,12.86,50.68,Artifact,Weak,,,175,3.02,0,1.63,0.96,Compound,None,,,205,2.5,60.2,1.65,1329.99,Solvent,None,,,235,2.07,0,1.04,0.25,Compound,None,,,265,1.07,0.1,1.04,1.14,Compound,None,,,295,0.06,0,2.21,0.61,Compound,None,,
26,6.1,0,1.52,0.12,Artifact,Weak,,,56,4.76,0.2,1.53,3.31,Compound,None,,,86,4.34,0.2,2.18,6.13,Compound,None,,,116,3.62,0,1.95,0.63,Compound,None,,,146,3.26,0.1,1.78,1.57,Artifact,Weak,,,176,3.02,0.1,1.73,1.11,Compound,None,,,206,2.5,80.7,1.42,1439.33,Solvent,None,,,236,2.07,0,1.09,0.16,Compound,Weak,,,266,1.07,0.2,0.85,2.34,Compound,None,,,,,,,,,,,
27,6.09,0,1.83,0.17,Impurity,Weak,,,57,4.76,0.2,2.1,7,Compound,None,,,87,4.33,0.1,1.92,2.07,Compound,None,,,117,3.61,0,1.77,0.67,Compound,None,,,147,3.25,0.1,2.1,1.8,Artifact,Weak,,,177,3.01,0.1,3.22,2.32,Compound,None,,,207,2.5,57.2,1.5,1089.37,Solvent,None,,,237,2.06,0,3.07,0.7,Compound,None,,,267,1.06,0,3.39,0.52,Compound,None,,,,,,,,,,,
28,5.78,0,2.42,0.35,Impurity,None,,,58,4.75,0.2,1.74,3.62,Compound,None,,,88,4.32,0.1,2.26,2.75,Compound,None,,,118,3.61,0,1.51,0.66,Compound,None,,,148,3.24,0.1,1.93,1.33,Artifact,Weak,,,178,3,0,1.59,0.38,Compound,None,,,208,2.49,22.5,1.24,327.83,Solvent,None,,,238,2.05,0,6.12,1.99,Compound,None,,,268,1.05,0.4,0.82,4.36,Compound,None,,,,,,,,,,,
29,5.75,0,3.1,0.55,Compound,None,,,59,4.75,0.2,1.75,4.41,Compound,None,,,89,4.31,0,1.81,0.44,Compound,None,,,119,3.6,0,2.65,1.02,Compound,None,,,149,3.23,0.1,2.15,3.02,Artifact,Weak,,,179,2.98,0,1.47,0.49,Compound,None,,,209,2.39,0,1.75,0.18,Artifact,Weak,,,239,2.04,0,1.75,0.23,Compound,Weak,,,269,1.04,1.1,2.79,35.28,Compound,None,,,,,,,,,,,
30,5.32,0,5.5,1.01,Compound,None,,,60,4.74,0.2,1.62,4.78,Compound,None,,,90,4.3,0,2.85,0.35,Compound,Weak,,,120,3.59,0,1.2,0.5,Compound,None,,,150,3.22,0,1.93,0.96,Artifact,Weak,,,180,2.96,0,1.36,0.55,Compound,None,,,210,2.37,0,2.64,0.16,Artifact,Weak,,,240,2.03,0,0.72,0.06,Artifact,Weak,,,270,1.04,0.2,0.97,2.83,Compound,None,,,,,,,,,,,
