,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,6.52,0,1.55,0.47,Impurity,None,,,37,3.64,0,2.72,0.71,Artifact,Weak,,,63,3.19,0,2.63,0.48,Artifact,Weak,,,89,2.33,0.4,1.78,9.24,Solvent,Weak + C13_Sat,,,115,2.01,0,7.89,2.19,Compound,None,,,141,1.21,0,2.26,0.59,Impurity,None,,,167,0.82,0,3.11,1.01,Compound,None,,
12,5.75,0,1.3,0.3,Impurity,None,,,38,3.62,0,3.19,0.31,Artifact,Weak,,,64,3.19,0,1.6,0.48,Artifact,Weak,,,90,2.32,0.3,1.83,7.2,Solvent,Weak + C13_Sat,,,116,2.01,0,3.51,0.33,Artifact,Weak,,,142,1.2,0,2.57,0.33,Compound,Weak + C13_Sat,,,168,0.81,0,4.03,1.8,Compound,None,,
13,5.12,0,25.14,3.3,Compound,None,,,39,3.59,0,1.06,0.08,Artifact,Weak,,,65,3.18,0,10.94,2.66,Artifact,Weak,,,91,2.32,0.1,1.22,1.22,Solvent,Weak + C13_Sat,,,117,1.98,0,0.86,0.08,Impurity,Weak,,,143,1.19,0,0.44,0.02,Artifact,Weak,,,169,0.8,0,6.08,1.68,Compound,None,,
14,4.91,0,303.89,141.57,Compound,None,,,40,3.57,0.1,1.09,1,Artifact,Weak,,,66,3.17,0.1,1.69,1.35,Artifact,Weak,,,92,2.3,0,1.71,1.01,Compound,None,,,118,1.91,0.6,1.1,8.42,Compound,None,,,144,1.16,0,1.32,0.15,Impurity,Weak,,,170,0.79,0,2.25,0.45,Compound,None,,
15,4.71,0,1.32,0.11,Artifact,Weak,,,41,3.57,0,1.03,0.14,Artifact,Weak,,,67,3.16,0.1,1.62,1.3,Artifact,Weak,,,93,2.3,0,1.39,0.26,Compound,Weak,,,119,1.85,0,42.69,12.65,Compound,None,,,145,1.15,0,4.02,2.21,Compound,None,,,171,0.78,0,1.45,0.22,Compound,Weak,,
16,4.42,0,4.11,0.82,Compound,None,,,42,3.53,0,2.9,0.48,Artifact,Weak,,,68,3.07,0,94.74,27.4,Artifact,Weak,,,94,2.29,0,3.09,0.56,Compound,None,,,120,1.75,0,1.5,0.52,Impurity,None,,,146,1.11,0,2.08,0.61,Compound,Weak,,,172,0.77,0,45.8,7.82,Compound,None,,
17,4.41,0,4.82,1.67,Compound,None,,,43,3.52,0,3.11,1.34,Artifact,Weak,,,69,2.96,0,1.44,0.61,Compound,None,,,95,2.29,0.1,2.38,1.73,Compound,None,,,121,1.72,0,2.44,0.43,Impurity,None,,,147,1.11,0,1.77,0.99,Compound,None,,,173,0.76,0,1.46,0.19,Impurity,Weak,,
18,4.4,0,2.57,0.5,Compound,None,,,44,3.51,0.2,3.69,7.52,Artifact,Weak,,,70,2.96,0.1,1.9,2.24,Compound,None,,,96,2.28,0,1.91,0.72,Compound,None,,,122,1.57,0,4.95,0.83,Impurity,None,,,148,1.1,0,2.17,0.69,Compound,Weak,,,174,0.73,0,1.53,0.16,Impurity,Weak,,
19,4.36,0.1,2.3,2.13,Compound,None,,,45,3.49,0.3,4.31,14.51,Artifact,Weak,,,71,2.95,0.1,2.14,4.24,Compound,None,,,97,2.28,0,2.86,0.46,Compound,None,,,123,1.55,0,5.49,1.14,Impurity,None,,,149,1.09,0,1.62,0.17,Artifact,Weak,,,175,0.71,0,2.59,0.24,Impurity,Weak,,
20,4.35,0.2,2.22,4.72,Compound,None,,,46,3.48,0.3,3.66,11.36,Artifact,Weak,,,72,2.95,0.1,1.79,2.18,Compound,None,,,98,2.27,0,4.53,1.92,Compound,None,,,124,1.54,0,1.6,0.1,Artifact,Weak,,,150,1.07,0.5,0.92,5.36,Compound,None,,,176,0.67,0,0.63,0.04,Artifact,Weak,,
21,4.33,0.1,2.08,2.95,Compound,None,,,47,3.47,0.1,2.38,3.01,Artifact,Weak,,,73,2.94,0,1.48,0.49,Compound,None,,,99,2.22,0,2.15,0.28,Impurity,Weak,,,125,1.53,0,3.72,0.53,Impurity,Weak,,,151,1.05,0.9,0.84,8.86,Compound,None,,,177,0.07,0.1,1.8,1.13,Compound,None,,
22,4.1,0,0.66,0.06,Artifact,Weak,,,48,3.46,0.1,2.71,3.77,Artifact,Weak,,,74,2.68,0.1,1.3,1.49,Solvent,Weak + C13_Sat,,,100,2.21,0,1.49,0.15,Impurity,Weak,,,126,1.51,0.1,22.18,14.91,Compound,None,,,152,1.04,2.3,3.12,87.86,Compound,None,,,178,-0.06,0,0.76,0.16,Impurity,Weak,,
23,4.03,0,3.85,2,Compound,None,,,49,3.46,0.1,2.37,3.15,Artifact,Weak,,,75,2.67,0.3,1.84,7.36,Solvent,Weak + C13_Sat,,,101,2.2,0,13.48,3.81,Compound,None,,,127,1.49,0,47.85,10.35,Compound,None,,,153,1.04,0.4,0.82,4.14,Compound,None,,,179,-0.28,0,1.01,0.08,Artifact,Weak,,
24,4.01,0,2.89,0.48,Impurity,None,,,50,3.45,0.1,1.18,2.12,Artifact,Weak,,,76,2.67,0.4,1.83,10.11,Solvent,Weak + C13_Sat,,,102,2.18,0,3.76,0.65,Compound,None,,,128,1.4,0.2,3.99,10.27,Compound,None,,,154,1.03,2.3,2.67,81.68,Compound,None,,,180,-1.78,0,0.75,0.06,Artifact,Weak,,
25,3.95,0,3.58,0.38,Impurity,Weak,,,51,3.45,0.2,3.38,9.8,Artifact,Weak,,,77,2.66,0.3,1.59,5.57,Solvent,Weak + C13_Sat,,,103,2.18,0,1.25,0.24,Compound,None,,,129,1.39,0.2,4.93,9.91,Compound,None,,,155,1.01,0.2,2.32,5.31,Compound,None,,,181,-2.59,0,0.82,0.06,Artifact,Weak,,
26,3.79,0,0.82,0.06,Impurity,Weak,,,52,3.44,0.3,2.64,10.99,Artifact,Weak,,,78,2.66,0.1,1.38,1.75,Solvent,Weak + C13_Sat,,,104,2.16,0,1.99,0.14,Artifact,Weak,,,130,1.37,0,3.18,0.25,Artifact,Weak,,,156,1,0.1,2.91,1.95,Compound,None,,,,,,,,,,,
