,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
11,6.85,65.3,0.75,665.39,Artifact,Weak,,,39,5.23,114.5,2.74,4140.54,Impurity,Weak,,,,,,,,,,,,95,4.32,1446.7,2.69,48779.74,Compound,None,,,123,1.21,287.9,6.5,25360.07,Compound,None,,,151,0.84,1757.5,3.49,82635.96,Compound,None,,
12,6.83,134.1,2.23,3848.52,Impurity,Weak,,,40,5.22,155.8,2.44,3588.32,Impurity,Weak,,,,,,,,,,,,96,4.31,186.1,2.73,5815.17,Compound,None,,,124,1.21,91.9,1.69,2040.79,Impurity,Weak,,,152,0.83,933.2,3.77,45802.81,Compound,None,,
13,6.82,119.7,1.92,2161.66,Impurity,Weak,,,41,5.17,72.4,2.2,2263.42,Artifact,Weak,,,,,,,,,,,,97,4.28,1983.2,1.79,42815.07,Compound,None,,,125,1.2,129.8,2.23,3920.14,Impurity,Weak,,,153,0.82,759,4.69,49465.46,Compound,None,,
14,6.68,86.2,2.24,2708.84,Impurity,Weak,,,42,5.13,70.6,0.94,783.63,Artifact,Weak,,,,,,,,,,,,98,4.26,2799.8,3.09,84963.36,Compound,None,,,126,1.19,65.9,0.77,563.2,Artifact,Weak,,,154,0.81,517.4,4.36,30511.73,Compound,None,,
15,6.67,106.9,2.27,3390.79,Impurity,Weak,,,43,5.11,438.7,5.06,30790.81,Compound,None,,,,,,,,,,,,99,4.25,2217,1.96,56046.15,Compound,None,,,127,1.18,214.5,1.42,3907.51,Impurity,None,,,155,0.8,625.2,4.08,37182.24,Compound,None,,
16,6.65,68.3,0.86,788.11,Artifact,Weak,,,44,5.1,451.3,4.39,28890.27,Compound,None,,,,,,,,,,,,100,4.22,302,4.1,18022.45,Compound,None,,,128,1.16,144.2,1.27,1793.72,Compound,Weak,,,156,0.79,270.3,2.49,9786.93,Compound,None,,
17,6.57,4173.9,1.84,94882.71,Compound,None,,,45,5.08,285.6,10.29,32525.85,Compound,None,,,,,,,,,,,,101,4.2,115.8,1.85,2669.72,Compound,Weak,,,129,1.14,583.3,3.55,25892.5,Compound,None,,,157,0.78,398,1.95,11307.17,Compound,None,,
18,6.55,4279.5,1.74,94860.89,Compound,None,,,46,5.04,87.9,2.21,1884.38,Impurity,Weak,,,,,,,,,,,,102,4.18,62.9,0.91,539.38,Artifact,Weak,,,130,1.12,184.3,30.08,79966.94,Compound,None,,,158,0.78,167.4,1.96,4628.74,Compound,None,,
19,6.52,440.7,2.43,14030.41,Compound,None,,,47,5.03,163.1,3.04,6704.34,Compound,None,,,,,,,,,,,,103,4.16,66.9,1.56,1519.62,Artifact,Weak,,,131,1.11,962.3,1.24,15357.3,Compound,None,,,159,0.77,59.7,0.75,481.41,Artifact,Weak,,
20,6.26,62.1,2.6,1576.45,Artifact,Weak,,,48,5.01,214.4,4.82,15055.07,Compound,None,,,,,,,,,,,,104,4.13,262.7,2.98,10839.85,Compound,None,,,132,1.09,1674.8,1.59,34847.57,Compound,None,,,160,0.76,232.4,2.69,8033.24,Compound,None,,
21,6.2,3196.9,2.45,89545.36,Compound,None,,,49,5,176.5,6.14,14860.67,Compound,None,,,,,,,,,,,,105,4.12,131.4,1.8,2841.85,Compound,None,,,133,1.07,1068,1.2,14217.18,Compound,None,,,161,0.74,158.5,2.74,5274.08,Compound,None,,
22,6.19,3037.5,2.15,71079.33,Compound,None,,,50,4.96,68.2,0.97,926.37,Artifact,Weak,,,,,,,,,,,,106,4.12,159.2,3.69,6204.31,Compound,None,,,134,1.07,6190.6,1.2,92879.41,Compound,None,,,162,0.73,309.1,1.99,6626.86,Impurity,None,,
23,6.16,62.4,1.12,808.99,Artifact,Weak,,,51,4.94,188.3,4.53,11178.36,Compound,None,,,,,,,,,,,,107,4.1,72.1,1.33,1190.63,Artifact,Weak,,,135,1.05,12250.3,1.05,155649.63,Compound,None,,,163,0.71,267.9,2.62,7108.98,Impurity,None,,
24,6.14,91.3,3.27,3756.18,Impurity,Weak,,,52,4.93,310.5,2.39,9547.35,Compound,None,,,,,,,,,,,,108,1.75,204.9,1.5,3941.93,Compound,None,,,136,1.05,2511.4,2.3,68403.1,Compound,None,,,164,0.67,76.9,0.81,911.63,Artifact,Weak,,
25,6.13,100.3,1.91,1806.88,Impurity,Weak,,,53,4.92,419.3,2.4,12822.77,Compound,None,,,,,,,,,,,,109,1.54,239.2,6.13,19359.01,Compound,None,,,137,1.04,8468.1,1.67,194851.27,Compound,None,,,165,0.06,273,2.56,8821.16,Compound,None,,
26,6.1,136.9,1.73,3041.77,Impurity,Weak,,,54,4.91,1890.9,2.2,50608.19,Compound,None,,,,,,,,,,,,110,1.52,375.8,5.17,24947.88,Compound,None,,,138,1.04,6715.3,1.32,112081.2,Compound,None,,,166,-3.02,63.5,1.18,955.32,Artifact,Weak,,
27,6.09,172.1,2.67,5703.83,Impurity,None,,,55,4.9,3069,2.86,106320.42,Compound,None,,,,,,,,,,,,111,1.5,576.2,8.91,69494.84,Compound,None,,,139,1.03,8448.9,1.85,189906.72,Compound,None,,,,,,,,,,,
28,5.9,70.7,0.66,684.99,Artifact,Weak,,,56,4.89,1912.9,1.92,42285.63,Compound,None,,,,,,,,,,,,112,1.49,266.4,3.42,11716.68,Compound,None,,,140,1.02,640.6,3.86,35555.17,Compound,None,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,57,4.88,4078.3,2.21,112936.56,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,58,4.87,4049.3,2.32,119666.02,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,59,4.85,450.9,5.26,34546.72,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60,4.84,251.2,3.77,8909.66,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,61,4.82,9295.9,2.63,301500.51,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,62,4.81,9215.6,2.33,260778.87,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,63,4.8,136.2,1,1772.41,Compound,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,64,4.78,219.8,6.74,20717.69,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,65,4.76,5975.4,3.18,234284.06,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66,4.75,2945.9,2.3,80510.23,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,67,4.74,6049.3,3.35,248761.48,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,4.74,2958.6,2.2,82270.18,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,69,4.72,352.7,2.6,10815.6,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,70,4.71,95.5,2.54,2281.58,Compound,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,71,4.69,128.5,1.33,1924.68,Impurity,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,4.66,254.6,3.88,14125.34,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,73,4.64,343.5,11.67,55293.43,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,74,4.62,2667,2.81,97027.68,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75,4.61,2601.6,2.69,89905.9,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,76,4.59,3847.1,2.2,107381.9,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,77,4.57,3973.3,2.31,116562.32,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,78,4.55,260.3,2.1,6765.1,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,79,4.54,81.3,1.97,2005.04,Compound,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,4.53,156.6,4.36,9375.61,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,81,4.52,108,2.25,2491.56,Compound,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,82,4.5,234.4,5.14,16581.5,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,83,4.49,444.8,4.17,24546.16,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,84,4.48,1724.1,2.81,62983.23,Compound,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
