,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
21,6.68,95.5,2.19,3046.62,Impurity,Weak,,,50,5.42,71.5,1.65,1540.47,Artifact,Weak,,,,,,,,,,,,108,4.44,1891.6,2.06,50386.81,Compound,None,,,137,2.26,1041.8,1.39,18374.22,Compound,None,,,166,1.75,518.9,1.36,8096.78,Compound,None,,,195,1.05,9440.2,0.87,99033.07,Compound,None,,,224,0.73,257.7,1.58,4487.5,Compound,None,,
22,6.67,120.2,2.76,4604.47,Impurity,None,,,51,5.41,216.3,10.84,34169.29,Compound,None,,,,,,,,,,,,109,4.42,1974.4,2.2,54913.54,Compound,None,,,138,2.24,513.5,1.22,8181.13,Compound,None,,,167,1.72,79.5,0.89,889.15,Impurity,Weak,,,196,1.04,16170.8,2.77,574529.71,Compound,None,,,225,0.71,183.5,2.65,6416.76,Compound,None,,
23,6.65,62.2,2.56,1995.58,Artifact,Weak,,,52,5.36,55.4,0.69,381.65,Artifact,Weak,,,,,,,,,,,,110,4.41,108.1,5.51,6469.96,Compound,None,,,139,2.22,106.8,0.62,869.6,Impurity,Weak,,,168,1.63,62.3,2.04,1316.41,Artifact,Weak,,,197,1.04,4594.9,0.83,48667.02,Compound,None,,,226,0.69,98.8,2.25,3014.38,Impurity,Weak,,
24,6.57,4368.8,1.55,83073.08,Compound,None,,,53,5.32,279.5,8.38,33334.97,Compound,None,,,,,,,,,,,,111,4.4,370.4,3.71,17630.48,Compound,None,,,140,2.21,91,1.44,1888.26,Impurity,Weak,,,169,1.58,103.1,5.04,7041.97,Compound,None,,,198,1.03,15613.6,2.84,566585.63,Compound,None,,,227,0.67,62.9,1.94,1399.69,Artifact,Weak,,
25,6.55,4542.9,1.53,85813.56,Compound,None,,,54,5.29,66,1.54,1167.56,Artifact,Weak,,,,,,,,,,,,112,4.39,279.1,2.02,7662.88,Compound,None,,,141,2.21,124.2,1.12,2012.71,Impurity,Weak,,,170,1.55,394.7,8.94,45306.79,Compound,None,,,199,1.01,1396.7,2.05,33311.71,Compound,None,,,228,0.06,240.6,2.41,7131.77,Compound,None,,
26,6.54,122.6,1.29,1751.12,Impurity,Weak,,,55,5.28,65.7,2.1,1296.48,Artifact,Weak,,,,,,,,,,,,113,4.36,1448.3,2.2,41789.38,Compound,None,,,142,2.18,136.8,1.46,2911.17,Impurity,None,,,171,1.53,68.1,1.45,938.9,Artifact,Weak,,,200,1,324.9,2.8,11707.83,Compound,None,,,229,-0.19,54.7,0.73,569.14,Artifact,Weak,,
27,6.53,117.8,1.67,2396.42,Impurity,Weak,,,56,5.23,146.3,4.27,9107.68,Compound,None,,,,,,,,,,,,114,4.35,3357.1,2.99,126337.99,Compound,None,,,143,2.16,91.6,2.12,2060.78,Impurity,Weak,,,172,1.52,336.3,11.97,42631.85,Compound,None,,,201,1,1429.5,1.83,32786.63,Compound,None,,,,,,,,,,,
28,6.52,680.8,1.6,13660.09,Compound,None,,,57,5.22,85.9,2.25,1976.5,Compound,None,,,,,,,,,,,,115,4.34,2532.5,2.82,94113.13,Compound,None,,,144,2.13,508.4,0.84,5284.54,Compound,None,,,173,1.49,153.6,23.33,40320.49,Compound,None,,,202,0.98,116.1,1.11,1611.67,Compound,Weak,,,,,,,,,,,
29,6.48,69.1,0.78,709.64,Artifact,Weak,,,58,5.17,86.9,3.15,3823.53,Impurity,Weak,,,,,,,,,,,,116,4.33,741.2,1.92,18567.4,Compound,None,,,145,2.12,493.7,0.82,5018.32,Compound,None,,,174,1.49,126.4,4.41,7222.32,Compound,None,,,203,0.97,83,2.34,2632.59,Impurity,Weak,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
