"Mass","C","H","O","N","S","P","El_comp","Class_old","Class","AImod","NOSC","HC","OC","formula_c","formula_h","formula_o","formula_n","formula_s","formula_p","formula"
281.103051900273,14,18,6,0,0,0,"CHO","Lignin","unsaturated/lignin",0.2727,-0.4286,1.29,0.43,"C14","H18","O6",NA,NA,NA,"C14H18O6"
281.139437826293,15,22,5,0,0,0,"CHO","Lignin","unsaturated/lignin",0.2,-0.8,1.47,0.33,"C15","H22","O5",NA,NA,NA,"C15H22O5"
281.175845785632,16,26,4,0,0,0,"CHO","Lipid","unsaturated aliphatic",0.1429,-1.125,1.62,0.25,"C16","H26","O4",NA,NA,NA,"C16H26O4"
282.040805105581,15,9,5,1,0,0,"CHON","ConHC","condensed aromatic",0.7391,0.2667,0.6,0.33,"C15","H9","O5","N1",NA,NA,"C15H9O5N1"
282.06203634236,12,13,7,1,0,0,"CHON","Lignin","unsaturated/lignin",0.3333,0.3333,1.08,0.58,"C12","H13","O7","N1",NA,NA,"C12H13O7N1"
282.081737992243,13,19,2,1,0,2,"CHONP","Lignin","unsaturated/lignin",0.2222,-0.9231,1.46,0.15,"C13","H19","O2","N1",NA,"P2","C13H19O2N1P2"
282.083019870195,9,17,9,1,0,0,"CHON","Carb","saturated",-1,0.4444,1.89,1,"C9","H17","O9","N1",NA,NA,"C9H17O9N1"
282.167077645564,10,25,6,3,0,0,"CHON","Other","saturated",-1.5,-0.4,2.5,0.6,"C10","H25","O6","N3",NA,NA,"C10H25O6N3"
282.966591349022,9,4,7,2,1,0,"CHONS","ConHC","condensed aromatic",1,2,0.44,0.78,"C9","H4","O7","N2","S1",NA,"C9H4O7N2S1"
283.00942321166,11,8,9,0,0,0,"CHO","ConHC","aromatic",0.5385,0.9091,0.73,0.82,"C11","H8","O9",NA,NA,NA,"C11H8O9"
283.02479295822,15,8,6,0,0,0,"CHO","ConHC","condensed aromatic",0.75,0.2667,0.53,0.4,"C15","H8","O6",NA,NA,NA,"C15H8O6"
