"Core","treatment","texture","Core_assignment","Moisture_perc","sat_level","DryWt_g","Carbon_g"
151,"Wetting","SL","Soil_sand_100_W",47.29,"35",29.88,1.65
152,"Wetting","SL","Soil_sand_100_W",47.39,"35",29.84,1.66
153,"Wetting","SL","Soil_sand_100_W",47.31,"35",29.93,1.66
154,"Wetting","SL","Soil_sand_100_W",47.3,"35",29.87,1.65
155,"Wetting","SL","Soil_sand_100_W",47.42,"35",29.84,1.66
156,"Drying","SL","Soil_sand_100_D",47.33,"35",29.92,1.66
157,"Drying","SL","Soil_sand_100_D",47.32,"35",29.9,1.66
158,"Drying","SL","Soil_sand_100_D",47.39,"35",29.88,1.66
159,"Drying","SL","Soil_sand_100_D",47.41,"35",29.87,1.66
160,"Drying","SL","Soil_sand_100_D",47.37,"35",29.89,1.66
