"Core_assignment","treatment","texture","perc_sat","formula","n","presence"
"Soil_50_D","Drying","SCL",35,"C14H12O12",5,1
"Soil_50_D","Drying","SCL",35,"C14H12O7",5,1
"Soil_50_D","Drying","SCL",35,"C14H12O8",5,1
"Soil_50_D","Drying","SCL",35,"C14H12O9",5,1
"Soil_50_D","Drying","SCL",35,"C14H14O10",5,1
"Soil_50_D","Drying","SCL",35,"C14H14O11",5,1
"Soil_50_D","Drying","SCL",35,"C14H14O12",5,1
"Soil_50_D","Drying","SCL",35,"C14H14O7",5,1
"Soil_50_D","Drying","SCL",35,"C14H14O8",5,1
"Soil_50_D","Drying","SCL",35,"C14H16O10",5,1
"Soil_50_D","Drying","SCL",35,"C14H16O11",5,1
"Soil_50_D","Drying","SCL",35,"C14H16O12",5,1
"Soil_50_D","Drying","SCL",35,"C14H16O7",5,1
"Soil_50_D","Drying","SCL",35,"C14H16O8",5,1
"Soil_50_D","Drying","SCL",35,"C14H16O9",5,1
"Soil_50_D","Drying","SCL",35,"C14H18O10",5,1
"Soil_50_D","Drying","SCL",35,"C14H18O11",5,1
"Soil_50_D","Drying","SCL",35,"C14H18O6",5,1
"Soil_50_D","Drying","SCL",35,"C14H18O7",5,1
"Soil_50_D","Drying","SCL",35,"C14H18O8",5,1
"Soil_50_D","Drying","SCL",35,"C14H18O9",5,1
"Soil_50_D","Drying","SCL",35,"C14H20O10",5,1
"Soil_50_D","Drying","SCL",35,"C14H20O6",5,1
"Soil_50_D","Drying","SCL",35,"C14H20O7",5,1
"Soil_50_D","Drying","SCL",35,"C14H20O8",5,1
"Soil_50_D","Drying","SCL",35,"C14H20O9",5,1
"Soil_50_D","Drying","SCL",35,"C14H22O6",5,1
"Soil_50_D","Drying","SCL",35,"C14H22O7",5,1
"Soil_50_D","Drying","SCL",35,"C14H22O8",5,1
"Soil_50_D","Drying","SCL",35,"C14H8O10",5,1
"Soil_50_D","Drying","SCL",35,"C14H8O8",5,1
"Soil_50_D","Drying","SCL",35,"C14H8O9",5,1
"Soil_50_D","Drying","SCL",35,"C15H10O10",5,1
"Soil_50_D","Drying","SCL",35,"C15H10O11",5,1
"Soil_50_D","Drying","SCL",35,"C15H10O12",5,1
"Soil_50_D","Drying","SCL",35,"C15H10O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H10O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H10O9",5,1
"Soil_50_D","Drying","SCL",35,"C15H12O10",5,1
"Soil_50_D","Drying","SCL",35,"C15H12O11",5,1
"Soil_50_D","Drying","SCL",35,"C15H12O12",5,1
"Soil_50_D","Drying","SCL",35,"C15H12O13",5,1
"Soil_50_D","Drying","SCL",35,"C15H12O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H12O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H12O9",5,1
"Soil_50_D","Drying","SCL",35,"C15H14O10",5,1
"Soil_50_D","Drying","SCL",35,"C15H14O11",5,1
"Soil_50_D","Drying","SCL",35,"C15H14O12",5,1
"Soil_50_D","Drying","SCL",35,"C15H14O13",5,1
"Soil_50_D","Drying","SCL",35,"C15H14O14",5,1
"Soil_50_D","Drying","SCL",35,"C15H14O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H14O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H14O9",5,1
"Soil_50_D","Drying","SCL",35,"C15H15O13P1",5,1
"Soil_50_D","Drying","SCL",35,"C15H15O8N1",5,1
"Soil_50_D","Drying","SCL",35,"C15H16O10",5,1
"Soil_50_D","Drying","SCL",35,"C15H16O11",5,1
"Soil_50_D","Drying","SCL",35,"C15H16O12",5,1
"Soil_50_D","Drying","SCL",35,"C15H16O13",5,1
"Soil_50_D","Drying","SCL",35,"C15H16O6",5,1
"Soil_50_D","Drying","SCL",35,"C15H16O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H16O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H16O9",5,1
"Soil_50_D","Drying","SCL",35,"C15H18O10",5,1
"Soil_50_D","Drying","SCL",35,"C15H18O11",5,1
"Soil_50_D","Drying","SCL",35,"C15H18O12",5,1
"Soil_50_D","Drying","SCL",35,"C15H18O6",5,1
"Soil_50_D","Drying","SCL",35,"C15H18O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H18O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H18O9",5,1
"Soil_50_D","Drying","SCL",35,"C15H20O10",5,1
"Soil_50_D","Drying","SCL",35,"C15H20O11",5,1
"Soil_50_D","Drying","SCL",35,"C15H20O6",5,1
"Soil_50_D","Drying","SCL",35,"C15H20O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H20O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H20O9",5,1
"Soil_50_D","Drying","SCL",35,"C15H22O10",5,1
"Soil_50_D","Drying","SCL",35,"C15H22O5",5,1
"Soil_50_D","Drying","SCL",35,"C15H22O6",5,1
"Soil_50_D","Drying","SCL",35,"C15H22O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H22O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H22O9",5,1
"Soil_50_D","Drying","SCL",35,"C15H24O6",5,1
"Soil_50_D","Drying","SCL",35,"C15H24O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H24O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H26O6",5,1
"Soil_50_D","Drying","SCL",35,"C15H26O7",5,1
"Soil_50_D","Drying","SCL",35,"C15H26O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H8O10",5,1
"Soil_50_D","Drying","SCL",35,"C15H8O8",5,1
"Soil_50_D","Drying","SCL",35,"C15H8O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H10O10",5,1
"Soil_50_D","Drying","SCL",35,"C16H10O11",5,1
"Soil_50_D","Drying","SCL",35,"C16H10O12",5,1
"Soil_50_D","Drying","SCL",35,"C16H10O13",5,1
"Soil_50_D","Drying","SCL",35,"C16H10O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H10O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H10O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O10",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O11",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O12",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O13",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O14",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H12O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H13O12P1",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O10",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O11",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O12",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O13",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O14",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O15",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H14O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H15O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C16H15O12P1",5,1
"Soil_50_D","Drying","SCL",35,"C16H15O13P1",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O10",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O11",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O12",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O13",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O14",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H16O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O10",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O11",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O12",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O13",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O5",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H18O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H20O10",5,1
"Soil_50_D","Drying","SCL",35,"C16H20O11",5,1
"Soil_50_D","Drying","SCL",35,"C16H20O12",5,1
"Soil_50_D","Drying","SCL",35,"C16H20O5",5,1
"Soil_50_D","Drying","SCL",35,"C16H20O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H20O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H20O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H20O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H22O10",5,1
"Soil_50_D","Drying","SCL",35,"C16H22O11",5,1
"Soil_50_D","Drying","SCL",35,"C16H22O12",5,1
"Soil_50_D","Drying","SCL",35,"C16H22O5",5,1
"Soil_50_D","Drying","SCL",35,"C16H22O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H22O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H22O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H22O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H24O10",5,1
"Soil_50_D","Drying","SCL",35,"C16H24O5",5,1
"Soil_50_D","Drying","SCL",35,"C16H24O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H24O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H24O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H24O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H26O3S1",5,1
"Soil_50_D","Drying","SCL",35,"C16H26O5",5,1
"Soil_50_D","Drying","SCL",35,"C16H26O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H26O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H26O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H26O9",5,1
"Soil_50_D","Drying","SCL",35,"C16H28O6",5,1
"Soil_50_D","Drying","SCL",35,"C16H28O7",5,1
"Soil_50_D","Drying","SCL",35,"C16H28O8",5,1
"Soil_50_D","Drying","SCL",35,"C16H8O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H10O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H10O11",5,1
"Soil_50_D","Drying","SCL",35,"C17H10O13",5,1
"Soil_50_D","Drying","SCL",35,"C17H10O14",5,1
"Soil_50_D","Drying","SCL",35,"C17H10O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H10O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H10O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O11",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O12",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O13",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O14",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O15",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H12O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H13O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H13O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O11",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O12",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O13",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O14",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O15",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H14O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H15O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H15O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H15O12N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H15O14P1",5,1
"Soil_50_D","Drying","SCL",35,"C17H15O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O11",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O12",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O13",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O14",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O15",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H16O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H17O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O11",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O12",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O13",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O14",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O15",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O5",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O8N2",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H18O9N2",5,1
"Soil_50_D","Drying","SCL",35,"C17H19O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H19O8N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O11",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O12",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O13",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O14",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O5",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H20O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H21O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H21O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H21O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O11",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O12",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O13",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O5",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H22O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H23O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H24O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H24O11",5,1
"Soil_50_D","Drying","SCL",35,"C17H24O5",5,1
"Soil_50_D","Drying","SCL",35,"C17H24O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H24O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H24O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H24O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H25O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H26O10",5,1
"Soil_50_D","Drying","SCL",35,"C17H26O4",5,1
"Soil_50_D","Drying","SCL",35,"C17H26O5",5,1
"Soil_50_D","Drying","SCL",35,"C17H26O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H26O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H26O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H26O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H27O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C17H28O3S1",5,1
"Soil_50_D","Drying","SCL",35,"C17H28O5",5,1
"Soil_50_D","Drying","SCL",35,"C17H28O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H28O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H28O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H28O9",5,1
"Soil_50_D","Drying","SCL",35,"C17H30O6",5,1
"Soil_50_D","Drying","SCL",35,"C17H30O7",5,1
"Soil_50_D","Drying","SCL",35,"C17H30O8",5,1
"Soil_50_D","Drying","SCL",35,"C17H8O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H10O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H10O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H10O12",5,1
"Soil_50_D","Drying","SCL",35,"C18H10O13",5,1
"Soil_50_D","Drying","SCL",35,"C18H10O14",5,1
"Soil_50_D","Drying","SCL",35,"C18H10O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H10O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O12",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O13",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O14",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O15",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H12O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H13O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H13O12N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O12",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O13",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O14",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O15",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O16",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H14O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H15O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H15O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H15O12N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H15O13P1",5,1
"Soil_50_D","Drying","SCL",35,"C18H15O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O12",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O13",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O14",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O15",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O16",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H16O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H17O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H17O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H17O12N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H17O13N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H17O14P1",5,1
"Soil_50_D","Drying","SCL",35,"C18H17O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O12",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O13",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O14",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O15",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O16",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O5",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H18O9N2",5,1
"Soil_50_D","Drying","SCL",35,"C18H19O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H19O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H19O12N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H19O8N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H19O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O10N2",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O12",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O13",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O14",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O15",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O5",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H20O9N2",5,1
"Soil_50_D","Drying","SCL",35,"C18H21O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H21O12N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H21O8N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H21O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O12",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O13",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O14",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O4",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O5",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H22O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H23O10N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H23O9N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O12",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O13",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O4",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O5",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H24O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H25O11N1",5,1
"Soil_50_D","Drying","SCL",35,"C18H26O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H26O11",5,1
"Soil_50_D","Drying","SCL",35,"C18H26O5",5,1
"Soil_50_D","Drying","SCL",35,"C18H26O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H26O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H26O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H26O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H27O9P1",5,1
"Soil_50_D","Drying","SCL",35,"C18H28O10",5,1
"Soil_50_D","Drying","SCL",35,"C18H28O5",5,1
"Soil_50_D","Drying","SCL",35,"C18H28O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H28O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H28O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H28O9",5,1
"Soil_50_D","Drying","SCL",35,"C18H30O3S1",5,1
"Soil_50_D","Drying","SCL",35,"C18H30O5",5,1
"Soil_50_D","Drying","SCL",35,"C18H30O6",5,1
"Soil_50_D","Drying","SCL",35,"C18H30O7",5,1
"Soil_50_D","Drying","SCL",35,"C18H30O8",5,1
"Soil_50_D","Drying","SCL",35,"C18H30O9",5,1
