"Core","FTICR_ID","npoc_mg_l","texture","treatment","sat_level","Core_assignment"
"85","FT045",13.73,"SL","Wetting",75,"Soil_sand_75_W"
"86","FT046",6.51,"SL","Drying",75,"Soil_sand_75_D"
"87","FT047",5.42,"SL","Drying",75,"Soil_sand_75_D"
"88","FT048",5.34,"SL","Drying",75,"Soil_sand_75_D"
"89","FT049",4.7,"SL","Drying",75,"Soil_sand_75_D"
"90","FT050",5.39,"SL","Drying",75,"Soil_sand_75_D"
"91","FT051",32.01,"SL","Wetting",5,"Soil_sand_dry_W"
"92","FT052",34.34,"SL","Wetting",5,"Soil_sand_dry_W"
"93","FT053",37.41,"SL","Wetting",5,"Soil_sand_dry_W"
"94","FT054",27.34,"SL","Wetting",5,"Soil_sand_dry_W"
"95","FT055",34.24,"SL","Wetting",5,"Soil_sand_dry_W"
"96","FT056",26.38,"SL","Drying",5,"Soil_sand_dry_D"
"97","FT057",27.64,"SL","Drying",5,"Soil_sand_dry_D"
"98","FT058",23.31,"SL","Drying",5,"Soil_sand_dry_D"
"99","FT059",21.3,"SL","Drying",5,"Soil_sand_dry_D"
"100","FT060",25.84,"SL","Drying",5,"Soil_sand_dry_D"
"111","FT061",16.05,"SCL","Wetting",35,"Soil_50_W"
"112","FT062",12.65,"SCL","Wetting",35,"Soil_50_W"
"113","FT063",13.98,"SCL","Wetting",35,"Soil_50_W"
"114","FT064",12.91,"SCL","Wetting",35,"Soil_50_W"
"115","FT065",13.58,"SCL","Wetting",35,"Soil_50_W"
"116","FT066",7.31,"SCL","Drying",35,"Soil_50_D"
"117","FT067",5.15,"SCL","Drying",35,"Soil_50_D"
"118","FT068",5.68,"SCL","Drying",35,"Soil_50_D"
"119","FT069",8.04,"SCL","Drying",35,"Soil_50_D"
"120","FT070",6.21,"SCL","Drying",35,"Soil_50_D"
"121","FT071",10.62,"SL","Wetting",50,"Soil_sand_50_W"
"122","FT072",12.41,"SL","Wetting",50,"Soil_sand_50_W"
"123","FT073",13.34,"SL","Wetting",50,"Soil_sand_50_W"
"124","FT074",11,"SL","Wetting",50,"Soil_sand_50_W"
"125","FT075",13.21,"SL","Wetting",50,"Soil_sand_50_W"
"126","FT076",10.43,"SL","Drying",50,"Soil_sand_50_D"
"127","FT077",8.36,"SL","Drying",50,"Soil_sand_50_D"
"128","FT078",6.52,"SL","Drying",50,"Soil_sand_50_D"
"129","FT079",7.12,"SL","Drying",50,"Soil_sand_50_D"
"130","FT080",5.04,"SL","Drying",50,"Soil_sand_50_D"
"131","FT081",5.98,"SCL","FM",NA,"Soil_fm"
"132","FT082",7.33,"SCL","FM",NA,"Soil_fm"
"133","FT083",7.27,"SCL","FM",NA,"Soil_fm"
"134","FT084",7.13,"SCL","FM",NA,"Soil_fm"
"135","FT085",7.46,"SCL","FM",NA,"Soil_fm"
"136","FT086",8.61,"SL","FM",NA,"Soil_sand_fm"
"137","FT087",8.25,"SL","FM",NA,"Soil_sand_fm"
"138","FT088",7.61,"SL","FM",NA,"Soil_sand_fm"
"139","FT089",7.76,"SL","FM",NA,"Soil_sand_fm"
"140","FT090",9.67,"SL","FM",NA,"Soil_sand_fm"
"141","FT091",14.87,"SCL","Wetting",75,"Soil_100_W"
"142","FT092",14.69,"SCL","Wetting",75,"Soil_100_W"
"143","FT093",15.56,"SCL","Wetting",75,"Soil_100_W"
"144","FT094",14.8,"SCL","Wetting",75,"Soil_100_W"
"145","FT095",16.52,"SCL","Wetting",75,"Soil_100_W"
"146","FT096",11.9,"SCL","Drying",75,"Soil_100_D"
"147","FT097",15.04,"SCL","Drying",75,"Soil_100_D"
"148","FT098",10.84,"SCL","Drying",75,"Soil_100_D"
"149","FT099",10.66,"SCL","Drying",75,"Soil_100_D"
"150","FT100",11.45,"SCL","Drying",75,"Soil_100_D"
"151","FT101",11.51,"SL","Wetting",35,"Soil_sand_100_W"
"152","FT102",13.29,"SL","Wetting",35,"Soil_sand_100_W"
"153","FT103",10.36,"SL","Wetting",35,"Soil_sand_100_W"
"154","FT104",14.29,"SL","Wetting",35,"Soil_sand_100_W"
"155","FT105",11.63,"SL","Wetting",35,"Soil_sand_100_W"
"156","FT106",14.08,"SL","Drying",35,"Soil_sand_100_D"
"157","FT107",14.31,"SL","Drying",35,"Soil_sand_100_D"
"158","FT108",10.99,"SL","Drying",35,"Soil_sand_100_D"
"159","FT109",10.45,"SL","Drying",35,"Soil_sand_100_D"
"160","FT110",13.62,"SL","Drying",35,"Soil_sand_100_D"
"QC1","FT111",89.17,NA,NA,NA,NA
"QC2","FT112",92.9,NA,NA,NA,NA
"QC3","FT113",92.9,NA,NA,NA,NA
"BL1","FT114",1.84,NA,NA,NA,NA
"BL2","FT115",1.17,NA,NA,NA,NA
"BL4","FT116",1.16,NA,NA,NA,NA
"BL5","FT117",1.14,NA,NA,NA,NA
