Core,ppm,Intensity,Width,Area,Flags
22,6.52,0.1,2.09,3.39,None
23,7.22,0.2,9.01,28.46,None
23,7.09,0.2,7.8,21.48,None
23,6.97,0.2,8.62,24.15,None
23,6.52,0.2,2.32,6.16,None
24,7.22,0.4,4.62,20.81,None
24,7.12,0.1,11.66,9.32,None
24,7.1,0.4,4.31,19.54,None
24,6.99,0.1,13.9,11.42,None
24,6.97,0.3,4.31,17.67,None
24,6.52,0.1,1.78,2.96,None
25,7.25,0.1,13.06,14.23,None
25,7.23,0.3,5.98,24.98,None
25,7.12,0.1,11.03,9.84,None
25,7.1,0.4,6.16,27.37,None
25,6.97,0.4,6.27,27.27,None
25,6.52,0.1,4.4,5,None
25,4.41,0.1,9.24,5.7,None
27,7.07,0.1,67.92,86.23,None
27,6.52,0.1,1.23,2.07,None
27,4.35,0.1,1.34,1.48,None
28,8.13,0.1,2.2,1.73,None
28,7.09,0.1,29.51,25.49,None
28,6.52,0.7,1.22,10.59,None
28,4.35,0.1,1.64,1.5,None
29,7.08,0.3,43.83,179.46,None
29,6.53,0.1,3.46,3.42,None
29,6.52,0.5,3.18,21.96,None
29,4.36,0.1,3.21,3.81,None
29,4.34,0.2,3.2,9.73,None
29,4.33,0.1,3.2,4.82,None
30,8.13,0.1,2.44,3.35,None
30,7.21,0.2,34.49,78.48,None
30,7.1,0.3,44.28,130.43,None
30,7,0.1,45.97,62.71,None
30,6.52,0.1,1.37,1.22,None
30,4.86,0.1,418.84,360.92,None
30,4.36,0.1,1.94,1.88,None
30,4.35,0.2,2.1,4.89,None
30,4.34,0.1,1.79,2.49,None
30,4.04,0.1,4.61,4.35,None
31,7.22,0.2,4.18,11.86,None
31,7.09,0.2,4.15,11.9,None
31,6.97,0.2,4.57,13.32,None
31,6.52,0.1,1.96,2.57,None
32,7.22,0.2,3.31,9.39,None
32,7.09,0.2,3.17,8.8,None
32,6.96,0.2,3.1,8.57,None
32,6.52,0.1,2.57,2.92,None
33,7.22,0.2,4.58,10.75,None
33,7.09,0.2,4.17,9.84,None
33,6.96,0.2,4.3,9.74,None
33,6.52,0.1,2.18,3.38,None
34,7.22,0.4,2.84,15.52,None
34,7.1,0.4,2.74,15.36,None
34,6.97,0.4,2.76,14.77,None
34,6.52,0.1,2.45,4.11,None
35,7.22,0.3,4.37,15.9,None
35,7.1,0.3,4.24,15.7,None
35,6.97,0.3,4.35,15.84,None
35,6.52,0.1,2.45,3.51,None
35,3.51,0.6,3.09,21.41,None
37,8.14,0.1,3.43,6.18,None
37,7.13,0.1,153.56,149.91,None
37,6.57,0.8,1.6,15.53,None
37,6.55,0.8,1.74,18.04,None
38,8.13,0.2,2.45,5.38,None
38,7.21,0.1,27.71,39.39,None
38,7.09,0.1,33.15,58.73,None
38,6.97,0.1,26.63,31.56,None
38,6.57,0.5,1.7,11.78,None
38,6.55,0.5,1.64,11.33,None
39,7.11,0.2,56.85,135.46,None
39,7.11,0.1,126.76,110.83,None
39,6.57,0.6,1.92,14.17,None
39,6.56,0.1,1.82,1.32,None
39,6.55,0.6,1.78,12.72,None
40,7.13,0.1,48.32,44.32,None
40,7.11,0.3,52.36,170.73,None
40,6.57,0.5,1.89,12.57,None
40,6.55,0.5,1.78,10.93,None
40,6.2,0.4,2.65,11.07,None
40,6.19,0.3,2.3,7.9,None
41,7.27,0.1,118.28,120.11,None
41,6.57,0.4,1.84,9.22,None
41,6.55,0.4,1.74,9.22,None
41,6.2,0.3,2.45,8.7,None
41,6.19,0.3,2.15,6.91,None
42,8.13,0.2,2.07,5.77,None
42,7.22,0.2,15.06,33.95,None
42,7.1,0.1,12.92,20.7,None
42,6.97,0.1,14.13,27.82,None
42,6.57,0.5,1.92,12.34,None
42,6.55,0.5,1.85,12.21,None
42,6.52,0.1,1.74,1.51,None
42,6.2,0.3,2.56,7.78,None
42,6.19,0.3,2.34,6.83,None
43,6.57,0.1,1.36,1.06,None
43,6.55,0.1,1.31,1.04,None
43,4.88,0.1,2.08,2.18,None
43,4.87,0.1,2.13,2.27,None
43,4.82,0.1,1.87,2.39,None
43,4.82,0.1,1.7,1.34,None
43,4.81,0.1,1.7,1.61,None
43,4.81,0.1,1.72,1.8,None
43,4.76,0.1,1.99,2.5,None
43,4.75,0.1,2.05,2.75,None
43,4.74,0.1,1.45,1.46,None
43,4.74,0.1,1.67,1.29,None
43,4.73,0.1,1.59,1.89,None
43,4.58,0.1,1.71,1.72,None
44,8.13,0.1,2.31,3.31,None
44,7.21,0.1,23.44,26.22,None
44,7.09,0.1,26.03,34.95,None
44,6.97,0.1,23.46,23.69,None
44,6.57,0.3,1.27,5.21,None
44,6.55,0.3,1.32,5.28,None
44,6.52,0.1,1.39,1.56,None
44,6.2,0.2,1.99,3.2,None
44,6.19,0.2,1.84,3.38,None
71,8.13,0.1,2.57,3.38,None
71,7.19,0.1,55.82,30.99,None
71,7.09,0.2,61.08,142.81,None
71,7,0.1,42.41,23.51,None
72,8.14,0.1,2.63,2.91,None
72,7.1,0.2,79.53,181.45,None
72,4.36,0.1,2.3,2.13,None
72,4.35,0.2,2.22,4.72,None
72,4.33,0.1,2.08,2.95,None
73,7.08,0.1,72.83,125.86,None
