"Mass","formula","HC","OC"
299.127771921391,"C12H21O3N4P1",1.75,0.25
299.149995048265,"C15H24O6",1.6,0.4
299.165296858983,"C19H24O3",1.26,0.16
299.186335180659,"C16H28O5",1.75,0.31
299.189422645958,"C15H29O2N2P1",1.93,0.13
299.259085657384,"C18H36O3",2,0.17
300.013353248781,"C8H16O5N1S2P1",2,0.62
300.998999261902,"C14H6O8",0.43,0.57
301.035365393271,"C15H10O7",0.67,0.47
301.056508843792,"C12H14O9",1.17,0.75
301.070643638144,"C10H15O5N4P1",1.5,0.5
301.07084842428,"C10H15O5N4P1",1.5,0.5
301.071739611193,"C16H14O6",0.88,0.38
301.092891072469,"C13H18O8",1.38,0.62
301.108156275134,"C17H18O5",1.06,0.29
301.129242385539,"C14H22O7",1.57,0.5
301.144537070914,"C18H22O4",1.22,0.22
301.165699098606,"C15H26O6",1.73,0.4
301.180876586838,"C19H26O3",1.37,0.16
301.202094123643,"C16H30O5",1.88,0.31
302.091192972381,"C11H18O5N3P1",1.64,0.45
302.13983090819,"C17H21O4N1",1.24,0.24
302.172090765058,"C13H25O5N3",1.92,0.38
303.013681213852,"C8H9O7N4P1",1.12,0.88
303.014634564095,"C14H8O8",0.57,0.57
303.050061202946,"C9H13O6N4P1",1.44,0.67
303.051018291042,"C15H12O7",0.8,0.47
303.072076178187,"C12H16O9",1.33,0.75
303.072298103029,"C12H16O9",1.33,0.75
303.086279921375,"C10H17O5N4P1",1.7,0.5
303.086452000306,"C8H20O8N2S1",2.5,1
303.086610101769,"C8H20O8N2S1",2.5,1
303.087421102243,"C16H16O6",1,0.38
303.098573329248,"C15H16O5N2",1.07,0.33
303.108525639449,"C13H20O8",1.54,0.62
303.1086907578,"C13H20O8",1.54,0.62
303.123757401805,"C17H20O5",1.18,0.29
303.144877080893,"C14H24O7",1.71,0.5
303.145069142445,"C14H24O7",1.71,0.5
303.159118095384,"C12H25O3N4P1",2.08,0.25
303.160190849267,"C18H24O4",1.33,0.22
303.181259979807,"C15H28O6",1.87,0.4
303.195613006245,"C13H29O2N4P1",2.23,0.15
304.016523339109,"C7H15O8N1S2",2.14,1.14
304.046261989899,"C14H11O7N1",0.79,0.5
304.993972748371,"C13H6O9",0.46,0.69
305.0302707323,"C14H10O8",0.71,0.57
305.065633197104,"C9H15O6N4P1",1.67,0.67
305.066685545035,"C15H14O7",0.93,0.47
305.077984307436,"C14H14O6N2",1,0.43
305.101942313051,"C10H19O5N4P1",1.9,0.5
305.103072946789,"C16H18O6",1.12,0.38
305.124230791635,"C13H22O8",1.69,0.62
305.138452517861,"C11H23O4N4P1",2.09,0.36
305.139403240816,"C17H22O5",1.29,0.29
305.160580844541,"C14H26O7",1.86,0.5
305.175883746547,"C18H26O4",1.44,0.22
306.098326167372,"C15H17O6N1",1.13,0.4
307.008465063829,"C7H9O8N4P1",1.29,1.14
307.009544094915,"C13H8O9",0.62,0.69
307.044989679505,"C8H13O7N4P1",1.62,0.88
307.045933633534,"C14H12O8",0.86,0.57
307.082325317222,"C15H16O7",1.07,0.47
307.093621500641,"C14H16O6N2",1.14,0.43
307.117734152004,"C10H21O5N4P1",2.1,0.5
307.118721462409,"C16H20O6",1.25,0.38
307.142683465675,"C12H25O5N2P1",2.08,0.42
307.154148069355,"C11H25O4N4P1",2.27,0.36
307.155066929947,"C17H24O5",1.41,0.29
307.155250906233,"C17H24O5",1.41,0.29
307.162283953624,"C11H24O6N4",2.18,0.55
307.191461431196,"C18H28O4",1.56,0.22
307.194813296183,"C15H32O4S1",2.13,0.27
308.001516419595,"C8H11O6N3S2",1.38,0.75
308.077628324119,"C14H15O7N1",1.07,0.5
309.024089371274,"C7H11O8N4P1",1.57,1.14
309.024290190484,"C7H11O8N4P1",1.57,1.14
309.025201201082,"C13H10O9",0.77,0.69
309.04048339316,"C17H10O6",0.59,0.35
309.060521066325,"C8H15O7N4P1",1.88,0.88
309.060682706593,"C8H15O7N4P1",1.88,0.88
309.061594756407,"C14H14O8",1,0.57
309.072772142874,"C13H14O7N2",1.08,0.54
309.076802747236,"C18H14O5",0.78,0.28
309.095396636819,"C19H18O2S1",0.95,0.11
309.096936914764,"C9H19O6N4P1",2.11,0.67
309.097983644922,"C15H18O7",1.2,0.47
309.113157415589,"C19H18O4",0.95,0.21
309.113354136427,"C19H18O4",0.95,0.21
309.13328063435,"C10H23O5N4P1",2.3,0.5
309.134360901997,"C16H22O6",1.38,0.38
309.15294590623,"C17H26O3S1",1.53,0.18
309.169607604638,"C11H27O4N4P1",2.45,0.36
309.170753371578,"C17H26O5",1.53,0.29
309.174132653057,"C14H30O5S1",2.14,0.36
309.19663591237,"C12H30O3N4S1",2.5,0.25
310.014579477864,"C19H5O4N1",0.26,0.21
310.08091898503,"C9H18O7N3P1",2,0.78
310.093292019878,"C14H17O7N1",1.21,0.5
310.136823349534,"C9H21O7N5",2.33,0.78
310.150825675376,"C12H25O8N1",2.08,0.67
311.004377318801,"C12H8O10",0.67,0.83
311.004551473737,"C12H8O10",0.67,0.83
311.019812617441,"C16H8O7",0.5,0.44
311.039776153712,"C7H13O8N4P1",1.86,1.14
311.040854469509,"C13H12O9",0.92,0.69
311.055334045986,"C9H16O8N2S1",1.78,0.89
311.055526773823,"C9H16O8N2S1",1.78,0.89
311.056127517741,"C17H12O6",0.71,0.35
311.076128500104,"C8H17O7N4P1",2.12,0.88
311.076290457991,"C8H17O7N4P1",2.12,0.88
311.077294998992,"C14H16O8",1.14,0.57
311.088478664643,"C13H16O7N2",1.23,0.54
311.09250347775,"C18H16O5",0.89,0.28
311.093989941799,"C19H12O1N4",0.63,0.05
311.112443665528,"C9H21O6N4P1",2.33,0.67
311.11272144901,"C9H21O6N4P1",2.33,0.67
311.113616732576,"C15H20O7",1.33,0.47
311.127700223138,"C13H21O3N4P1",1.62,0.23
311.128922596098,"C19H20O4",1.05,0.21
311.148954552995,"C10H25O5N4P1",2.5,0.5
311.150022041265,"C16H24O6",1.5,0.38
311.168607000121,"C17H28O3S1",1.65,0.18
311.171241863384,"C13H28O8",2.15,0.62
311.186413400736,"C17H28O5",1.65,0.29
311.201759752068,"C21H28O2",1.33,0.1
311.222741822315,"C18H32O4",1.78,0.22
312.011107540954,"C10H7O9N3",0.7,0.9
312.048300516846,"C12H15O3N3S2",1.25,0.25
312.087626263221,"C17H15O5N1",0.88,0.29
312.1694245713,"C11H28O5N3P1",2.55,0.45
312.173549277716,"C16H28O3N1P1",1.75,0.19
312.998869415004,"C15H6O8",0.4,0.53
313.020090830068,"C12H10O10",0.83,0.83
313.035370891297,"C16H10O7",0.62,0.44
313.055541118607,"C7H15O8N4P1",2.14,1.14
