"Inst_blank_0316_neg: 100 scans, H1=0.1, H2=0.5, TOF=0.0009, Q1=250, Ex Amp=8.75, neb=0.5 ",,,,,
"Acquired      03/16/2020,    4:56  PM",,,,,
#,m/z,I,S/N,Res.,
78,203.243791,492613,3,902258,
79,205.777941,510125,3.2,1017463,
80,210.149162,491839,3,786810,
81,212.487946,654519,4.4,930928,
82,213.385278,492979,3,822425,
83,214.435527,503028,3.1,824234,
84,214.845217,509185,3.2,930069,
85,214.929046,500164,3.1,713573,
86,215.628903,498890,3.1,635059,
87,215.842416,501537,3.1,726881,
88,217.713135,514846,3.2,765901,
89,218.176546,503085,3.1,849317,
90,218.728921,536607,3.4,535932,
91,218.748737,531744,3.3,841728,
92,219.701254,500927,3.1,704921,
93,220.931,547112,3.5,878263,
94,221.63288,499455,3.1,735031,
95,223.76529,495942,3,826450,
96,231.488325,563020,3.6,642672,
97,237.769187,505216,3.1,420382,
98,243.110327,498482,3,744657,
99,243.719873,518918,3.2,884015,
100,244.119177,496659,3,849537,
101,248.021372,548690,3.4,728762,
102,254.961875,499245,3,918312,
103,255.639257,571842,3.6,619429,
104,257.206546,500563,3,694205,
105,259.038023,561580,3.5,625058,
106,260.982431,500520,3,522666,
107,261.198187,502607,3,648299,
108,262.312889,508818,3.1,774569,
109,263.424868,512052,3.1,678635,
110,265.255549,505166,3.1,575919,
111,266.222843,534988,3.3,640343,
112,267.403071,499697,3,531007,
113,273.8873,514751,3.1,375001,
114,274.989778,504739,3,514883,
115,276.186341,1793418,13.6,664835,
116,281.536981,540156,3.3,526270,
117,283.263545,546807,3.4,614370,
118,283.264363,1262455,9.2,620801,
119,292.264069,575098,3.6,668375,
120,292.59542,519175,3.1,676325,
121,293.012628,505815,3,715492,
122,293.019134,506071,3,513025,
123,293.175987,709341,4.7,701599,
124,294.056347,556286,3.4,687310,
125,296.594055,557729,3.4,578173,
126,297.15316,1115767,7.9,371508,
127,297.243655,624827,4,612969,
128,299.201096,5969098,47.2,341992,
129,299.201729,14479818,116,534657,
130,299.716834,575135,3.6,616180,
131,299.75389,575520,3.6,500977,
132,300.204549,1842931,13.8,401203,
133,300.205143,3570675,27.7,569592,
134,301.159887,7007771,55.4,275472,
135,301.217449,2378269,18.1,566182,
136,302.163287,2048324,15.4,480937,
137,302.220798,687047,4.5,623652,
138,303.003054,717928,4.7,636324,
139,303.230254,526450,3.2,1011411,
140,303.231938,2684786,20.6,472342,
141,303.233106,10222194,81.4,283024,
142,304.236479,2436765,18.6,257381,
143,306.179874,516594,3.1,558846,
144,309.170811,855418,5.8,575356,
145,309.17419,995578,6.9,422786,
146,309.280044,682367,4.4,626323,
147,311.1679,5856728,46,379288,
148,311.168776,24345560,194.7,503745,
149,311.222921,802522,5.4,485476,
150,311.295728,2229214,16.9,575444,
151,311.904464,562235,3.4,553767,
152,312.172101,4821000,37.5,513065,
153,313.164619,1063096,7.4,512444,
154,313.180258,755385,5,644006,
155,313.181104,1366329,9.9,489944,
156,313.191727,1032249,7.2,587520,
157,313.238558,1321019,9.5,493797,
158,315.160407,1104027,7.8,591283,
159,315.188661,642012,4.1,459218,
160,315.196701,2906269,22.2,513428,
161,315.254198,1065631,7.4,662360,
162,317.118398,781886,5.2,393210,
163,317.154846,812288,5.4,595300,
164,317.212343,1524483,11.1,327322,
165,318.215599,555575,3.4,296600,
166,318.830954,856663,5.7,554153,
167,318.832061,2756952,20.9,525281,
168,319.11772,652775,4.1,582704,
169,319.118843,2355559,17.7,506142,
170,319.228049,1792876,13.2,499157,
171,320.231262,575138,3.5,719687,
172,320.829113,989378,6.8,610743,
173,321.061564,564942,3.4,564993,
174,321.098187,512848,3,411342,
175,321.170885,695508,4.5,687278,
176,321.207097,527478,3.1,384043,
177,321.210606,2990551,22.7,515642,
178,321.220132,571095,3.5,663955,
179,321.805857,519927,3.1,501925,
180,322.213837,609229,3.8,497611,
181,323.168675,843842,5.6,511604,
182,323.186535,593091,3.6,340091,
183,323.189914,1799235,13.2,495249,
184,323.220525,1066181,7.4,499553,
185,323.223009,677829,4.3,608112,
186,324.922774,522404,3.1,613448,
187,325.181345,1152819,8,274006,
188,325.184421,58199732,458.9,509748,
189,325.187161,1418419,10.1,420419,
190,325.202172,853044,5.7,607280,
191,325.238523,946358,6.4,635156,
192,325.275004,845752,5.6,518141,
193,325.311382,1878714,13.8,445080,
194,326.187002,2562028,19.2,405260,
195,326.18777,12003052,93.8,520450,
196,326.472327,524924,3.1,580107,
197,327.179291,712741,4.6,362629,
198,327.180239,3129637,23.7,508020,
199,327.188621,546341,3.3,511687,
200,327.19112,1050917,7.2,452267,
201,327.217799,2025511,14.9,521335,
202,327.254217,1598505,11.6,493265,
203,327.290558,647723,4.1,678310,
204,328.183518,680927,4.3,641791,
205,328.257591,599395,3.7,659718,
206,329.093332,534804,3.2,620188,
207,329.120355,594198,3.6,293101,
208,329.160681,677784,4.3,551404,
209,329.175972,1575833,11.4,548020,
210,329.197133,868378,5.8,617252,
211,329.233468,1211549,8.5,479825,
212,331.155308,753167,4.9,291420,
213,331.157094,721551,4.6,704359,
214,331.176328,599440,3.7,618945,
215,331.191679,1781777,13,504110,
216,331.42619,542047,3.2,578697,
217,332.174042,987084,6.7,484274,
218,332.195026,537293,3.2,729195,
219,333.113368,1922949,14,489670,
220,333.124984,785798,5.1,495247,
221,333.126278,3142278,23.6,482158,
222,333.134701,567302,3.4,551347,
223,333.207304,3049099,22.9,540833,
224,334.129637,633667,3.9,738291,
225,334.31171,533327,3.1,585807,
226,334.806148,613613,3.8,545597,
227,334.938493,658869,4.1,466747,
228,335.077243,708094,4.5,607335,
229,335.129055,8683777,67.1,500583,
230,335.186528,755973,4.9,555636,
231,335.222921,4302087,32.7,520225,
232,335.225126,1479943,10.6,423132,
233,335.226271,7225607,55.7,491484,
234,335.295773,527563,3.1,412899,
235,336.131222,633919,3.9,554034,
236,336.132382,2100543,15.4,467111,
237,336.226332,844357,5.6,524549,
238,336.229712,1549894,11.1,530346,
239,336.258578,532103,3.1,426087,
240,336.269737,654536,4.1,565909,
241,336.327365,7747916,59.8,516213,
242,336.858923,2220397,16.4,529630,
243,336.868433,657773,4.1,524323,
244,337.093008,543484,3.2,656545,
245,337.129511,624894,3.8,554282,
246,337.165942,591040,3.6,454404,
247,337.184473,1002625,6.8,589930,
248,337.202187,895746,6,492381,
249,337.205604,3524995,26.6,508770,
250,337.236237,642053,4,425835,
251,337.23863,579717,3.5,566976,
252,337.272579,1271943,8.9,582376,
253,337.311378,938889,6.3,563474,
254,337.329636,569738,3.4,637939,
255,337.33063,2188683,16.1,515578,
256,338.208887,544834,3.2,281854,
257,339.163682,523135,3,588994,
258,339.18152,840832,5.5,429493,
259,339.196486,974593,6.6,352149,
260,339.198956,8635905,66.8,287392,
261,339.200092,57635328,448.6,500436,
262,339.207402,997762,6.7,474608,
263,339.215422,732930,4.7,451629,
264,339.217855,1241858,8.6,539044,
265,339.254213,1984005,14.4,522278,
266,339.290609,1191175,8.2,531139,
267,339.326995,6773257,51.8,483239,
268,339.631003,538077,3.1,538115,
269,340.046451,2736695,20.3,516032,
270,340.20233,2260289,16.6,349636,
271,340.203447,11487809,88.6,487655,
272,340.257543,758853,4.9,593565,
273,340.330379,1809482,13.1,478519,
274,340.839793,661738,4.1,550324,
275,340.858447,747884,4.8,564905,
276,341.049814,521080,3,507792,
277,341.101831,698875,4.4,594017,
278,341.109039,1342076,9.4,462808,
279,341.160724,854399,5.6,591069,
280,341.179342,986880,6.6,366885,
281,341.195868,2309249,17,528888,
282,341.197177,1213057,8.4,476769,
283,341.204512,619714,3.8,402088,
284,341.20685,1061250,7.2,566336,
285,341.223023,3156611,23.6,489753,
286,341.23347,2390148,17.6,496478,
287,341.269921,3287174,24.6,501895,
288,341.30629,1223305,8.5,498069,
289,342.226373,651076,4,614546,
290,343.046125,604666,3.7,503560,
291,343.176293,833154,5.4,477318,
292,343.212788,2387717,17.6,453057,
293,343.220192,1057285,7.2,667219,
294,343.228117,532102,3.1,597488,
295,343.24921,1124615,7.7,536623,
296,343.285519,808329,5.2,500747,
297,343.379589,547984,3.2,543853,
298,343.995031,606648,3.7,535224,
299,344.253598,570825,3.4,605988,
300,345.155686,532101,3.1,708082,
301,345.170867,564486,3.3,585439,
302,345.207367,575720,3.4,400130,
303,345.228389,714122,4.5,521164,
304,345.462459,1411993,10,507833,
305,346.145019,5434311,41.3,517540,
306,347.040859,524802,3,707924,
307,347.054279,758147,4.8,516154,
308,347.10388,1651719,11.7,476607,
309,347.128255,1148424,7.8,585326,
310,347.129073,4300808,32.3,503535,
311,347.132419,3825161,28.6,481745,
312,347.148466,1210378,8.3,560266,
313,347.150202,653450,4,460653,
314,347.18652,1066508,7.2,549016,
315,348.083944,556680,3.3,522559,
316,348.107138,537546,3.1,690174,
317,348.13249,1492044,10.5,541629,
318,348.135895,708300,4.4,483412,
319,348.954255,2790019,20.6,520789,
320,349.020229,655496,4,515884,
321,349.045077,742281,4.7,628677,
322,349.108367,631310,3.8,556827,
323,349.16585,645521,3.9,510412,
324,349.202235,2112660,15.3,473181,
325,349.205582,2003604,14.5,523160,
326,349.206698,555668,3.2,689881,
327,349.236235,895126,5.9,499245,
328,349.241968,1155991,7.9,474390,
329,350.306586,540383,3.1,525677,
330,350.614493,543668,3.2,469644,
331,350.776709,1299711,9,477538,
332,351.134698,768023,4.9,625309,
333,351.181468,971547,6.5,522861,
334,351.217892,2316061,16.9,511671,
335,351.22128,1810205,13,478154,
336,351.251897,1781792,12.8,490975,
337,351.254271,742048,4.7,548304,
338,352.77378,1723272,12.3,474758,
339,352.949135,1786772,12.8,532877,
340,353.088082,531742,3.1,514879,
341,353.160771,789923,5.1,600668,
342,353.184251,562084,3.3,377116,
343,353.197166,1213093,8.3,559346,
344,353.200533,7201190,54.7,481038,
345,353.209963,1493926,10.5,446861,
346,353.215712,1691302,12,469279,
347,353.231149,1399464,9.8,564251,
348,353.233536,1062056,7.2,470082,
349,353.269973,1545130,10.9,558520,
350,353.306259,1336493,9.3,458578,
351,353.342709,4621743,34.8,470992,
352,353.452548,558903,3.3,439652,
353,353.948732,562137,3.3,444481,
354,354.20387,1489131,10.5,497829,
355,354.213552,533803,3.1,512811,
356,354.346051,992117,6.6,437995,
357,354.770749,1163026,7.9,556285,
358,355.11743,565482,3.3,304955,
359,355.176376,896046,5.8,638782,
360,355.212774,948017,6.2,503639,
361,355.249218,2535475,18.5,520004,
362,355.285553,2635318,19.2,472468,
363,355.322006,1073720,7.2,408506,
364,356.288907,556284,3.2,305047,
365,357.134479,714039,4.4,387878,
366,357.155757,621881,3.7,410865,
367,357.160488,4847289,36.2,470685,
368,357.192055,810171,5.2,583083,
369,357.22846,1366974,9.5,550616,
370,357.241361,743103,4.7,716483,
371,357.264856,899264,5.9,548849,
372,358.096053,1938171,13.9,521209,
373,358.163926,1174783,8,556362,
374,358.824663,1217070,8.3,547726,
375,358.839711,1829167,13,510054,
376,358.840904,9803567,74.4,482030,
377,358.850332,1724720,12.2,527524,
378,359.103934,6856514,51.7,486867,
379,359.114817,3818306,28.3,494043,
380,359.129073,716867,4.5,625093,
381,359.132545,552580,3.2,476600,
382,359.157474,1621573,11.4,526141,
383,359.17131,598406,3.6,419235,
384,359.175914,531207,3,460144,
385,359.207662,592841,3.5,665778,
386,359.251785,551180,3.2,385519,
387,360.107296,1537161,10.8,477186,
388,360.118107,533385,3,634934,
389,360.327514,762264,4.8,515222,
390,360.836698,1360316,9.4,505351,
391,361.092952,591182,3.5,541838,
392,361.108451,630608,3.8,473074,
393,361.14799,1209554,8.3,476951,
394,361.16588,613972,3.7,535503,
395,361.191769,2190294,15.8,470512,
396,361.205712,590038,3.5,517014,
397,361.238473,533977,3.1,589509,
398,362.197604,612253,3.7,504692,
399,362.343024,9388071,71.2,458687,
400,362.969821,14563412,110.2,467952,
401,363.124046,2245727,16.1,487191,
402,363.127365,551391,3.2,443537,
403,363.181422,867683,5.6,576154,
404,363.188821,701156,4.3,487093,
405,363.346364,2511471,18.1,518353,
406,363.969461,2865308,20.8,467968,
407,363.973201,1046300,6.9,466588,
408,364.127395,690855,4.2,472885,
409,364.213033,1163949,7.8,503016,
410,364.358687,6577336,49.2,466323,
411,364.966742,1727971,12.1,476983,
412,365.087978,588524,3.4,424149,
413,365.139603,20134128,152.7,466252,
414,365.160845,648177,3.9,593708,
415,365.197091,1242356,8.4,501849,
416,365.231263,552182,3.2,578398,
417,365.233624,836470,5.3,473470,
418,365.236867,625398,3.7,573784,
419,365.342735,777726,4.9,284380,
420,365.362033,1587456,11.1,459475,
421,366.142951,4664632,34.6,480054,
422,366.964789,5646707,42.1,452630,
423,367.067288,628730,3.8,539562,
424,367.146467,589056,3.4,242731,
425,367.176442,689794,4.2,556062,
426,367.189219,1849731,13.1,494076,
427,367.212776,1197189,8.1,498868,
428,367.216122,2928517,21.3,462056,
429,367.231632,651654,3.9,494086,
430,367.246723,705415,4.3,390039,
431,367.249162,909767,5.9,333454,
432,367.285595,2431882,17.5,464291,
433,367.321855,1023117,6.8,497679,
434,367.358349,16656783,126.2,450393,
435,367.964422,1138875,7.6,484388,
436,368.219616,623181,3.7,507594,
437,368.28895,539090,3.1,501581,
438,368.361642,4354520,32.2,441058,
439,368.8187,730105,4.5,495683,
440,368.96159,572547,3.3,420950,
441,369.127557,777359,4.9,473213,
442,369.133105,906128,5.9,490955,
443,369.192013,903188,5.8,541739,
444,369.213149,5554710,41.4,456737,
445,369.228461,964374,6.3,473836,
446,369.264845,1901081,13.5,449080,
447,369.301218,4337180,32.1,444477,
448,369.337565,858782,5.5,475643,
449,369.364938,622496,3.7,515580,
450,370.216612,1099614,7.3,480416,
451,370.304587,1047909,7,493614,
452,371.171326,743843,4.6,568520,
453,371.207647,682150,4.2,522613,
454,371.220625,598311,3.5,549774,
455,371.244118,1591465,11.1,463572,
456,371.280433,1051051,7,393560,
457,371.316958,591150,3.5,384187,
458,372.850816,751134,4.6,622694,
459,373.056781,560045,3.2,624598,
460,373.083217,10011439,74.8,463090,
461,373.129575,539954,3,595689,
462,373.187966,621622,3.7,570011,
463,373.223487,726137,4.5,366276,
464,374.085244,644984,3.8,717541,
465,374.08659,2254200,16,461723,
466,374.245083,619907,3.7,578034,
467,374.814896,542893,3.1,545137,
468,375.035889,534845,3,523516,
469,375.123998,733891,4.5,505023,
470,375.135487,610500,3.6,467965,
471,375.173293,1303239,8.8,448015,
472,375.18251,2927048,21.1,442561,
473,376.176571,574864,3.3,507383,
474,376.790752,5470269,40.4,472244,
475,377.051461,535760,3,544215,
476,377.085845,625235,3.7,624580,
477,377.139619,4139095,30.3,474280,
478,377.20053,869979,5.5,228937,
479,378.143092,1103008,7.3,449165,
480,378.787766,3178191,23,469697,
481,378.797312,734928,4.5,514506,
482,379.04711,648034,3.9,425809,
483,379.176413,568812,3.3,517995,
484,379.358199,581497,3.4,523783,
485,380.822865,11122020,82.9,446244,
486,380.832386,2125157,15,425134,
487,380.85107,736614,4.5,549681,
488,380.980439,3797360,27.6,246802,
489,381.082973,558199,3.2,609045,
490,381.096671,1516920,10.4,478784,
491,381.116713,622490,3.7,340919,
492,381.191947,751999,4.6,524323,
493,381.231823,3871106,28.2,475359,
494,381.262532,848773,5.4,429043,
495,381.264888,563589,3.2,283314,
496,381.301238,914695,5.9,233743,
497,381.337602,1159562,7.7,404692,
498,381.37263,1649549,11.4,442159,
499,381.374002,7421325,55,427453,
500,381.980046,882105,5.6,462619,
501,382.235306,679500,4.1,557491,
502,382.377268,2392534,17,444410,
503,382.818636,1495031,10.2,459192,
504,382.977173,629762,3.7,547894,
505,383.143086,918542,5.9,527432,
506,383.148691,713615,4.3,426853,
507,383.243945,868630,5.5,410209,
508,383.280544,1769496,12.3,455282,
509,383.316898,4226587,30.9,435862,
510,383.35325,3265566,23.6,432444,
511,384.107512,792533,4.9,478878,
512,384.320198,1045860,6.8,451303,
513,384.356799,815207,5.1,539450,
514,385.153659,604193,3.5,565928,
515,385.181012,589987,3.4,408996,
516,385.187023,647076,3.8,607257,
517,385.217421,861606,5.5,509928,
518,385.22346,812455,5.1,548585,
519,385.259783,1316009,8.9,518865,
520,385.296097,777516,4.8,251014,
521,385.991081,555423,3.1,331243,
522,386.66868,580496,3.3,550883,
523,387.098825,11398960,85,429080,
524,387.202756,605175,3.5,409939,
525,387.238926,701242,4.2,629216,
526,387.275532,537917,3,457166,
527,388.102212,2289529,16.2,214610,
528,389.051766,538430,3,545985,
529,391.285482,554977,3.1,444217,
530,392.332191,591532,3.4,349500,
531,392.858998,670162,4,500565,
532,393.046491,569376,3.2,352083,
533,393.080524,711650,4.3,309686,
534,393.134541,2409190,17.1,416190,
535,393.373915,649848,3.8,499604,
536,394.138086,897071,5.7,386164,
537,394.832685,823904,5.1,494324,
538,394.996032,2331500,16.5,412932,
539,395.150214,17310072,129.1,421466,
540,395.171334,735481,4.5,462041,
541,395.244176,903806,5.7,441125,
542,395.247491,1398654,9.5,465317,
543,395.280536,727424,4.4,452158,
544,395.316977,1024131,6.6,508956,
545,395.353249,918150,5.9,433880,
546,395.389632,9118088,67.5,405787,
547,395.979143,656562,3.9,504303,
548,395.995824,539955,3,522271,
549,396.15354,4136383,30,414643,
550,396.393008,2449872,17.4,432581,
551,397.152836,574662,3.3,314724,
552,397.159053,581510,3.3,551007,
553,397.164452,3892743,28.2,396255,
554,397.178935,549511,3.1,416978,
555,397.199738,993033,6.4,467559,
556,397.217494,798218,4.9,488239,
557,397.226725,5573131,40.8,412879,
558,397.259729,849933,5.3,525119,
559,397.29621,1254928,8.4,469049,
560,397.332523,5424659,39.7,414663,
561,397.368941,1725973,11.9,480677,
562,398.078462,1936967,13.5,440770,
563,398.167843,690381,4.1,387021,
564,398.23009,851026,5.3,330337,
565,398.335854,1494105,10.2,391813,
566,398.817232,667259,4,576143,
567,399.062154,865036,5.5,279516,
568,399.081829,682894,4.1,578729,
569,399.233214,1180568,7.8,481686,
570,399.238989,776985,4.8,413923,
571,399.275485,1405595,9.5,452320,
572,399.311952,863390,5.4,208861,
573,399.327039,696991,4.2,493539,
574,400.214107,607325,3.5,478806,
575,401.02907,628245,3.7,524093,
576,401.078033,851992,5.3,404813,
577,401.116254,990875,6.4,411310,
578,401.198121,828449,5.2,368965,
579,401.218374,598306,3.4,604806,
580,401.230238,590115,3.4,610406,
581,401.254666,635045,3.7,318485,
582,402.804761,11101071,82,407772,
583,402.814371,1082256,7.1,414580,
584,403.194857,778538,4.8,409386,
585,403.197439,564522,3.2,515627,
586,403.207118,547243,3,233823,
587,403.213767,2450347,17.3,431005,
588,403.26443,619182,3.6,425950,
589,403.976267,566623,3.2,380622,
590,404.596089,563209,3.2,451760,
591,404.800591,1289238,8.6,467470,
592,405.046484,643879,3.8,473284,
593,405.109436,6569003,48.1,382952,
594,405.186204,1348144,9,407130,
595,405.215025,988466,6.3,500112,
596,405.222507,169321520,1266.3,419024,
597,406.11276,1795694,12.4,381342,
598,406.225921,48079988,358.8,401102,
599,407.098731,750895,4.6,440279,
600,407.150254,2175666,15.2,437796,
601,407.229315,7361720,54.1,399173,
602,407.31693,551229,3.1,484045,
603,408.153641,603252,3.5,560930,
604,408.232532,686073,4.1,559753,
605,408.735352,783386,4.8,512746,
606,409.011765,9178411,67.6,389458,
607,409.05763,797358,4.9,453529,
608,409.083314,567728,3.2,424380,
609,409.150327,591924,3.4,252175,
610,409.223294,577209,3.3,423246,
611,409.259729,854331,5.3,457712,
612,409.263154,677180,4,390905,
613,409.296216,715838,4.3,503004,
614,409.332591,1184576,7.8,416342,
615,409.368878,1124930,7.4,427804,
616,409.405261,3185989,22.8,423211,
617,410.011346,1897835,13.2,408236,
618,410.014577,700396,4.2,269558,
619,410.291373,542973,3,296724,
620,410.408653,709765,4.2,442636,
621,410.732524,1138841,7.4,386467,
622,411.008633,947499,6,283987,
623,411.160335,4441524,32,377754,
624,411.242347,2461113,17.3,386097,
625,411.275441,871099,5.4,523651,
626,411.31176,1301950,8.7,383658,
627,411.348183,5631424,40.9,365402,
628,411.384593,2890178,20.5,414549,
629,412.16371,1514739,10.2,412679,
630,412.351549,1559038,10.6,450066,
631,412.388039,664449,3.9,185546,
632,412.729432,1036054,6.7,517415,
633,413.239414,8863285,65,394459,
634,413.248829,902070,5.7,319441,
635,413.254683,610614,3.5,504237,
636,413.291034,859064,5.4,309881,
637,413.327377,1262394,8.4,415648,
638,414.242772,1785458,12.3,427482,
639,414.312643,585590,3.3,467253,
640,414.792776,626323,3.6,577057,
641,415.093799,751781,4.6,492592,
642,415.228145,645549,3.8,498046,
643,415.234022,1349293,9,435427,
644,415.249002,591790,3.4,569650,
645,415.264482,761135,4.6,403285,
646,415.270303,1235375,8.2,437416,
647,415.321958,2030770,14.1,401905,
648,415.394731,548279,3,434153,
649,416.783297,1048456,6.8,315906,
650,416.799564,721673,4.3,362280,
651,417.07308,4473625,32.3,365392,
652,417.210716,2887457,20.5,376561,
653,417.213254,1083681,7,435709,
654,417.228551,641826,3.7,447599,
655,417.301276,579238,3.3,460866,
656,417.337751,580904,3.3,411043,
657,418.076412,1011026,6.5,510509,
658,418.214034,748122,4.5,570501,
659,418.778711,1034362,6.7,383137,
660,419.011759,647687,3.8,315703,
661,419.09821,723212,4.3,190077,
662,419.125026,1956749,13.5,393898,
663,419.151198,5189519,37.6,398044,
664,419.238201,588180,3.3,520561,
665,419.2441,771732,4.7,474017,
666,420.128525,675269,4,514451,
667,420.154667,1244102,8.2,383737,
668,421.041314,588150,3.3,268445,
669,421.078043,671224,3.9,542363,
670,421.109298,1620986,11,365020,
671,421.21751,11300864,83.2,381410,
672,421.22672,4771840,34.5,367481,
673,421.29596,660100,3.9,481507,
674,421.330155,570502,3.2,259485,
675,421.405465,605962,3.5,492377,
676,421.441822,547212,3,505469,
677,422.220924,3353653,23.8,403038,
678,422.230086,1081141,7,424955,
679,422.936673,5736538,41.5,406019,
680,423.057165,780640,4.7,530675,
681,423.093628,646626,3.7,494344,
682,423.098899,574690,3.2,178318,
683,423.129859,600420,3.4,540419,
684,423.145135,2034277,14,357253,
685,423.16037,1003110,6.4,402470,
686,423.179948,1127783,7.3,171956,
687,423.182542,2791527,19.7,359835,
688,423.224206,554089,3.1,397708,
689,423.2391,731626,4.4,457483,
690,423.311905,1001581,6.4,456049,
691,423.323019,590574,3.3,440426,
692,423.348162,1538159,10.4,403432,
693,423.384712,785521,4.8,461263,
694,423.420926,5449843,39.4,376073,
695,423.936237,1740941,11.9,439175,
696,424.185927,694426,4.1,497944,
697,424.424292,1540262,10.4,422531,
698,424.933422,791487,4.8,468779,
699,425.158179,874698,5.4,595828,
700,425.160802,12028106,88.1,380947,
701,425.195724,3553484,25.3,395521,
702,425.258071,3408079,24.2,381588,
703,425.270131,562127,3.1,421952,
704,425.291107,886480,5.5,459621,
705,425.327491,1799378,12.3,446056,
706,425.363847,7715028,56.2,355261,
707,425.400198,679638,4,502031,
708,426.164185,3248379,23,430306,
709,426.199072,799740,4.9,471910,
710,426.261472,859647,5.3,430769,
711,426.330917,561923,3.1,604493,
712,426.367132,2053380,14.2,379709,
713,427.228162,594861,3.4,495553,
714,427.270593,646575,3.7,199776,
715,427.285659,560304,3.1,485529,
716,427.306683,1337137,8.9,392084,
717,427.343104,1207090,7.9,410064,
718,427.358416,631347,3.6,220464,
719,427.379648,561204,3.1,490273,
720,428.038727,547026,3,421655,
721,429.046504,586496,3.3,510406,
722,429.180092,1005958,6.4,469662,
723,429.243696,612104,3.5,514506,
724,429.249566,610185,3.5,378181,
725,429.28604,2055562,14.2,405069,
726,430.104672,625582,3.6,533394,
727,430.761896,562122,3.1,521389,
728,431.025701,600277,3.4,395041,
729,431.039551,574229,3.2,325471,
730,431.084544,626135,3.6,560161,
731,431.088691,16120279,118.5,394441,
732,431.098684,620248,3.5,432151,
733,431.118248,602329,3.4,421149,
734,431.127019,986585,6.3,363249,
735,431.228855,2841053,20,366183,
736,431.316914,788705,4.8,401613,
737,432.072783,601600,3.4,510142,
738,432.092108,3851776,27.5,403586,
739,432.232258,695046,4.1,483895,
740,432.758696,848923,5.2,515880,
741,433.078045,779815,4.7,473228,
742,433.093143,547624,3,375637,
743,433.150914,555306,3.1,501609,
744,433.181165,3054635,21.6,380495,
745,433.332581,1807409,12.4,361762,
746,434.184531,888401,5.5,466621,
747,434.335905,645207,3.7,460479,
748,434.749448,5677670,40.8,395293,
749,434.75895,756071,4.5,447104,
750,435.057457,620913,3.5,500033,
751,435.083774,797810,4.8,443771,
752,435.196676,707254,4.2,312692,
753,435.31193,596475,3.4,458791,
754,435.327261,559739,3.1,433925,
755,435.345748,1718908,11.6,422620,
756,436.746507,5464748,39.3,397127,
