m/z,Magnitude,S/N,Res.
142.760796,1164892,4.4,1332436
143.80202,879144,3,1158356
144.667388,996861,3.6,1150153
144.701883,938049,3.3,1124259
144.710583,1056286,3.9,1204083
144.71576,1158374,4.4,985836
144.717424,1011035,3.7,1189382
144.721115,928171,3.3,1703445
144.721495,907435,3.2,1232434
144.722549,887383,3.1,1353190
144.724581,1017676,3.7,1140216
144.725238,1325153,5.1,788492
144.725607,1176959,4.4,879250
144.725913,952603,3.4,1211504
144.726705,1958044,8.1,1076296
144.726943,950611,3.4,934296
144.727596,1294288,5,642432
144.727982,1194742,4.5,466128
144.728423,983913,3.5,534624
144.729419,1124944,4.2,844938
144.729565,1213528,4.6,1899837
144.729822,1396328,5.5,1178705
144.730345,1148720,4.3,1518531
144.73069,1365092,5.3,1277049
144.73084,1231804,4.7,1509646
144.731348,1361822,5.3,1337379
144.731604,1279944,4.9,763679
144.732183,1420868,5.6,605294
144.732697,1599798,6.4,780276
144.733427,1194802,4.5,1292258
144.733644,1715844,7,560559
144.733923,1468156,5.8,884580
144.734351,1859738,7.6,736262
144.734755,3068108,13.3,775791
144.735254,2662674,11.4,538039
144.735806,2563232,10.9,1195446
144.735966,1894786,7.8,1091773
144.736431,1569835,6.3,1120367
144.736808,1465888,5.8,1417919
144.73712,2276606,9.6,622922
144.737321,2905758,12.5,994527
144.737592,2079870,8.7,869316
144.737775,2159524,9,766041
144.738034,1621873,6.5,969182
144.738388,4082788,18,867589
144.738567,2933622,12.7,1157845
144.738838,3593846,15.8,1114953
144.739177,2336206,9.9,1289558
144.739323,3104858,13.5,916924
144.739721,3456958,15.1,284714
144.739914,2921234,12.6,1169389
144.740273,2769958,11.9,917971
144.740564,2644784,11.3,1168334
144.740844,3859614,17,604424
144.741095,2308982,9.7,1548435
144.741247,2749118,11.8,1424029
144.741644,6852439,31,564018
144.741801,3039042,13.2,1451449
144.741977,2544022,10.8,963473
144.742285,3223610,14,1374133
144.742494,3392774,14.8,856012
144.742635,3880074,17.1,1448066
144.742834,1933138,8,1531126
144.743057,4790139,21.4,1105858
144.743251,3744622,16.5,844691
144.743548,3974454,17.5,1075431
144.743952,3010378,13,670312
144.744383,4138378,18.3,682149
144.744549,3410062,14.9,1093473
144.745059,4527747,20.1,950734
144.745316,5157455,23.1,875031
144.745611,3580782,15.7,990431
144.745954,4545027,20.2,694008
144.746396,2939880,12.7,1004056
144.746627,5658547,25.4,662533
144.747017,3896970,17.2,542331
144.747342,1671258,6.8,1834384
144.747461,1952014,8.1,1925883
144.747668,2074042,8.6,585958
144.748083,2120288,8.9,1125890
