"Inst_blank_0313_neg: 100 scans, H1=0.1, H2=0.5, TOF=0.0009, Q1=250, Ex Amp=8.75, neb=0.5 ",,,,,
"Acquired   03/13/2020,   10:35  AM",,,,,
#,m/z,I,S/N,Res.,
392,338.016337,1200203,8,495115,
393,338.241761,534685,3,425809,
394,338.334072,983652,6.4,424242,
395,338.628882,612220,3.6,556048,
396,339.181415,1155752,7.7,531837,
397,339.19289,837801,5.3,309890,
398,339.194315,3537577,25.7,478831,
399,339.198879,9190569,68.5,292358,
400,339.200028,65509544,489.6,508113,
401,339.204307,671146,4,889269,
402,339.204991,583082,3.3,806006,
403,339.215311,670890,4,261207,
404,339.217795,1132587,7.5,480307,
405,339.233032,1071020,7,558758,
406,339.254142,1450414,9.8,578209,
407,339.255543,549550,3.1,419487,
408,339.290587,884656,5.6,614648,
409,339.325726,2510771,17.8,342899,
410,339.326983,14123187,104.8,488329,
411,340.046384,4812013,35,493222,
412,340.197731,676089,4,672854,
413,340.202199,2340346,16.5,402222,
414,340.203386,12681466,94,491650,
415,340.330347,2900228,20.7,506540,
416,340.857398,593198,3.4,684911,
417,340.858504,723758,4.4,573947,
418,341.049738,738366,4.5,599237,
419,341.107884,716995,4.3,593541,
420,341.109019,3004739,21.5,503653,
421,341.152505,820294,5.1,511345,
422,341.160772,925511,5.9,582824,
423,341.177809,682952,4.1,518096,
424,341.194613,922698,5.9,708622,
425,341.195815,2763082,19.7,525393,
426,341.197103,1116746,7.3,417180,
427,341.206706,1503051,10.2,574017,
428,341.209891,615307,3.6,372708,
429,341.212386,637323,3.7,494428,
430,341.222935,692876,4.2,453425,
431,341.233438,829389,5.2,559243,
432,341.248881,559534,3.2,406140,
433,341.268786,731216,4.4,559936,
434,341.269827,2508880,17.8,436130,
435,341.28506,768977,4.7,561623,
436,341.306262,1453139,9.9,506301,
437,343.155174,655082,3.9,680821,
438,343.176023,565484,3.2,507348,
439,343.17719,787436,4.9,609853,
440,343.191677,703469,4.2,584727,
441,343.195022,787949,4.9,579443,
442,343.206863,981230,6.3,566500,
443,343.212797,1492975,10.2,517532,
444,343.225617,1479664,10.1,310402,
445,343.228115,559344,3.2,592369,
446,343.249086,804658,5,408193,
447,343.264395,615027,3.6,509947,
448,344.238497,553668,3.1,612200,
449,345.113374,1249165,8.3,542078,
450,345.116785,1068173,7,382621,
451,345.170806,1072274,7,522725,
452,345.207215,731157,4.4,443998,
453,345.210598,812437,5.1,560130,
454,345.228377,975254,6.3,598214,
455,345.243686,743704,4.5,617988,
456,345.280075,613915,3.6,581867,
457,346.14502,21953252,163.4,484272,
458,346.202542,953320,6.1,529931,
459,346.254143,762733,4.7,519417,
460,347.054237,818993,5,554318,
461,347.092643,787636,4.8,241054,
462,347.103843,3581749,25.5,484469,
463,347.129045,12708663,93.1,488351,
464,347.130992,3409207,24.2,365839,
465,347.132416,19950392,146.7,489465,
466,347.148349,5248825,37.9,478781,
467,347.186503,2090812,14.5,536030,
468,347.222951,598335,3.4,651156,
469,347.55583,580315,3.3,617221,
470,347.559439,1230940,8.1,501262,
471,348.107389,825995,5.1,468889,
472,348.132386,3249037,23,531259,
473,348.135768,4161421,29.8,504646,
474,348.151686,580494,3.3,744879,
475,348.327254,912413,5.7,472516,
476,349.036454,1747931,11.9,494858,
477,349.108266,1301729,8.6,546191,
478,349.12829,803042,4.9,590309,
479,349.135669,566563,3.2,453744,
480,349.165855,675558,4,608408,
481,349.202194,4989929,35.9,509646,
482,349.205552,2233833,15.5,486199,
483,349.236196,1359596,9,530056,
484,349.238609,569836,3.2,613086,
485,349.241888,1388780,9.3,517032,
486,349.274946,741871,4.5,464085,
487,350.103647,588471,3.3,467936,
488,350.205483,1100864,7.1,456450,
489,350.20886,602560,3.4,513626,
490,350.342972,3086924,21.8,496167,
491,351.181477,1157525,7.5,582107,
492,351.217838,5815449,42,466690,
493,351.221167,1149081,7.5,442468,
494,351.251746,2480284,17.3,517912,
495,351.254232,760348,4.6,504453,
496,351.290573,918175,5.8,485805,
497,351.326911,600994,3.4,566950,
498,351.346201,1051044,6.8,492735,
499,351.363278,627557,3.6,445401,
500,351.977874,2247900,15.6,505751,
501,352.184753,582894,3.3,389831,
502,352.221213,1331953,8.8,478023,
503,352.322193,1005562,6.4,519164,
504,353.160691,711877,4.2,460247,
505,353.197203,955976,6.1,434068,
506,353.200427,3510600,25,481472,
507,353.209924,7605577,55.3,489194,
508,353.215781,1537353,10.4,505805,
509,353.23111,1123147,7.3,451252,
510,353.23348,1226315,8.1,537940,
511,353.248808,577612,3.3,480620,
512,353.269867,1262414,8.3,589149,
513,353.306236,1469778,9.9,542925,
514,353.342643,9225557,67.3,471358,
515,353.378949,847064,5.2,541557,
516,354.203795,603426,3.4,634403,
517,354.213321,1746083,11.9,275043,
518,354.218994,615459,3.5,578595,
519,354.309646,566059,3.2,505313,
520,354.345965,2652591,18.6,511495,
521,355.101067,2646515,18.4,505416,
522,355.167998,791801,4.8,250808,
523,355.176276,818682,5,651981,
524,355.206814,642300,3.7,668704,
525,355.211412,553085,3,664084,
526,355.212706,1039613,6.6,542068,
527,355.227977,741630,4.4,547328,
528,355.249153,1384704,9.1,479856,
529,355.264365,791426,4.8,573914,
530,355.285476,2467332,17,487900,
