"Inst_blank_0312_neg: 100 scans, H1=0.1, H2=0.5, TOF=0.0009, Q1=250, Ex Amp=8.75, neb=0.5 ",,,,,
Acquired 3/12/2020  9:11 AM,,,,,
#,m/z,I,S/N,Res.,
112,236.171852,535903,3.4,802261,
113,239.20832,497155,3,593620,
114,242.076224,505056,3.1,760249,
115,242.441049,518061,3.2,882171,
116,246.31544,499486,3,599177,
117,246.38372,517120,3.2,656849,
118,248.293316,654598,4.3,759333,
119,251.321787,507572,3.1,690864,
120,251.444197,557689,3.5,605116,
121,251.982403,534284,3.3,711850,
122,256.510518,533806,3.3,653301,
123,257.262878,524169,3.2,791490,
124,258.150485,555241,3.5,637528,
125,260.281599,522676,3.2,696651,
126,261.148835,586899,3.7,595242,
127,262.578312,510854,3.1,717598,
128,267.532453,504375,3,620602,
129,272.888903,511225,3.1,731807,
130,273.307271,537288,3.3,679701,
131,273.878474,508317,3,608734,
132,275.317748,506002,3,630332,
133,275.999095,893547,6.2,661106,
134,276.186472,1961714,14.8,681854,
135,281.248741,2364081,18.1,281439,
136,282.252232,604376,3.8,340954,
137,282.341939,545947,3.3,528125,
138,283.263928,5249279,41.4,439656,
139,283.264415,11458815,91.7,578119,
140,284.267774,2386214,18.2,607777,
141,285.046097,523973,3.2,422743,
142,288.452162,536973,3.3,603983,
143,289.944833,532618,3.2,585594,
144,290.467216,635296,4,624131,
145,293.176026,2976401,22.9,283119,
146,293.178851,575377,3.6,759214,
147,293.179437,779025,5.2,737871,
148,294.179275,657596,4.2,516431,
149,295.155163,948902,6.5,401022,
150,295.22806,909417,6.2,677877,
151,295.264439,631019,4,784591,
152,297.153126,2806590,21.4,409876,
153,297.243658,2021954,15.1,510314,
154,297.280069,1120324,7.9,511707,
155,297.413102,524361,3.1,587244,
156,297.679647,509557,3,506877,
157,298.156503,845419,5.7,612073,
158,298.246841,659567,4.2,621198,
159,299.054845,689171,4.5,589550,
160,299.165379,553752,3.4,450428,
161,299.201817,10679194,84.6,499733,
162,299.259319,1706652,12.6,491071,
163,299.338813,565984,3.5,522265,
164,300.205155,2380743,18,475297,
165,300.866019,1564646,11.4,294244,
166,301.159902,2001651,14.9,431149,
167,301.217485,3275254,25.1,273701,
168,302.163388,748834,4.9,600007,
169,302.220517,631781,4,367208,
170,303.003107,1491018,10.8,300222,
171,303.233071,6127701,47.9,498653,
172,304.236435,1511556,11,555260,
173,305.118435,1319855,9.5,566668,
174,305.175888,582322,3.6,554216,
175,305.248759,790197,5.2,470319,
176,306.90711,540167,3.2,572337,
177,307.19514,643349,4.1,499228,
178,307.22803,577367,3.5,586226,
179,307.264419,1740312,12.8,606019,
180,309.170933,3432825,26.3,451446,
181,309.174311,2885497,21.9,481022,
182,309.207265,1388154,10,603615,
183,309.241271,2536828,19.1,258606,
184,309.280049,3013502,22.9,469984,
185,310.17434,772652,5.1,352294,
186,310.177733,527404,3.1,778234,
187,310.244566,520431,3.1,528406,
188,310.283404,871986,5.9,659340,
189,310.383547,517751,3.1,693346,
190,311.150233,701663,4.5,688011,
191,311.166043,815583,5.4,375123,
192,311.168768,30424544,241.4,500886,
193,311.186635,690528,4.4,713498,
194,311.222041,750818,4.9,856125,
195,311.222938,1114338,7.8,443550,
196,311.259419,849636,5.7,698733,
197,311.295692,8440294,66.2,503834,
198,312.171298,1669396,12.1,517929,
199,312.172177,5522965,42.6,506943,
200,312.299083,2209307,16.4,517258,
201,313.070532,707780,4.5,446273,
202,313.144738,743752,4.8,635990,
203,313.164599,1697865,12.4,529370,
204,313.175568,693450,4.4,580059,
205,313.181078,4398666,33.7,548783,
206,313.191799,640971,4,611834,
207,313.202352,599435,3.7,232044,
208,313.217484,3577420,27.2,523924,
209,313.238569,2029389,15,429683,
210,313.275025,629071,3.9,638122,
211,313.311355,632273,3.9,469160,
212,313.322668,546898,3.3,602170,
213,314.184486,908160,6.1,586091,
214,314.22086,778370,5.1,500573,
215,314.241879,710531,4.6,625506,
216,315.049844,654383,4.1,295541,
217,315.157909,875573,5.9,629910,
218,315.160359,1555638,11.2,551551,
219,315.181546,816567,5.4,599710,
220,315.196726,5371576,41.4,496784,
221,315.254274,1837755,13.5,541437,
222,316.200091,1138415,7.9,502208,
223,317.154891,689381,4.4,423174,
224,317.17596,696998,4.4,633622,
225,317.212369,2630440,19.7,512535,
226,318.050543,517719,3,792419,
227,318.215725,579297,3.5,654300,
228,318.832278,519812,3,363431,
229,319.11887,683925,4.3,254031,
230,319.155108,627799,3.9,351512,
231,319.191749,982681,6.7,642429,
232,319.228042,2663323,19.8,554824,
233,320.231413,588246,3.6,717523,
234,320.922936,1473278,10.5,641643,
235,321.170865,1181453,8.2,503908,
236,321.188055,1245710,8.7,458512,
237,321.204984,707855,4.5,596509,
238,321.207381,731407,4.7,415638,
239,321.210689,2047503,15,547709,
240,321.241317,896017,6,598204,
241,321.243648,1324305,9.3,552728,
242,322.053552,556545,3.3,454249,
243,323.150202,631620,3.9,513463,
244,323.168813,696325,4.4,411698,
245,323.186647,1464710,10.4,532456,
246,323.189944,1878150,13.7,571054,
247,323.220509,5731464,43.9,474034,
248,323.222902,1354120,9.6,521964,
249,323.256962,2252938,16.6,500401,
250,323.259348,906378,6.1,633372,
251,323.295693,903500,6,404954,
252,323.332118,928911,6.2,452385,
253,324.223893,989381,6.7,493416,
254,324.226122,586373,3.5,457915,
255,324.919866,541840,3.2,315182,
256,325.165836,1248767,8.7,550106,
257,325.18091,802624,5.2,254434,
258,325.183463,8901888,68.3,312932,
259,325.184429,55562496,431.6,500173,
260,325.187303,976640,6.5,580082,
261,325.19984,988673,6.6,541029,
262,325.202205,1333505,9.3,459850,
263,325.23855,929540,6.2,586052,
264,325.274975,1566982,11.1,578277,
265,325.311384,6695176,51.1,496387,
266,325.347755,1988106,14.4,454768,
267,326.187845,21397822,165.5,552432,
268,326.31478,1738567,12.5,457785,
269,327.033755,524660,3,623675,
270,327.086105,661111,4.1,599018,
271,327.160269,559612,3.3,575703,
272,327.180241,2142077,15.6,564998,
273,327.18156,983933,6.6,520557,
274,327.191239,751870,4.8,449452,
275,327.19687,594686,3.6,566888,
276,327.217847,2865024,21.3,463612,
277,327.254257,2114434,15.4,533745,
278,327.290681,1296516,9,542036,
279,328.18364,592573,3.6,591642,
280,328.221247,603200,3.6,647855,
281,328.293876,560196,3.3,597236,
282,328.860943,2564073,18.9,543213,
283,329.093243,553848,3.3,634894,
284,329.139597,773371,5,557980,
285,329.160797,572092,3.4,412414,
286,329.175141,710141,4.5,693868,
287,329.176011,2347005,17.2,517250,
288,329.197166,976638,6.5,570238,
289,329.212437,1978879,14.4,520666,
290,329.233574,1692673,12.1,253598,
291,330.179335,628158,3.8,662259,
292,330.215752,685633,4.3,705198,
293,331.155288,1120382,7.7,247942,
294,331.17631,564864,3.3,666532,
295,331.191686,2541697,18.7,527437,
296,331.249245,597509,3.6,417805,
297,331.264434,1120902,7.7,553560,
298,331.546352,553240,3.2,441380,
299,331.839169,1598636,11.4,495434,
300,332.080528,1107644,7.5,323276,
301,332.145775,561216,3.3,610217,
302,332.152398,6537921,49.4,507912,
303,332.194964,674755,4.2,659890,
304,332.886345,831730,5.4,643261,
305,333.113401,1870593,13.4,523914,
306,333.126234,658306,4,454644,
307,333.148741,14326531,109.6,492379,
308,333.155845,668676,4.1,586300,
309,333.170976,1267205,8.7,560263,
310,333.207303,3133191,23.1,538769,
311,333.2437,643594,3.9,640114,
312,333.280063,1827852,13.1,485765,
313,334.152098,1074631,7.2,461973,
314,334.210698,861643,5.6,505074,
315,334.225701,643276,3.9,299035,
316,334.31173,825682,5.3,514364,
317,334.727492,594670,3.5,561396,
318,334.902139,999290,6.7,616063,
319,334.938565,4608893,34.5,499641,
320,335.016032,526210,3,579488,
321,335.129099,2694026,19.8,526554,
322,335.150261,661259,4.1,531475,
323,335.181648,592142,3.5,496372,
324,335.186542,2127246,15.4,534139,
325,335.218201,613776,3.7,270061,
326,335.223006,3897232,29,533191,
327,335.256069,616979,3.7,569566,
328,335.256912,1604755,11.3,292295,
329,335.259395,657683,4,506665,
330,335.295809,2394517,17.4,529250,
331,335.93815,799682,5.1,414561,
332,336.118671,525518,3,538265,
333,336.132437,705999,4.4,580371,
334,336.22621,1272022,8.8,494219,
335,336.327388,12882909,98.4,491015,
336,336.858974,890114,5.8,592463,
337,336.917808,1785350,12.7,526912,
338,336.93551,721287,4.5,554250,
339,337.031705,535758,3.1,535061,
340,337.129207,564180,3.3,502793,
341,337.165867,1477655,10.4,485783,
342,337.202254,2531866,18.5,517369,
343,337.204356,1135130,7.7,599961,
344,337.205579,5575706,42,518883,
345,337.236307,2614300,19.1,469250,
346,337.238663,1444124,10.1,507875,
347,337.272589,5648415,42.6,519807,
348,337.311438,3777569,28.1,506915,
349,337.330769,2877987,21.2,512622,
350,338.205478,566880,3.3,677539,
351,338.208978,1144416,7.8,484406,
352,338.27591,1369189,9.5,537400,
353,338.314679,682216,4.2,516535,
354,338.342983,2212970,16,534807,
355,338.933479,1431700,10,611684,
356,339.047404,2805404,20.6,486310,
357,339.145056,618147,3.7,537952,
358,339.163727,527140,3,267121,
359,339.181475,1778597,12.7,469597,
360,339.199292,3377319,25,365675,
361,339.200145,19813542,151.9,488885,
362,339.201757,866215,5.6,600604,
363,339.207397,590823,3.5,491037,
364,339.215547,2826920,20.6,523459,
365,339.217959,1430440,9.9,496791,
366,339.254267,1184939,8,518926,
367,339.290755,1438125,10,545245,
368,339.323285,535855,3.1,301984,
369,339.327029,21734576,165.3,503318,
370,340.046481,3043555,22.3,510901,
371,340.203495,3885807,28.7,518266,
372,340.28603,584308,3.4,640350,
373,340.294232,529269,3,667116,
374,340.330387,4959480,36.9,480560,
375,340.569986,552841,3.2,584671,
376,340.858536,6022430,45.1,489440,
377,341.101811,1617711,11.3,481720,
378,341.109149,3518768,25.9,510958,
379,341.124404,556849,3.2,560351,
380,341.142966,581554,3.4,398402,
381,341.160775,993588,6.6,520034,
382,341.177901,1118261,7.5,497092,
383,341.179428,1128245,7.6,582474,
384,341.19586,760886,4.8,473623,
385,341.197185,1387062,9.6,528305,
386,341.223111,996920,6.6,624213,
387,341.233605,1731385,12.2,516132,
388,341.269911,5758268,43,511482,
389,341.306362,3404606,25,502743,
390,341.333596,554176,3.2,550756,
391,341.34276,862273,5.6,502418,
392,342.273303,1530245,10.7,509350,
393,342.301628,766471,4.8,549851,
394,342.309686,643463,3.9,571145,
395,342.854245,555119,3.2,387686,
396,342.920702,548660,3.2,617550,
397,343.157155,711494,4.4,600007,
398,343.176324,825287,5.3,524397,
399,343.191797,633416,3.8,221269,
400,343.212796,2367946,17.1,514803,
401,343.228077,620235,3.7,319195,
402,343.249204,1174732,7.9,550586,
403,343.688652,530861,3,564232,
404,345.170967,817243,5.2,636146,
405,345.207362,808542,5.1,632063,
406,345.228475,794080,5,445725,
407,345.243935,678881,4.1,499281,
408,346.145173,1557413,10.9,573518,
409,346.275308,812207,5.2,547236,
410,346.76412,559700,3.2,526430,
411,347.103915,2125038,15.1,529049,
412,347.129184,807280,5.1,535603,
413,347.131345,540400,3.1,759362,
414,347.13245,1655280,11.5,468283,
415,347.147837,545265,3.1,630143,
416,347.150095,827121,5.2,299885,
417,347.151224,957937,6.2,521881,
418,347.186596,1404916,9.6,518474,
419,347.220611,597175,3.5,503062,
420,347.222918,931191,6,496228,
421,347.259383,930554,6,571711,
422,347.29574,728828,4.5,520846,
423,347.55962,1139089,7.6,445045,
424,348.061355,706359,4.3,590658,
425,348.107232,612283,3.6,491107,
426,348.291123,711241,4.4,489234,
427,348.371777,584719,3.4,447237,
428,348.954228,7046012,52.4,473955,
429,348.974642,537597,3,518682,
430,349.108232,540680,3.1,661985,
431,349.129381,535561,3,522074,
432,349.165962,1150860,7.7,474725,
433,349.202281,2626447,18.9,459755,
434,349.205583,1726095,12.1,481962,
435,349.233815,867857,5.5,300294,
436,349.236249,2137234,15.2,461716,
437,349.238695,1036178,6.8,473973,
438,349.241841,632466,3.8,397351,
439,349.275045,1241237,8.4,609626,
440,349.311379,677911,4.1,607314,
441,349.953783,1511369,10.4,539342,
442,350.205549,680797,4.1,546101,
443,350.306636,3522533,25.7,464183,
444,350.334939,539751,3.1,533737,
445,350.951075,895896,5.8,549267,
446,351.142679,542375,3.1,487617,
447,351.145081,595399,3.5,369929,
448,351.161313,564008,3.2,468347,
449,351.181534,1636906,11.4,492027,
450,351.215564,1276588,8.6,397544,
451,351.217934,2681389,19.3,521375,
452,351.221296,2089517,14.8,496193,
453,351.251883,7733295,57.6,484309,
454,351.254352,769199,4.8,338647,
455,351.290665,1002418,6.6,469356,
456,351.310041,1045172,6.9,438385,
457,351.327064,997813,6.5,487258,
458,351.363482,1070904,7.1,513455,
459,352.221123,588988,3.4,365526,
460,352.255248,1733503,12.1,474311,
461,352.322296,3134596,22.7,441491,
462,352.949191,6746294,50.1,490298,
463,353.063052,1420223,9.7,485301,
464,353.160739,1023431,6.7,574801,
465,353.197208,1555914,10.8,480767,
466,353.200566,10141898,75.9,489023,
467,353.210071,1580747,11,470840,
468,353.215858,749003,4.6,237111,
469,353.231173,6644941,49.4,443029,
470,353.233631,1096909,7.3,489606,
471,353.269935,1151951,7.7,567650,
472,353.306335,2696914,19.4,461149,
473,353.325686,800468,5,573051,
474,353.342695,15370453,115.6,480345,
475,353.379158,1721816,12,502295,
476,353.948765,1235462,8.3,415126,
477,354.200379,601114,3.5,598209,
478,354.203919,1610266,11.2,534467,
479,354.234521,1402397,9.6,538206,
480,354.301491,640034,3.8,682131,
481,354.309714,656163,3.9,414315,
482,354.346102,3516710,25.6,465101,
483,354.691362,608898,3.5,415784,
484,354.946039,1055062,6.9,540333,
485,355.117535,792676,4.9,478050,
486,355.150464,656359,3.9,621922,
487,355.1765,1041257,6.8,518471,
488,355.212868,810028,5.1,418418,
489,355.249173,2132847,15,426200,
490,355.285623,5415282,39.7,464069,
491,355.321981,2090869,14.7,516371,
492,355.349378,697591,4.2,572241,
493,356.087387,1341363,9,493956,
494,356.288951,1237956,8.3,534041,
495,356.58916,804572,5,522469,
496,356.936451,550137,3.1,473364,
497,357.088309,787589,4.9,508797,
498,357.134633,770313,4.8,294839,
499,357.170955,597388,3.5,536349,
500,357.192092,657422,3.9,600129,
501,357.228541,1418513,9.6,448677,
502,357.264728,1230612,8.2,488695,
503,358.096113,1829976,12.7,445582,
504,358.82463,646165,3.8,640664,
505,358.840924,6137495,45.1,493663,
506,358.871613,808473,5,463690,
507,358.956372,583200,3.3,633827,
508,359.103911,12157612,90.4,476790,
509,359.11473,891053,5.7,566769,
510,359.171373,922802,5.9,511201,
511,359.186427,951987,6.1,541693,
512,359.207799,650549,3.9,582654,
513,359.223016,633398,3.7,298967,
514,359.259287,554041,3.1,538295,
515,360.107231,2548992,18.1,461544,
516,360.23919,550987,3.1,413654,
517,360.836728,638782,3.8,580352,
518,360.971903,703177,4.2,404444,
519,361.085805,542163,3,508629,
520,361.119622,795222,4.9,273408,
521,361.147998,550872,3.1,600323,
522,361.163521,1362009,9.2,430161,
523,361.166871,942042,6,199206,
524,361.197425,1570140,10.8,479541,
525,361.202213,977245,6.3,289823,
526,361.274895,546659,3.1,555099,
527,362.197389,771601,4.8,270844,
528,362.343124,1259454,8.4,496013,
529,362.896952,1332717,8.9,496281,
530,362.969912,16473075,121.6,478881,
531,362.982245,563316,3.2,714573,
532,363.124092,1189632,7.8,465850,
533,363.181501,1673477,11.4,433692,
534,363.213124,3105288,22.1,452521,
535,363.217945,1080072,7,501298,
536,363.249516,669323,4,463460,
537,363.254292,836236,5.2,530899,
538,363.290718,896783,5.6,608917,
539,363.327056,1095954,7.1,519360,
540,363.969479,3120201,22.2,448447,
541,363.973315,1031497,6.7,468764,
542,364.077899,964434,6.2,423461,
543,364.213121,1249374,8.3,481395,
544,364.21628,723422,4.4,461093,
545,364.285958,1298788,8.6,400924,
546,364.358676,1007723,6.5,482276,
547,364.579569,780414,4.8,542206,
548,364.966728,2009759,13.9,435278,
549,365.124368,559533,3.1,579930,
550,365.139644,4103343,29.5,457868,
551,365.160784,780720,4.8,325045,
552,365.176924,762802,4.6,607210,
553,365.197172,1592755,10.8,473534,
554,365.231187,1292982,8.6,450078,
555,365.23363,735671,4.4,459231,
556,365.236911,1274807,8.5,450848,
557,365.267485,1263034,8.4,270103,
558,365.269874,1147322,7.5,420872,
559,365.28928,628283,3.6,643210,
560,365.306339,1052989,6.8,443650,
561,365.342686,3977408,28.6,442893,
562,365.379105,621507,3.6,612588,
563,365.966289,583158,3.3,469044,
564,366.143068,1057030,6.8,551261,
565,366.270937,587281,3.3,445293,
566,366.30157,1771540,12.2,478907,
567,366.346036,1010584,6.5,477612,
568,366.374476,695194,4.1,526348,
569,366.837782,974403,6.2,563381,
570,366.964816,13352270,98.4,441500,
571,367.042317,1666389,11.4,487893,
572,367.078738,577752,3.3,514521,
573,367.176455,1121377,7.3,483340,
574,367.189283,1543778,10.5,514997,
575,367.212859,1632612,11.1,460569,
576,367.216205,2921316,20.7,481959,
577,367.246752,3107687,22.1,420864,
578,367.249187,1223783,8.1,435401,
579,367.285629,1460074,9.8,454812,
580,367.321929,1491309,10.1,424087,
581,367.35415,998256,6.4,171038,
582,367.358309,64380272,478.3,461553,
583,367.964351,2524582,17.8,478558,
584,367.968123,566183,3.2,493253,
585,368.25015,910272,5.7,509881,
586,368.31724,3241414,23.1,434313,
587,368.325316,591430,3.4,469805,
588,368.361733,15080905,111.2,447899,
589,368.853432,4153845,29.9,463884,
590,368.961611,1655039,11.3,441525,
591,369.133146,2931726,20.8,419707,
592,369.155612,753168,4.6,448698,
593,369.192132,1171219,7.7,488699,
594,369.205013,543508,3,661892,
595,369.213276,2477589,17.4,481348,
596,369.228555,1080087,7,522344,
597,369.264856,1379354,9.2,485487,
598,369.30125,14265885,105.2,429941,
599,369.320635,944543,6,455238,
600,369.33767,2912800,20.7,450523,
601,369.365011,1915427,13.2,510512,
602,369.374127,548900,3.1,413953,
603,369.554283,548020,3,461110,
604,370.056099,543841,3,603566,
605,370.091964,795620,4.9,500476,
606,370.268328,578164,3.3,557186,
607,370.304568,3307639,23.6,451317,
608,370.332857,5504634,39.9,431197,
609,370.341012,597370,3.4,532559,
610,370.84926,547240,3,582554,
611,371.067758,601148,3.4,495763,
612,371.085743,769469,4.7,565103,
613,371.171443,550853,3.1,588184,
614,371.207686,633672,3.7,361465,
615,371.220563,686793,4.1,331177,
616,371.244194,1905867,13.2,488036,
617,371.259378,554573,3.1,531818,
618,371.280599,1074383,7,535136,
619,371.316933,804434,5,418581,
620,371.336227,1502676,10.2,444077,
621,372.099222,1077273,6.9,473924,
622,372.138202,751132,4.5,442794,
623,372.887121,790369,4.8,504682,
624,373.045417,674799,3.9,576824,
625,373.083207,12556146,91.5,440953,
626,373.141245,618680,3.5,429790,
627,373.166867,831610,5.1,535145,
628,373.1845,961020,6.1,386692,
629,373.186902,665596,3.9,570720,
630,373.202139,752509,4.5,622037,
631,373.203027,844413,5.2,586787,
632,373.238759,590977,3.3,655363,
633,373.259749,742531,4.4,516949,
634,373.27494,578436,3.2,731020,
635,374.086525,2923470,20.5,467903,
636,374.894676,686233,4,561185,
637,375.134928,551343,3,399960,
638,375.182472,10141747,73.7,427241,
639,375.217881,750775,4.5,396162,
640,375.25433,876218,5.4,455740,
641,375.326968,650689,3.8,515074,
642,376.142291,783500,4.7,576886,
643,376.185759,1572752,10.6,456282,
644,376.910318,1186772,7.7,514727,
645,376.998057,903900,5.6,256412,
646,377.067475,1043427,6.7,433861,
647,377.138585,857577,5.3,348813,
648,377.139736,820457,5,564336,
649,377.16082,640491,3.7,551092,
650,377.197064,830703,5.1,500097,
651,377.200503,573487,3.2,417515,
652,377.228805,836978,5.1,520136,
653,377.23374,613234,3.5,479299,
654,377.236835,618610,3.5,510649,
655,377.26515,862325,5.3,420095,
656,377.269948,753909,4.5,584208,
657,377.306385,762617,4.6,582210,
658,377.569337,581778,3.3,440855,
659,378.074195,571329,3.2,546946,
660,378.075469,1105729,7.1,478477,
661,378.192479,1143884,7.4,274046,
662,378.843396,904073,5.6,535834,
663,379.039878,1603228,10.8,423519,
664,379.046875,699805,4.1,489145,
665,379.176453,762153,4.6,498684,
666,379.192467,581162,3.3,221689,
667,379.212965,565356,3.1,315560,
668,379.246767,1570480,10.5,408896,
669,379.249375,767920,4.6,505587,
670,379.283206,1230259,8,545143,
671,379.285437,928563,5.8,385118,
672,379.322069,965559,6.1,526742,
673,379.358332,1273786,8.4,422344,
674,380.09096,987904,6.3,384340,
675,380.208003,869771,5.4,455323,
676,380.250213,706959,4.2,371999,
677,380.280867,618898,3.5,417834,
678,380.325275,618774,3.5,557258,
679,380.59279,620335,3.5,517683,
680,380.649484,572085,3.2,507364,
681,380.732236,559293,3.1,436485,
682,380.796108,574211,3.2,393685,
683,380.82289,13599301,98.3,444728,
684,380.851065,2901064,20.2,439397,
685,380.980504,5592661,39.8,437699,
686,381.016503,690776,4,617777,
687,381.057989,594780,3.3,522323,
688,381.094302,857183,5.2,374668,
689,381.155556,558821,3.1,424018,
690,381.192189,1388649,9.1,439487,
691,381.228508,1006188,6.3,485390,
692,381.231878,5917293,42.2,407112,
693,381.26249,4755055,33.7,409481,
694,381.265013,990575,6.2,486116,
695,381.301318,1261939,8.2,470643,
696,381.316461,619380,3.5,520319,
697,381.337672,2727031,18.9,408985,
698,381.37401,33587832,244.3,430378,
699,381.410443,814845,4.9,479875,
700,381.980065,1027508,6.5,495810,
701,382.235188,1228237,7.9,444207,
702,382.265827,1043407,6.6,452447,
703,382.296565,999890,6.3,467704,
704,382.33272,619606,3.5,465987,
705,382.341123,761815,4.5,590079,
706,382.377389,8917722,64.1,423506,
707,382.818656,1725189,11.6,446368,
708,382.846879,566791,3.1,548517,
709,382.869212,632330,3.6,543736,
710,382.977399,849684,5.2,497920,
711,383.037261,838042,5.1,477270,
712,383.148779,2964261,20.6,457651,
713,383.171363,774311,4.6,488591,
714,383.20785,1502762,10,423914,
715,383.244164,1114670,7.1,492921,
716,383.280453,2269489,15.6,452559,
717,383.316901,14152501,102.3,430393,
718,383.332168,2225462,15.2,456408,
719,383.353349,6407993,45.8,424223,
720,383.380654,1220155,7.9,485887,
721,384.107647,4344706,30.7,413116,
722,384.275856,718994,4.2,454012,
723,384.2839,680211,3.9,424089,
724,384.312255,1449109,9.6,452147,
725,384.320325,3712918,26.1,428411,
726,384.335553,579352,3.2,428386,
727,384.356619,1783194,12,450361,
728,385.083156,882784,5.4,447967,
729,385.111056,672099,3.9,467935,
730,385.186983,737771,4.4,611607,
731,385.223216,590702,3.3,238217,
732,385.259878,1443826,9.5,505877,
733,385.296176,1532405,10.2,338153,
734,385.32368,628088,3.6,438314,
735,385.347802,1018106,6.4,483597,
736,386.091011,842179,5.1,344067,
737,386.327852,2015322,13.7,420245,
738,386.831081,810380,4.9,487865,
739,387.094489,577830,3.2,687761,
740,387.098884,23000230,166.9,412724,
741,387.218691,2469042,17,431643,
742,387.239175,797620,4.8,365407,
743,387.275449,859960,5.3,467027,
744,387.290719,588601,3.3,616877,
745,387.550241,573267,3.2,509592,
746,388.102242,5345546,38,416820,
747,389.078092,871530,5.3,419981,
748,389.105684,663405,3.8,382745,
749,389.179435,1252980,8.1,408476,
750,389.198233,998262,6.3,456494,
751,389.228841,1233529,8,410780,
752,389.233586,693242,4,548993,
753,389.236625,1181306,7.6,432365,
754,389.306432,1126529,7.2,490601,
755,390.982528,1269800,8.2,384875,
756,391.093752,704947,4.1,449488,
757,391.208181,592319,3.3,446097,
