V1,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,V10,ppm.1,Intensity.1,Width.1,Area.1,Type.1,Flags.1,Impurity/Compound.1,Annotation.1,V19,ppm.2,Intensity.2,Width.2,Area.2,Type.2,Flags.2,Impurity/Compound.2,Annotation.2,V28,ppm.3,Intensity.3,Width.3,Area.3,Type.3,Flags.3,Impurity/Compound.3,Annotation.3,V37,ppm.4,Intensity.4,Width.4,Area.4,Type.4,Flags.4,Impurity/Compound.4,Annotation.4,V46,ppm.5,Intensity.5,Width.5,Area.5,Type.5,Flags.5,Impurity/Compound.5,Annotation.5,V55,ppm.6,Intensity.6,Width.6,Area.6,Type.6,Flags.6,Impurity/Compound.6,Annotation.6,V64,ppm.7,Intensity.7,Width.7,Area.7,Type.7,Flags.7,Impurity/Compound.7,Annotation.7,V73,ppm.8,Intensity.8,Width.8,Area.8,Type.8,Flags.8,Impurity/Compound.8,Annotation.8,V82,ppm.9,Intensity.9,Width.9,Area.9,Type.9,Flags.9,Impurity/Compound.9,Annotation.9,V91,ppm.10,Intensity.10,Width.10,Area.10,Type.10,Flags.10,Impurity/Compound.10,Annotation.10,V100,ppm.11,Intensity.11,Width.11,Area.11,Type.11,Flags.11,Impurity/Compound.11,Annotation.11,source,V109,ppm.12,Intensity.12,Width.12,Area.12,Type.12,Flags.12,Impurity/Compound.12,Annotation.12,v
11,7.89,0,1.25,0.1,Artifact,Weak,NA,NA,41,6.09,0,1.93,0.42,Impurity,None,NA,NA,71,4.96,0,2.93,0.53,Compound,None,NA,NA,101,4.57,0.2,2.08,5.5,Compound,None,NA,NA,131,4.1,0,1.47,0.24,Compound,None,NA,NA,161,3.55,0,2.59,1.54,Artifact,Weak,NA,NA,191,3.19,0,3.35,0.5,Artifact,Weak,NA,NA,221,2.94,0,1.39,0.73,Compound,None,NA,NA,251,2.3,0,1.35,0.3,Compound,None,NA,NA,281,1.89,0,31.22,2.92,Compound,None,NA,NA,311,1.1,0,3.82,1.27,Compound,None,NA,NA,341,0.76,0,2.83,1.28,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,7.87,0,1.28,0.08,Artifact,Weak,NA,NA,42,5.81,0,1.12,0.1,Artifact,Weak,NA,NA,72,4.94,0,2.35,0.66,Compound,None,NA,NA,102,4.56,0,1.91,0.22,Compound,Weak,NA,NA,132,4.09,0,1.23,0.18,Impurity,Weak,NA,NA,162,3.54,0.2,4.69,11.06,Artifact,Weak,NA,NA,192,3.18,0,1.03,0.08,Artifact,Weak,NA,NA,222,2.91,0.1,1.82,2.52,Compound,None,NA,NA,252,2.3,0,1.5,0.35,Compound,None,NA,NA,282,1.84,0,14.13,3.96,Compound,None,NA,NA,312,1.09,0.2,1.19,3.36,Compound,None,NA,NA,342,0.75,0,2.02,0.18,Compound,Weak,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,7.69,0,2.87,0.36,Impurity,Weak,NA,NA,43,5.78,0,3.46,0.74,Compound,None,NA,NA,73,4.93,0,2.35,0.66,Compound,None,NA,NA,103,4.53,0,1.89,0.17,Artifact,Weak,NA,NA,133,4.04,0.1,3.94,2.86,Compound,None,NA,NA,163,3.53,0.1,2.58,4.98,Artifact,Weak,NA,NA,193,3.17,0.1,1.48,1.87,Artifact,Weak,NA,NA,223,2.9,0.1,1.79,2.39,Compound,None,NA,NA,253,2.29,0.1,2.32,1.69,Compound,None,NA,NA,283,1.82,0,1.84,0.69,Compound,None,NA,NA,313,1.07,0.2,1.16,2.67,Compound,None,NA,NA,343,0.75,0,1.24,0.13,Compound,Weak,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,7.22,0.1,28.47,35.4,Compound,None,NA,NA,44,5.77,0,1.48,0.17,Compound,None,NA,NA,74,4.92,0,2.2,0.64,Compound,None,NA,NA,104,4.49,0,4.63,2.06,Compound,None,NA,NA,134,3.97,0,17.66,4.73,Compound,None,NA,NA,164,3.53,0.1,2.29,2.01,Artifact,Weak,NA,NA,194,3.16,0.1,2.49,3.57,Artifact,Weak,NA,NA,224,2.89,0.1,2.28,3.75,Compound,None,NA,NA,254,2.28,0,1.58,0.54,Compound,None,NA,NA,284,1.81,0,1.67,0.29,Compound,None,NA,NA,314,1.07,0.5,0.93,6.34,Compound,None,NA,NA,344,0.74,0,2.85,0.96,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,7.1,0,57.65,32.3,Compound,None,NA,NA,45,5.75,0,4.52,0.69,Compound,None,NA,NA,75,4.91,0.1,1.96,3.41,Compound,None,NA,NA,105,4.48,0.2,2.2,4.52,Compound,None,NA,NA,135,3.95,0,6.97,0.92,Compound,None,NA,NA,165,3.52,0.1,2.1,1.67,Artifact,Weak,NA,NA,195,3.15,0,2.17,1.23,Artifact,Weak,NA,NA,225,2.88,0.1,2.84,4.91,Compound,None,NA,NA,255,2.28,0.1,1.52,1.43,Compound,None,NA,NA,285,1.77,0,1.41,0.58,Compound,None,NA,NA,315,1.06,0,2.47,0.81,Compound,None,NA,NA,345,0.73,0,1.58,0.47,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,7.1,0.1,25.28,24.22,Compound,None,NA,NA,46,5.71,0,0.96,0.1,Artifact,Weak,NA,NA,76,4.9,0.2,2.69,6.82,Compound,None,NA,NA,106,4.47,0.3,2.32,9.47,Compound,None,NA,NA,136,3.8,0,1.17,0.13,Impurity,Weak,NA,NA,166,3.51,0.2,1.96,6.5,Artifact,Weak,NA,NA,196,3.14,0.1,3.57,3.07,Artifact,Weak,NA,NA,226,2.87,0.1,1.95,2.08,Compound,None,NA,NA,256,2.27,0,2.35,1.09,Compound,None,NA,NA,286,1.77,0,1.22,0.42,Compound,None,NA,NA,316,1.05,1,0.87,10.34,Compound,None,NA,NA,346,0.71,0,2.65,0.67,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,6.98,0.1,27.07,30.97,Compound,None,NA,NA,47,5.45,0,12.5,1.01,Artifact,Weak,NA,NA,77,4.89,0.1,1.82,2.84,Compound,None,NA,NA,107,4.45,0.2,2.2,4.43,Compound,None,NA,NA,137,3.79,0,1.08,0.14,Impurity,Weak,NA,NA,167,3.49,0.1,11.74,8.33,Artifact,Weak,NA,NA,197,3.13,0.2,3.97,8,Artifact,Weak,NA,NA,227,2.85,0.1,1.83,1.94,Compound,None,NA,NA,257,2.26,0,1.33,0.22,Compound,Weak,NA,NA,287,1.75,0.1,1.36,0.85,Compound,None,NA,NA,317,1.04,1.7,2.77,59.96,Compound,None,NA,NA,347,0.69,0,2.25,0.31,Impurity,Weak,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,6.83,0,2.37,0.53,Compound,None,NA,NA,48,5.44,0,1.86,0.14,Artifact,Weak,NA,NA,78,4.88,0.2,2.14,5.6,Compound,None,NA,NA,108,4.44,0.2,2.06,5.26,Compound,None,NA,NA,138,3.78,0,1.11,0.11,Impurity,Weak,NA,NA,168,3.49,0.1,5.08,10.11,Artifact,Weak,NA,NA,198,3.12,0.1,2.35,2.72,Artifact,Weak,NA,NA,228,2.68,0.1,1.28,1.61,Solvent,Weak + C13_Sat,NA,NA,258,2.26,0.1,1.39,1.92,Compound,None,NA,NA,288,1.72,0,0.89,0.09,Impurity,Weak,NA,NA,318,1.04,0.5,0.83,5.08,Compound,None,NA,NA,348,0.67,0,1.94,0.15,Artifact,Weak,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,6.82,0,1.97,0.48,Compound,None,NA,NA,49,5.43,0,1.4,0.19,Compound,None,NA,NA,79,4.87,0.2,2.32,6.59,Compound,None,NA,NA,109,4.42,0.2,2.2,5.73,Compound,None,NA,NA,139,3.77,0,2.03,0.35,Impurity,None,NA,NA,169,3.48,0.2,5.51,10.39,Artifact,Weak,NA,NA,199,3.11,0.3,2.59,8.69,Artifact,Weak,NA,NA,229,2.67,0.3,1.7,6.74,Solvent,Weak + C13_Sat,NA,NA,259,2.24,0.1,1.22,0.85,Compound,None,NA,NA,289,1.63,0,2.04,0.14,Artifact,Weak,NA,NA,319,1.03,1.6,2.84,59.13,Compound,None,NA,NA,349,0.06,0,2.41,0.74,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,6.7,0,1.12,0.1,Artifact,Weak,NA,NA,50,5.42,0,1.65,0.16,Artifact,Weak,NA,NA,80,4.86,0,9.62,2.31,Compound,None,NA,NA,110,4.41,0,5.51,0.68,Compound,None,NA,NA,140,3.76,0,1.17,0.32,Compound,None,NA,NA,170,3.47,0.1,11.31,11.53,Artifact,Weak,NA,NA,200,3.1,0.1,2.54,4.2,Artifact,Weak,NA,NA,230,2.67,0.4,1.63,8.73,Solvent,Weak + C13_Sat,NA,NA,260,2.22,0,0.62,0.09,Impurity,Weak,NA,NA,290,1.58,0,5.04,0.73,Compound,None,NA,NA,320,1.01,0.1,2.05,3.48,Compound,None,NA,NA,350,-0.19,0,0.73,0.06,Artifact,Weak,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,6.68,0,2.19,0.32,Impurity,Weak,NA,NA,51,5.41,0,10.84,3.57,Compound,None,NA,NA,81,4.85,0,3.3,1.11,Compound,None,NA,NA,111,4.4,0,3.71,1.84,Compound,None,NA,NA,141,3.76,0,0.99,0.15,Compound,None,NA,NA,171,3.47,0.1,3.53,6.22,Artifact,Weak,NA,NA,201,3.1,0.2,2.73,6.49,Artifact,Weak,NA,NA,231,2.66,0.3,1.64,6.53,Solvent,Weak + C13_Sat,NA,NA,261,2.21,0,1.44,0.2,Impurity,Weak,NA,NA,291,1.55,0,8.94,4.73,Compound,None,NA,NA,321,1,0,2.8,1.22,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,6.67,0,2.76,0.48,Impurity,None,NA,NA,52,5.36,0,0.69,0.04,Artifact,Weak,NA,NA,82,4.84,0,3.95,1.66,Compound,None,NA,NA,112,4.39,0,2.02,0.8,Compound,None,NA,NA,142,3.75,0,6.68,2.17,Compound,None,NA,NA,172,3.46,0.1,2.28,2.44,Artifact,Weak,NA,NA,202,3.08,0.2,2.83,6.46,Artifact,Weak,NA,NA,232,2.66,0.1,1.25,1.57,Solvent,Weak + C13_Sat,NA,NA,262,2.21,0,1.12,0.21,Impurity,Weak,NA,NA,292,1.53,0,1.45,0.1,Artifact,Weak,NA,NA,322,1,0.1,1.83,3.42,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,6.65,0,2.56,0.21,Artifact,Weak,NA,NA,53,5.32,0,8.38,3.48,Compound,None,NA,NA,83,4.82,0.9,2.37,26.43,Compound,None,NA,NA,113,4.36,0.2,2.2,4.36,Compound,None,NA,NA,143,3.68,0.1,2.26,2.42,Compound,None,NA,NA,173,3.45,0.3,1.78,5.9,Artifact,Weak,NA,NA,203,3.08,0.2,3.1,5.86,Artifact,Weak,NA,NA,233,2.56,0,0.97,0.26,Artifact,Weak,NA,NA,263,2.18,0,1.46,0.3,Impurity,None,NA,NA,293,1.52,0,11.97,4.45,Compound,None,NA,NA,323,0.98,0,1.11,0.17,Compound,Weak,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,6.57,0.5,1.55,8.67,Compound,None,NA,NA,54,5.29,0,1.54,0.12,Artifact,Weak,NA,NA,84,4.81,1,2.37,26.97,Compound,None,NA,NA,114,4.35,0.4,2.99,13.19,Compound,None,NA,NA,144,3.68,0.1,2.23,2.19,Compound,None,NA,NA,174,3.45,0.1,3.56,6.1,Artifact,Weak,NA,NA,204,3.07,0,0.91,0.12,Artifact,Weak,NA,NA,234,2.55,0,34.62,12.31,Artifact,Weak,NA,NA,264,2.16,0,2.12,0.22,Impurity,Weak,NA,NA,294,1.49,0,23.33,4.21,Compound,None,NA,NA,324,0.97,0,2.34,0.27,Impurity,Weak,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,6.55,0.5,1.53,8.96,Compound,None,NA,NA,55,5.28,0,2.1,0.14,Artifact,Weak,NA,NA,85,4.8,0,2.28,0.38,Compound,None,NA,NA,115,4.34,0.3,2.82,9.82,Compound,None,NA,NA,145,3.67,0.1,2.2,3.18,Compound,None,NA,NA,175,3.44,0.4,3.01,14.93,Artifact,Weak,NA,NA,205,3.06,0.2,2.32,5.55,Artifact,Weak,NA,NA,235,2.53,0.1,15.4,21.48,Artifact,Weak,NA,NA,265,2.13,0.1,0.84,0.55,Compound,None,NA,NA,295,1.49,0,4.41,0.75,Compound,None,NA,NA,325,0.91,0,0.86,0.21,Impurity,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,6.55,0,1.29,0.18,Impurity,Weak,NA,NA,56,5.23,0,4.27,0.95,Compound,None,NA,NA,86,4.78,0,2.93,0.65,Compound,None,NA,NA,116,4.33,0.1,1.92,1.94,Compound,None,NA,NA,146,3.66,0.1,2.1,3.3,Compound,None,NA,NA,176,3.44,0.2,2.11,5.45,Artifact,Weak,NA,NA,206,3.05,0.1,1.76,2.7,Artifact,Weak,NA,NA,236,2.52,0.2,1.17,3.05,Artifact,Weak,NA,NA,266,2.12,0.1,0.82,0.52,Compound,None,NA,NA,296,1.47,0,1.87,0.22,Impurity,Weak,NA,NA,326,0.9,0,0.73,0.22,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,6.53,0,1.67,0.25,Impurity,Weak,NA,NA,57,5.22,0,2.25,0.21,Compound,None,NA,NA,87,4.76,0.4,3.16,14.52,Compound,None,NA,NA,117,4.32,0.1,2.61,2.87,Compound,None,NA,NA,147,3.65,0.1,3.12,5.77,Compound,None,NA,NA,177,3.43,0.1,2.46,2.88,Artifact,Weak,NA,NA,207,3.05,0.2,2.32,4.58,Artifact,Weak,NA,NA,237,2.51,22.3,1.34,346.79,Solvent,None,NA,NA,267,2.09,0,1.45,0.44,Compound,None,NA,NA,297,1.41,0.2,3.38,10.07,Compound,None,NA,NA,327,0.88,0,18.36,6.68,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,6.52,0.1,1.6,1.43,Compound,None,NA,NA,58,5.17,0,3.15,0.4,Impurity,Weak,NA,NA,88,4.75,0.2,2.84,7,Compound,None,NA,NA,118,4.31,0,2.48,0.17,Artifact,Weak,NA,NA,148,3.65,0.1,2.77,4.33,Compound,None,NA,NA,178,3.42,0.4,2.92,17.61,Artifact,Weak,NA,NA,208,3.04,0.3,2.35,9.42,Compound,None,NA,NA,238,2.5,53.7,1.5,1045.37,Solvent,None,NA,NA,268,2.08,0.1,0.87,1.61,Compound,None,NA,NA,298,1.39,0.2,4.55,9.43,Compound,None,NA,NA,328,0.87,0.1,7.05,5.57,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,6.48,0,0.78,0.07,Artifact,Weak,NA,NA,59,5.16,0,1.63,0.19,Impurity,Weak,NA,NA,89,4.74,0.3,2.35,10.27,Compound,None,NA,NA,119,4.28,0.2,1.54,4.3,Compound,None,NA,NA,149,3.64,0.1,3.43,6.71,Compound,None,NA,NA,179,3.42,0.4,2.35,10.93,Artifact,Weak,NA,NA,209,3.03,0.2,2.57,6.94,Compound,None,NA,NA,239,2.5,87.5,1.89,2096.15,Solvent,None,NA,NA,269,2.08,0,1.49,0.12,Compound,Weak,NA,NA,299,1.36,0,2.45,0.82,Impurity,None,NA,NA,329,0.86,0.1,3.74,4.13,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,6.33,0,2.27,0.13,Artifact,Weak,NA,NA,60,5.15,0,2.45,0.24,Impurity,Weak,NA,NA,90,4.74,0.2,2.19,5.63,Compound,None,NA,NA,120,4.27,0.2,1.77,5.13,Compound,None,NA,NA,150,3.63,0.1,2.47,3.32,Compound,None,NA,NA,180,3.4,0.3,4.34,16.71,Artifact,Weak,NA,NA,210,3.02,0.1,2.6,3.37,Compound,None,NA,NA,240,2.5,50.8,1.33,798.21,Solvent,None,NA,NA,270,2.07,0,0.96,0.4,Compound,None,NA,NA,300,1.3,0,2.57,0.25,Impurity,Weak,NA,NA,330,0.85,0.1,2.31,3.72,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15.69,0,0.86,0.06,Artifact,Weak,NA,NA,27,3.55,0,3.81,0.79,Artifact,Weak,NA,NA,53,2.67,0.3,1.91,7.63,Solvent,Weak + C13_Sat,NA,NA,79,2.07,0.1,0.94,0.58,Impurity,None,NA,NA,105,1.21,0,1.04,0.13,Impurity,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//111.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
