pF [-],Water Content [Vol%],soiltype,treatment
-0.074,68.32,soil_sand,Wetting
-0.054,68.32,soil_sand,Wetting
-0.034,68.32,soil_sand,Wetting
-0.014,68.32,soil_sand,Wetting
0.006,68.31,soil_sand,Wetting
0.026,68.31,soil_sand,Wetting
0.046,68.31,soil_sand,Wetting
0.066,68.31,soil_sand,Wetting
0.086,68.31,soil_sand,Wetting
0.106,68.31,soil_sand,Wetting
0.126,68.31,soil_sand,Wetting
0.146,68.31,soil_sand,Wetting
0.166,68.31,soil_sand,Wetting
0.186,68.31,soil_sand,Wetting
0.206,68.31,soil_sand,Wetting
0.226,68.31,soil_sand,Wetting
0.246,68.31,soil_sand,Wetting
0.267,68.31,soil_sand,Wetting
0.287,68.31,soil_sand,Wetting
0.307,68.31,soil_sand,Wetting
0.327,68.31,soil_sand,Wetting
0.347,68.31,soil_sand,Wetting
0.367,68.31,soil_sand,Wetting
0.387,68.3,soil_sand,Wetting
0.407,68.3,soil_sand,Wetting
0.427,68.3,soil_sand,Wetting
0.447,68.3,soil_sand,Wetting
0.467,68.3,soil_sand,Wetting
0.487,68.3,soil_sand,Wetting
0.507,68.3,soil_sand,Wetting
0.527,68.3,soil_sand,Wetting
0.547,68.29,soil_sand,Wetting
0.567,68.29,soil_sand,Wetting
0.587,68.29,soil_sand,Wetting
0.607,68.29,soil_sand,Wetting
0.627,68.29,soil_sand,Wetting
0.647,68.28,soil_sand,Wetting
0.667,68.28,soil_sand,Wetting
0.687,68.28,soil_sand,Wetting
0.707,68.27,soil_sand,Wetting
0.727,68.27,soil_sand,Wetting
0.747,68.27,soil_sand,Wetting
0.768,68.26,soil_sand,Wetting
0.788,68.26,soil_sand,Wetting
0.808,68.26,soil_sand,Wetting
0.828,68.25,soil_sand,Wetting
0.848,68.25,soil_sand,Wetting
0.868,68.24,soil_sand,Wetting
0.888,68.23,soil_sand,Wetting
0.908,68.23,soil_sand,Wetting
0.928,68.22,soil_sand,Wetting
0.948,68.21,soil_sand,Wetting
0.968,68.21,soil_sand,Wetting
0.988,68.2,soil_sand,Wetting
1.008,68.19,soil_sand,Wetting
1.028,68.18,soil_sand,Wetting
1.048,68.17,soil_sand,Wetting
1.068,68.16,soil_sand,Wetting
1.088,68.14,soil_sand,Wetting
1.108,68.13,soil_sand,Wetting
1.128,68.12,soil_sand,Wetting
1.148,68.1,soil_sand,Wetting
1.168,68.09,soil_sand,Wetting
1.188,68.07,soil_sand,Wetting
1.208,68.05,soil_sand,Wetting
1.228,68.03,soil_sand,Wetting
1.248,68.01,soil_sand,Wetting
1.269,67.99,soil_sand,Wetting
1.289,67.96,soil_sand,Wetting
1.309,67.93,soil_sand,Wetting
1.329,67.91,soil_sand,Wetting
1.349,67.88,soil_sand,Wetting
1.369,67.84,soil_sand,Wetting
1.389,67.81,soil_sand,Wetting
1.409,67.77,soil_sand,Wetting
1.429,67.73,soil_sand,Wetting
1.449,67.69,soil_sand,Wetting
1.469,67.64,soil_sand,Wetting
1.489,67.59,soil_sand,Wetting
1.509,67.54,soil_sand,Wetting
1.529,67.48,soil_sand,Wetting
1.549,67.42,soil_sand,Wetting
1.569,67.35,soil_sand,Wetting
1.589,67.28,soil_sand,Wetting
1.609,67.2,soil_sand,Wetting
1.629,67.12,soil_sand,Wetting
1.649,67.04,soil_sand,Wetting
1.669,66.94,soil_sand,Wetting
1.689,66.85,soil_sand,Wetting
1.709,66.74,soil_sand,Wetting
1.729,66.63,soil_sand,Wetting
1.749,66.51,soil_sand,Wetting
1.77,66.38,soil_sand,Wetting
1.79,66.24,soil_sand,Wetting
1.81,66.09,soil_sand,Wetting
1.83,65.94,soil_sand,Wetting
1.85,65.77,soil_sand,Wetting
1.87,65.6,soil_sand,Wetting
1.89,65.41,soil_sand,Wetting
1.91,65.21,soil_sand,Wetting
1.93,65,soil_sand,Wetting
1.95,64.77,soil_sand,Wetting
1.97,64.54,soil_sand,Wetting
1.99,64.28,soil_sand,Wetting
2.01,64.02,soil_sand,Wetting
2.03,63.74,soil_sand,Wetting
2.05,63.44,soil_sand,Wetting
2.07,63.12,soil_sand,Wetting
2.09,62.79,soil_sand,Wetting
2.11,62.45,soil_sand,Wetting
2.13,62.08,soil_sand,Wetting
2.15,61.7,soil_sand,Wetting
2.17,61.3,soil_sand,Wetting
2.19,60.88,soil_sand,Wetting
2.21,60.44,soil_sand,Wetting
2.23,59.98,soil_sand,Wetting
2.251,59.51,soil_sand,Wetting
2.271,59.01,soil_sand,Wetting
2.291,58.5,soil_sand,Wetting
2.311,57.96,soil_sand,Wetting
2.331,57.41,soil_sand,Wetting
2.351,56.84,soil_sand,Wetting
2.371,56.25,soil_sand,Wetting
2.391,55.64,soil_sand,Wetting
2.411,55.02,soil_sand,Wetting
2.431,54.38,soil_sand,Wetting
2.451,53.73,soil_sand,Wetting
2.471,53.06,soil_sand,Wetting
2.491,52.38,soil_sand,Wetting
2.511,51.68,soil_sand,Wetting
2.531,50.98,soil_sand,Wetting
2.551,50.26,soil_sand,Wetting
2.571,49.53,soil_sand,Wetting
2.591,48.8,soil_sand,Wetting
2.611,48.06,soil_sand,Wetting
2.631,47.31,soil_sand,Wetting
2.651,46.55,soil_sand,Wetting
2.671,45.8,soil_sand,Wetting
2.691,45.04,soil_sand,Wetting
2.711,44.28,soil_sand,Wetting
2.731,43.52,soil_sand,Wetting
2.752,42.76,soil_sand,Wetting
2.772,42,soil_sand,Wetting
2.792,41.24,soil_sand,Wetting
2.812,40.49,soil_sand,Wetting
2.832,39.74,soil_sand,Wetting
2.852,39,soil_sand,Wetting
2.872,38.26,soil_sand,Wetting
2.892,37.53,soil_sand,Wetting
2.912,36.81,soil_sand,Wetting
2.932,36.09,soil_sand,Wetting
2.952,35.39,soil_sand,Wetting
2.972,34.69,soil_sand,Wetting
2.992,34,soil_sand,Wetting
3.012,33.33,soil_sand,Wetting
3.032,32.66,soil_sand,Wetting
3.052,32.01,soil_sand,Wetting
3.072,31.36,soil_sand,Wetting
3.092,30.73,soil_sand,Wetting
3.112,30.1,soil_sand,Wetting
3.132,29.49,soil_sand,Wetting
3.152,28.89,soil_sand,Wetting
3.172,28.3,soil_sand,Wetting
3.192,27.73,soil_sand,Wetting
3.212,27.16,soil_sand,Wetting
3.232,26.61,soil_sand,Wetting
3.253,26.06,soil_sand,Wetting
3.273,25.53,soil_sand,Wetting
3.293,25.01,soil_sand,Wetting
3.313,24.51,soil_sand,Wetting
3.333,24.01,soil_sand,Wetting
3.353,23.52,soil_sand,Wetting
3.373,23.05,soil_sand,Wetting
3.393,22.58,soil_sand,Wetting
3.413,22.13,soil_sand,Wetting
3.433,21.69,soil_sand,Wetting
3.453,21.26,soil_sand,Wetting
3.473,20.83,soil_sand,Wetting
3.493,20.42,soil_sand,Wetting
3.513,20.02,soil_sand,Wetting
3.533,19.63,soil_sand,Wetting
3.553,19.24,soil_sand,Wetting
3.573,18.87,soil_sand,Wetting
3.593,18.51,soil_sand,Wetting
3.613,18.15,soil_sand,Wetting
3.633,17.8,soil_sand,Wetting
3.653,17.47,soil_sand,Wetting
3.673,17.14,soil_sand,Wetting
3.693,16.82,soil_sand,Wetting
3.713,16.5,soil_sand,Wetting
3.733,16.2,soil_sand,Wetting
3.754,15.9,soil_sand,Wetting
3.774,15.61,soil_sand,Wetting
3.794,15.32,soil_sand,Wetting
3.814,15.05,soil_sand,Wetting
3.834,14.78,soil_sand,Wetting
3.854,14.52,soil_sand,Wetting
3.874,14.26,soil_sand,Wetting
3.894,14.01,soil_sand,Wetting
3.914,13.77,soil_sand,Wetting
3.934,13.53,soil_sand,Wetting
3.954,13.3,soil_sand,Wetting
3.974,13.08,soil_sand,Wetting
3.994,12.86,soil_sand,Wetting
4.014,12.65,soil_sand,Wetting
4.034,12.44,soil_sand,Wetting
4.054,12.24,soil_sand,Wetting
4.074,12.04,soil_sand,Wetting
4.094,11.85,soil_sand,Wetting
4.114,11.66,soil_sand,Wetting
4.134,11.48,soil_sand,Wetting
4.154,11.3,soil_sand,Wetting
4.174,11.13,soil_sand,Wetting
4.194,10.96,soil_sand,Wetting
4.214,10.8,soil_sand,Wetting
4.234,10.64,soil_sand,Wetting
4.255,10.48,soil_sand,Wetting
4.275,10.33,soil_sand,Wetting
4.295,10.18,soil_sand,Wetting
4.315,10.04,soil_sand,Wetting
4.335,9.9,soil_sand,Wetting
4.355,9.76,soil_sand,Wetting
4.375,9.63,soil_sand,Wetting
4.395,9.5,soil_sand,Wetting
4.415,9.37,soil_sand,Wetting
4.435,9.25,soil_sand,Wetting
4.455,9.13,soil_sand,Wetting
4.475,9.01,soil_sand,Wetting
4.495,8.9,soil_sand,Wetting
4.515,8.79,soil_sand,Wetting
4.535,8.68,soil_sand,Wetting
4.555,8.58,soil_sand,Wetting
4.575,8.47,soil_sand,Wetting
4.595,8.37,soil_sand,Wetting
4.615,8.28,soil_sand,Wetting
4.635,8.18,soil_sand,Wetting
4.655,8.09,soil_sand,Wetting
4.675,8,soil_sand,Wetting
4.695,7.91,soil_sand,Wetting
4.715,7.83,soil_sand,Wetting
4.735,7.75,soil_sand,Wetting
4.756,7.66,soil_sand,Wetting
4.776,7.59,soil_sand,Wetting
4.796,7.51,soil_sand,Wetting
4.816,7.44,soil_sand,Wetting
4.836,7.36,soil_sand,Wetting
4.856,7.29,soil_sand,Wetting
4.876,7.22,soil_sand,Wetting
4.896,7.16,soil_sand,Wetting
4.916,7.09,soil_sand,Wetting
4.936,7.03,soil_sand,Wetting
4.956,6.96,soil_sand,Wetting
4.976,6.9,soil_sand,Wetting
4.996,6.85,soil_sand,Wetting
5.016,6.79,soil_sand,Wetting
5.036,6.73,soil_sand,Wetting
5.056,6.68,soil_sand,Wetting
5.076,6.63,soil_sand,Wetting
5.096,6.57,soil_sand,Wetting
5.116,6.52,soil_sand,Wetting
5.136,6.47,soil_sand,Wetting
5.156,6.43,soil_sand,Wetting
5.176,6.38,soil_sand,Wetting
5.196,6.34,soil_sand,Wetting
5.216,6.29,soil_sand,Wetting
5.236,6.25,soil_sand,Wetting
5.257,6.21,soil_sand,Wetting
5.277,6.17,soil_sand,Wetting
5.297,6.13,soil_sand,Wetting
5.317,6.09,soil_sand,Wetting
5.337,6.05,soil_sand,Wetting
5.357,6.01,soil_sand,Wetting
5.377,5.98,soil_sand,Wetting
5.397,5.94,soil_sand,Wetting
5.417,5.91,soil_sand,Wetting
5.437,5.88,soil_sand,Wetting
5.457,5.84,soil_sand,Wetting
5.477,5.81,soil_sand,Wetting
5.497,5.78,soil_sand,Wetting
5.517,5.75,soil_sand,Wetting
5.537,5.72,soil_sand,Wetting
5.557,5.7,soil_sand,Wetting
5.577,5.67,soil_sand,Wetting
5.597,5.64,soil_sand,Wetting
5.617,5.62,soil_sand,Wetting
5.637,5.59,soil_sand,Wetting
5.657,5.57,soil_sand,Wetting
5.677,5.54,soil_sand,Wetting
5.697,5.52,soil_sand,Wetting
5.717,5.5,soil_sand,Wetting
5.737,5.47,soil_sand,Wetting
5.758,5.45,soil_sand,Wetting
5.778,5.43,soil_sand,Wetting
5.798,5.41,soil_sand,Wetting
5.818,5.39,soil_sand,Wetting
5.838,5.37,soil_sand,Wetting
5.858,5.35,soil_sand,Wetting
5.878,5.33,soil_sand,Wetting
5.898,5.32,soil_sand,Wetting
5.918,5.3,soil_sand,Wetting
5.938,5.28,soil_sand,Wetting
5.958,5.27,soil_sand,Wetting
5.978,5.25,soil_sand,Wetting
5.998,5.23,soil_sand,Wetting
6.018,5.22,soil_sand,Wetting
6.038,5.2,soil_sand,Wetting
6.058,5.19,soil_sand,Wetting
6.078,5.17,soil_sand,Wetting
6.098,5.16,soil_sand,Wetting
6.118,5.15,soil_sand,Wetting
6.138,5.13,soil_sand,Wetting
6.158,5.12,soil_sand,Wetting
6.178,5.11,soil_sand,Wetting
6.198,5.1,soil_sand,Wetting
6.218,5.08,soil_sand,Wetting
6.238,5.07,soil_sand,Wetting
6.259,5.06,soil_sand,Wetting
6.279,5.05,soil_sand,Wetting
6.299,5.04,soil_sand,Wetting
6.319,5.03,soil_sand,Wetting
6.339,5.02,soil_sand,Wetting
6.359,5.01,soil_sand,Wetting
6.379,5,soil_sand,Wetting
6.399,4.99,soil_sand,Wetting
6.419,4.98,soil_sand,Wetting
6.439,4.97,soil_sand,Wetting
6.459,4.97,soil_sand,Wetting
6.479,4.96,soil_sand,Wetting
6.499,4.95,soil_sand,Wetting
6.519,4.94,soil_sand,Wetting
6.539,4.93,soil_sand,Wetting
6.559,4.93,soil_sand,Wetting
6.579,4.92,soil_sand,Wetting
6.599,4.91,soil_sand,Wetting
6.619,4.9,soil_sand,Wetting
6.639,4.9,soil_sand,Wetting
6.659,4.89,soil_sand,Wetting
6.679,4.88,soil_sand,Wetting
6.699,4.88,soil_sand,Wetting
6.719,4.87,soil_sand,Wetting
6.739,4.87,soil_sand,Wetting
6.76,4.86,soil_sand,Wetting
6.78,4.85,soil_sand,Wetting
6.8,4.85,soil_sand,Wetting
6.82,4.84,soil_sand,Wetting
6.84,4.84,soil_sand,Wetting
6.86,4.83,soil_sand,Wetting
6.88,4.83,soil_sand,Wetting
6.9,4.82,soil_sand,Wetting
6.92,4.82,soil_sand,Wetting
6.94,4.81,soil_sand,Wetting
6.96,4.81,soil_sand,Wetting
6.98,4.81,soil_sand,Wetting
7,4.8,soil_sand,Wetting
-3,69.45,soil,Wetting
-2.98,69.45,soil,Wetting
-2.96,69.45,soil,Wetting
-2.94,69.45,soil,Wetting
-2.92,69.45,soil,Wetting
-2.9,69.45,soil,Wetting
-2.88,69.45,soil,Wetting
-2.86,69.45,soil,Wetting
-2.84,69.45,soil,Wetting
-2.82,69.45,soil,Wetting
-2.8,69.45,soil,Wetting
-2.78,69.45,soil,Wetting
-2.76,69.45,soil,Wetting
-2.739,69.45,soil,Wetting
-2.719,69.45,soil,Wetting
-2.699,69.45,soil,Wetting
-2.679,69.45,soil,Wetting
-2.659,69.45,soil,Wetting
-2.639,69.45,soil,Wetting
-2.619,69.45,soil,Wetting
-2.599,69.45,soil,Wetting
-2.579,69.45,soil,Wetting
-2.559,69.45,soil,Wetting
-2.539,69.45,soil,Wetting
-2.519,69.45,soil,Wetting
-2.499,69.45,soil,Wetting
-2.479,69.45,soil,Wetting
-2.459,69.45,soil,Wetting
-2.439,69.45,soil,Wetting
-2.419,69.45,soil,Wetting
-2.399,69.45,soil,Wetting
-2.379,69.45,soil,Wetting
-2.359,69.45,soil,Wetting
-2.339,69.45,soil,Wetting
-2.319,69.45,soil,Wetting
-2.299,69.45,soil,Wetting
-2.279,69.45,soil,Wetting
-2.259,69.45,soil,Wetting
-2.238,69.45,soil,Wetting
-2.218,69.45,soil,Wetting
-2.198,69.45,soil,Wetting
-2.178,69.45,soil,Wetting
-2.158,69.45,soil,Wetting
-2.138,69.45,soil,Wetting
-2.118,69.45,soil,Wetting
-2.098,69.45,soil,Wetting
-2.078,69.45,soil,Wetting
-2.058,69.45,soil,Wetting
-2.038,69.45,soil,Wetting
-2.018,69.45,soil,Wetting
-1.998,69.45,soil,Wetting
-1.978,69.45,soil,Wetting
-1.958,69.45,soil,Wetting
-1.938,69.45,soil,Wetting
-1.918,69.45,soil,Wetting
-1.898,69.45,soil,Wetting
-1.878,69.45,soil,Wetting
-1.858,69.45,soil,Wetting
-1.838,69.45,soil,Wetting
-1.818,69.45,soil,Wetting
-1.798,69.45,soil,Wetting
-1.778,69.45,soil,Wetting
-1.758,69.45,soil,Wetting
-1.737,69.45,soil,Wetting
-1.717,69.45,soil,Wetting
-1.697,69.45,soil,Wetting
-1.677,69.45,soil,Wetting
-1.657,69.45,soil,Wetting
-1.637,69.45,soil,Wetting
-1.617,69.45,soil,Wetting
-1.597,69.45,soil,Wetting
-1.577,69.45,soil,Wetting
-1.557,69.45,soil,Wetting
-1.537,69.45,soil,Wetting
-1.517,69.45,soil,Wetting
-1.497,69.45,soil,Wetting
-1.477,69.45,soil,Wetting
-1.457,69.45,soil,Wetting
-1.437,69.45,soil,Wetting
-1.417,69.45,soil,Wetting
-1.397,69.45,soil,Wetting
-1.377,69.45,soil,Wetting
-1.357,69.45,soil,Wetting
-1.337,69.45,soil,Wetting
-1.317,69.45,soil,Wetting
-1.297,69.45,soil,Wetting
-1.277,69.45,soil,Wetting
-1.257,69.45,soil,Wetting
-1.236,69.45,soil,Wetting
-1.216,69.45,soil,Wetting
-1.196,69.45,soil,Wetting
-1.176,69.45,soil,Wetting
-1.156,69.45,soil,Wetting
-1.136,69.45,soil,Wetting
-1.116,69.45,soil,Wetting
-1.096,69.45,soil,Wetting
-1.076,69.45,soil,Wetting
-1.056,69.45,soil,Wetting
-1.036,69.45,soil,Wetting
-1.016,69.45,soil,Wetting
-0.996,69.45,soil,Wetting
-0.976,69.45,soil,Wetting
-0.956,69.45,soil,Wetting
-0.936,69.45,soil,Wetting
-0.916,69.45,soil,Wetting
-0.896,69.45,soil,Wetting
-0.876,69.45,soil,Wetting
-0.856,69.45,soil,Wetting
-0.836,69.45,soil,Wetting
-0.816,69.45,soil,Wetting
-0.796,69.45,soil,Wetting
-0.776,69.45,soil,Wetting
-0.756,69.45,soil,Wetting
-0.735,69.45,soil,Wetting
-0.715,69.45,soil,Wetting
-0.695,69.45,soil,Wetting
-0.675,69.45,soil,Wetting
-0.655,69.45,soil,Wetting
-0.635,69.45,soil,Wetting
-0.615,69.45,soil,Wetting
-0.595,69.45,soil,Wetting
-0.575,69.45,soil,Wetting
-0.555,69.45,soil,Wetting
-0.535,69.45,soil,Wetting
-0.515,69.45,soil,Wetting
-0.495,69.45,soil,Wetting
-0.475,69.45,soil,Wetting
-0.455,69.45,soil,Wetting
-0.435,69.45,soil,Wetting
-0.415,69.45,soil,Wetting
-0.395,69.45,soil,Wetting
-0.375,69.45,soil,Wetting
-0.355,69.45,soil,Wetting
-0.335,69.45,soil,Wetting
-0.315,69.45,soil,Wetting
-0.295,69.45,soil,Wetting
-0.275,69.45,soil,Wetting
-0.255,69.45,soil,Wetting
-0.234,69.45,soil,Wetting
-0.214,69.45,soil,Wetting
-0.194,69.45,soil,Wetting
-0.174,69.45,soil,Wetting
-0.154,69.45,soil,Wetting
-0.134,69.45,soil,Wetting
-0.114,69.45,soil,Wetting
-0.094,69.45,soil,Wetting
-0.074,69.45,soil,Wetting
-0.054,69.45,soil,Wetting
-0.034,69.45,soil,Wetting
-0.014,69.45,soil,Wetting
0.006,69.45,soil,Wetting
0.026,69.45,soil,Wetting
0.046,69.45,soil,Wetting
0.066,69.45,soil,Wetting
0.086,69.45,soil,Wetting
0.106,69.45,soil,Wetting
0.126,69.45,soil,Wetting
0.146,69.45,soil,Wetting
0.166,69.45,soil,Wetting
0.186,69.45,soil,Wetting
0.206,69.45,soil,Wetting
0.226,69.45,soil,Wetting
0.246,69.45,soil,Wetting
0.267,69.45,soil,Wetting
0.287,69.45,soil,Wetting
0.307,69.45,soil,Wetting
0.327,69.45,soil,Wetting
0.347,69.45,soil,Wetting
0.367,69.45,soil,Wetting
0.387,69.45,soil,Wetting
0.407,69.45,soil,Wetting
0.427,69.45,soil,Wetting
0.447,69.45,soil,Wetting
0.467,69.45,soil,Wetting
0.487,69.45,soil,Wetting
0.507,69.45,soil,Wetting
0.527,69.45,soil,Wetting
0.547,69.45,soil,Wetting
0.567,69.45,soil,Wetting
0.587,69.45,soil,Wetting
0.607,69.45,soil,Wetting
0.627,69.45,soil,Wetting
0.647,69.45,soil,Wetting
0.667,69.45,soil,Wetting
0.687,69.45,soil,Wetting
0.707,69.45,soil,Wetting
0.727,69.45,soil,Wetting
0.747,69.45,soil,Wetting
0.768,69.45,soil,Wetting
0.788,69.45,soil,Wetting
0.808,69.45,soil,Wetting
0.828,69.45,soil,Wetting
0.848,69.45,soil,Wetting
0.868,69.45,soil,Wetting
0.888,69.45,soil,Wetting
0.908,69.45,soil,Wetting
0.928,69.45,soil,Wetting
0.948,69.45,soil,Wetting
0.968,69.45,soil,Wetting
0.988,69.45,soil,Wetting
1.008,69.45,soil,Wetting
1.028,69.45,soil,Wetting
1.048,69.45,soil,Wetting
1.068,69.45,soil,Wetting
1.088,69.45,soil,Wetting
1.108,69.45,soil,Wetting
1.128,69.45,soil,Wetting
1.148,69.45,soil,Wetting
1.168,69.45,soil,Wetting
1.188,69.45,soil,Wetting
1.208,69.45,soil,Wetting
1.228,69.45,soil,Wetting
1.248,69.45,soil,Wetting
1.269,69.45,soil,Wetting
1.289,69.45,soil,Wetting
1.309,69.45,soil,Wetting
1.329,69.45,soil,Wetting
1.349,69.45,soil,Wetting
1.369,69.45,soil,Wetting
1.389,69.45,soil,Wetting
1.409,69.45,soil,Wetting
1.429,69.45,soil,Wetting
1.449,69.45,soil,Wetting
1.469,69.45,soil,Wetting
1.489,69.45,soil,Wetting
1.509,69.45,soil,Wetting
1.529,69.45,soil,Wetting
1.549,69.45,soil,Wetting
1.569,69.45,soil,Wetting
1.589,69.45,soil,Wetting
1.609,69.45,soil,Wetting
1.629,69.45,soil,Wetting
1.649,69.45,soil,Wetting
1.669,69.45,soil,Wetting
1.689,69.45,soil,Wetting
1.709,69.45,soil,Wetting
1.729,69.45,soil,Wetting
1.749,69.45,soil,Wetting
1.77,69.45,soil,Wetting
1.79,69.45,soil,Wetting
1.81,69.45,soil,Wetting
1.83,69.45,soil,Wetting
1.85,69.45,soil,Wetting
1.87,69.45,soil,Wetting
1.89,69.45,soil,Wetting
1.91,69.45,soil,Wetting
1.93,69.45,soil,Wetting
1.95,69.45,soil,Wetting
1.97,69.45,soil,Wetting
1.99,69.45,soil,Wetting
2.01,69.45,soil,Wetting
2.03,69.45,soil,Wetting
2.05,69.45,soil,Wetting
2.07,69.45,soil,Wetting
2.09,69.45,soil,Wetting
2.11,69.45,soil,Wetting
2.13,69.45,soil,Wetting
2.15,69.45,soil,Wetting
2.17,69.45,soil,Wetting
2.19,69.45,soil,Wetting
