Mass,C,H,O,N,C13,S,P,Na,El_comp
139.8903806,0,0,0,0,0,0,0,0,
139.8912536,0,0,0,0,0,0,0,0,
139.8916143,0,0,0,0,0,0,0,0,
139.8917868,0,0,0,0,0,0,0,0,
139.8918652,0,0,0,0,0,0,0,0,
139.8921542,0,0,0,0,0,0,0,0,
139.8923363,0,0,0,0,0,0,0,0,
139.892428,0,0,0,0,0,0,0,0,
139.8925769,0,0,0,0,0,0,0,0,
139.8926902,0,0,0,0,0,0,0,0,
139.8928882,0,0,0,0,0,0,0,0,
139.89297,0,0,0,0,0,0,0,0,
139.8930646,0,0,0,0,0,0,0,0,
139.8932166,0,0,0,0,0,0,0,0,
139.8933222,0,0,0,0,0,0,0,0,
139.893433,0,0,0,0,0,0,0,0,
139.8937032,0,0,0,0,0,0,0,0,
139.8938459,0,0,0,0,0,0,0,0,
139.8944606,0,0,0,0,0,0,0,0,
139.8946541,0,0,0,0,0,0,0,0,
139.8947536,0,0,0,0,0,0,0,0,
139.8948922,0,0,0,0,0,0,0,0,
139.8949936,0,0,0,0,0,0,0,0,
139.8951843,0,0,0,0,0,0,0,0,
139.8953798,0,0,0,0,0,0,0,0,
139.895554,0,0,0,0,0,0,0,0,
139.8956932,0,0,0,0,0,0,0,0,
139.895809,0,0,0,0,0,0,0,0,
139.8959386,0,0,0,0,0,0,0,0,
139.896332,0,0,0,0,0,0,0,0,
139.8964093,0,0,0,0,0,0,0,0,
139.8967865,0,0,0,0,0,0,0,0,
139.8969148,0,0,0,0,0,0,0,0,
139.8972078,0,0,0,0,0,0,0,0,
139.8973805,0,0,0,0,0,0,0,0,
139.8976922,0,0,0,0,0,0,0,0,
139.8977991,0,0,0,0,0,0,0,0,
139.8980386,0,0,0,0,0,0,0,0,
139.8981415,0,0,0,0,0,0,0,0,
139.8984702,0,0,0,0,0,0,0,0,
139.8986966,0,0,0,0,0,0,0,0,
139.8988751,0,0,0,0,0,0,0,0,
139.898947,0,0,0,0,0,0,0,0,
139.8990591,0,0,0,0,0,0,0,0,
139.8991487,0,0,0,0,0,0,0,0,
139.8992966,0,0,0,0,0,0,0,0,
139.89942,0,0,0,0,0,0,0,0,
139.8996256,0,0,0,0,0,0,0,0,
139.8997517,0,0,0,0,0,0,0,0,
139.8998302,0,0,0,0,0,0,0,0,
139.9002323,0,0,0,0,0,0,0,0,
139.9003315,0,0,0,0,0,0,0,0,
139.9005237,0,0,0,0,0,0,0,0,
139.9006526,0,0,0,0,0,0,0,0,
139.9007372,0,0,0,0,0,0,0,0,
