m/z,I,S/N,Res.
349.056741,4812055,20.7,572808
349.091391,939674,3.2,525637
349.093143,5130010,22.2,561733
349.106232,3130139,13.1,527903
349.129545,6104861,26.6,591163
349.165915,3104032,13,653934
349.202251,1327523,4.9,595385
350.096429,1175409,4.2,681755
350.132892,1000788,3.5,455456
350.307744,939715,3.2,638242
350.786367,1106797,3.9,580662
351.036044,4048835,17.2,618226
351.071477,1558470,6,854787
351.072384,7218630,31.5,577132
351.103302,1044936,3.7,376456
351.107352,1402569,5.3,395610
351.107847,1477065,5.6,1134019
351.108832,8121289,35.5,628186
351.145183,6396876,27.8,570043
351.181568,3033551,12.6,574696
351.192488,920976,3.1,471312
352.03946,915098,3.1,816125
352.075713,1344925,5,742585
352.112131,1631648,6.3,553146
352.148409,1259043,4.6,437374
352.783454,1776219,6.9,705859
352.948006,2591849,10.6,620134
352.949227,14525545,64.4,564630
353.015279,972143,3.3,405927
353.050458,1144946,4.1,458032
353.05169,6087794,26.4,606166
353.086445,1344757,5,549525
353.087029,1372789,5.1,912753
353.088062,9047157,39.7,550784
353.124437,9451640,41.5,570699
353.160862,5162620,22.2,581947
353.197238,1542271,5.9,681975
353.200589,1444735,5.4,650764
353.948762,3092673,12.9,635173
354.055076,1093322,3.9,676463
354.091519,1606093,6.2,674419
354.127752,1149904,4.1,250244
354.946039,1990296,7.9,530804
355.031026,2383647,9.7,518888
355.046301,1168416,4.2,699751
355.067331,7314722,31.9,603325
355.102774,1882405,7.4,610508
355.103702,9610533,42.2,598618
355.140124,6877481,29.9,586955
355.176492,2782508,11.5,700699
356.070684,1444474,5.4,709840
356.107097,1954429,7.7,653209
356.1435,1110272,3.9,581969
356.255918,1044234,3.6,254607
357.025499,1480910,5.6,778526
357.046649,3269584,13.6,541596
357.061969,1726801,6.7,509287
357.08298,6478291,28,604591
357.09817,2058964,8.2,698241
357.118272,1269718,4.6,578428
357.119374,6476758,28,542678
357.134654,1387095,5.2,554751
357.155783,2869465,11.8,557127
357.192117,1118428,4,553771
357.214601,2522078,10.3,584051
358.122805,1281198,4.7,682882
358.151743,925105,3.1,851905
358.198632,1826101,7.1,658546
359.0411,2561919,10.4,547379
359.062275,2488449,10.1,633030
359.077589,2876546,11.8,482495
